FoodCode	Seq.num	Start.date	End.date	Main.food.description
11446000	1	01/01/11 00:00:00	12/31/12 00:00:00	McDonald's Fruit 'n Yogurt Parfait
11446000	2	01/01/11 00:00:00	12/31/12 00:00:00	with granola
11460000	1	01/01/11 00:00:00	12/31/12 00:00:00	yogurt, frozen, flavors with partial chocolate base, NS as to type of milk
11460250	1	01/01/11 00:00:00	12/31/12 00:00:00	Haagen-Dazs Raspberry and Vanilla Frozen Yogurt bar
11460300	1	01/01/11 00:00:00	12/31/12 00:00:00	Turkey Hill Nonfat Frozen Yogurt
11460400	1	01/01/11 00:00:00	12/31/12 00:00:00	soft serve, sugar free, fat free frozen yogurt
11460410	1	01/01/11 00:00:00	12/31/12 00:00:00	soft serve, sugar free, fat free frozen yogurt
11461270	1	01/01/11 00:00:00	12/31/12 00:00:00	McDonald's frozen yogurt cone
11461280	1	01/01/11 00:00:00	12/31/12 00:00:00	McDonald's frozen yogurt cone
11480010	1	01/01/11 00:00:00	12/31/12 00:00:00	YoBaby Original, all flavors
11480020	1	01/01/11 00:00:00	12/31/12 00:00:00	YoBaby Plus Fruit & Cereal, NFS
11480030	1	01/01/11 00:00:00	12/31/12 00:00:00	YoBaby Plus Fruit & Cereal with iron
11480040	1	01/01/11 00:00:00	12/31/12 00:00:00	YoBaby Plus Fruit & Cereal with DHA
11511000	1	01/01/11 00:00:00	12/31/12 00:00:00	chocolate milk, NS as to milk or drink
11511200	1	01/01/11 00:00:00	12/31/12 00:00:00	Autocrat coffee lowfat milk
11511200	2	01/01/11 00:00:00	12/31/12 00:00:00	Nescafe Mocha cooler
11511200	3	01/01/11 00:00:00	12/31/12 00:00:00	2% fat milk
11511300	1	01/01/11 00:00:00	12/31/12 00:00:00	fat free or nonfat milk
11511400	1	01/01/11 00:00:00	12/31/12 00:00:00	1% fat milk
11511400	2	01/01/11 00:00:00	12/31/12 00:00:00	chocolate flavored milk from school lunch or breakfast program
11512500	1	01/01/11 00:00:00	12/31/12 00:00:00	chocolate milk beverage made with evaporated milk
11512500	2	01/01/11 00:00:00	12/31/12 00:00:00	chocolate espanol, NS as to type of milk
11512500	3	01/01/11 00:00:00	12/31/12 00:00:00	chocolate caliente
11512510	1	01/01/11 00:00:00	12/31/12 00:00:00	chocolate caliente
11513000	1	01/01/11 00:00:00	12/31/12 00:00:00	Nestle's Quik
11513000	2	01/01/11 00:00:00	12/31/12 00:00:00	Hershey's Instant
11513100	1	01/01/11 00:00:00	12/31/12 00:00:00	Nestle's Quik
11513100	2	01/01/11 00:00:00	12/31/12 00:00:00	Hershey's Instant
11513150	1	01/01/11 00:00:00	12/31/12 00:00:00	Nestle's Quik
11513150	2	01/01/11 00:00:00	12/31/12 00:00:00	Hershey's Instant
11513150	3	01/01/11 00:00:00	12/31/12 00:00:00	with 2% fat milk
11513200	1	01/01/11 00:00:00	12/31/12 00:00:00	Nestle's Quik
11513200	2	01/01/11 00:00:00	12/31/12 00:00:00	Hershey's Instant
11513200	3	01/01/11 00:00:00	12/31/12 00:00:00	with 1% fat milk
11513300	1	01/01/11 00:00:00	12/31/12 00:00:00	Nestle's Quik
11513300	2	01/01/11 00:00:00	12/31/12 00:00:00	Hershey's Instant
11513300	3	01/01/11 00:00:00	12/31/12 00:00:00	with fat free or nonfat milk
