"Food.code"	"Start.date"	"End.date"	"Main.food.description"	"Fortification.identifier"
11426000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, chocolate, whole milk"	1
11427000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, chocolate, nonfat milk"	1
11430000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, fruit variety, NS as to type  of milk"	1
11431000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, fruit variety, whole milk"	1
11432000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, fruit variety, lowfat milk"	1
11432500	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, fruit variety, lowfat milk, sweetened with low-calorie sweetener"	1
11433000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, fruit variety, nonfat milk"	1
11433500	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, fruit variety, nonfat milk, sweetened with low-calorie sweetener"	1
11446000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Fruit and lowfat yogurt parfait"	1
11459990	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, frozen, NS as to flavor, NS as to type of milk"	0
11460000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, frozen, flavors other than chocolate, NS as to type of milk"	0
11460100	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, frozen, chocolate, NS as to type of milk"	0
11460150	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, frozen, NS as to flavor, lowfat milk"	0
11460160	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, frozen, chocolate, lowfat milk"	0
11460170	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, frozen, flavors other than chocolate, lowfat milk"	0
11460190	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, frozen, NS as to flavor, nonfat milk"	0
11460200	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, frozen, chocolate, nonfat milk"	0
11460250	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated"	0
11460300	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, frozen, flavors other than chocolate, nonfat milk"	0
11460400	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, frozen, chocolate, nonfat milk, with low-calorie sweetener"	0
11460410	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, frozen, flavors other than chocolate, nonfat milk, with low-calorie sweetener"	0
11460420	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, frozen, NS as to flavor, whole milk"	0
11460430	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, frozen, chocolate, whole milk"	0
11460440	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, frozen, flavors other than chocolate, whole milk"	0
11461000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, frozen, chocolate-coated"	0
11461200	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, frozen, sandwich"	0
11461250	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, frozen, cone, chocolate"	0
11461260	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, frozen, cone, flavors other than chocolate"	0
11461270	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, frozen, cone, flavors other than chocolate, lowfat milk"	0
11461280	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, frozen, cone, chocolate, lowfat milk"	0
11480010	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, whole milk, baby food"	1
11480020	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS"	1
11480030	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron"	1
11480040	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA"	1
11511000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, chocolate, NFS"	1
11511100	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, chocolate, whole milk-based"	1
11511200	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, chocolate, reduced fat milk-based, 2% (formerly \"lowfat\")"	1
