Main.food.description	Portion	portionwgt	FoodCode	ModCode
Yakult	fluid ounce(s)	30.5	11115400	
Soy_Drink	can (12 fl oz)	366	11320000	
Hot_chocolate_Hershey_s_Nestle_s_Quick_made_from_mix_with_fat_free_skim_milk	cup	248	11513300	
Milk_shake_fountain_type_chocolate_with_low_fat_milk	milkshake (10 fl oz)	280	11541110	1
Pediasure	cup	248	11710800	
Lean_25_Smoothie	cup	248	11830941	
Tapioca	ounce(s)	28	13210500	
Thai_Tapioca_Dessert_w_Coconut_	cup	205	13210501	
Cheese_Cheddar	slice (1 oz)	19	14104010	
Cheese_Cheddar	ounce(s)	19	14104010	
Ground_beef_85_89_lean_cooked_ground_sirloin_ground_round_	ounce(s) cooked	28.35	21501300	
Beef_Jerky	ounce(s) cooked, no bone	25	21602100	
Slim_Jim_Beef_jerky_Slim_Jim_Big_Jerk_		12	21602100	
Pad_Kraprow_Pork	portion	134	22000211	
Pah_Ka_Paw_1_port_1_cup_	portion	134	22000211	
Pork_Belly	ounce(s) cooked, no bone	28.35	22101210	
Pork_Skin	ounce(s) cooked, no bone	28.35	22709110	
Chicken_breast_boneless_skinless_baked_breaded_breading_eaten	ounce(s) cooked, no bone	28.35	24127150	21
Chicken_drumstick_fried_in_oil_skin_eaten	medium drumstick	72	24134210	21
Chicken_thigh_fried_in_oil_skin_eaten	medium thigh	56	24154210	21
Chicken_wing_fried_in_oil_skin_eaten	medium wing	30	24164110	
Chicken_Feet_Ounce_	foot	20	24198500	
Raising_Canes_3_box_combo_no_drink_	meal (10.75 oz)	300	24198691	
Pork_Liver	ounce(s) cooked	28.35	25112200	
Chicken_raw_gizzards	ounce(s)	9	25170429	
Vietnamese_Sausage	ounce(s) cooked	28.35	25220461	
Hmong_Sausage	ounce(s) cooked, no bone	28.35	25221411	
Thai_Northern_Sausage_1_portion_1_oz_	portion	28.35	25221411	
Fish_Paste	ounce(s)	28	26100135	
Fish_Paste_1_portion_1_4_tbs_	portion	56	26100135	
Dried_Fish_100_grams_	ounce(s) cooked, no bone	28.35	26100170	
Dried_Fried_Fish	ounce(s)	28.35	26100170	
Cod_baked_or_broiled_with_oil	ounce(s), cooked, boneless	28.35	26109120	2
Shrimp_Paste	teaspoon	5	26319111	
Shrimp_baked_broiled_or_grilled_with_vegetable_oil	cup	145	26319120	
Shrimp_baked_broiled_or_grilled_with_vegetable_oil	ounce(s) cooked	28.35	26319120	
Pork_Curry	cup	236	27120160	
Pork_Curry_with_specific_recipe_1_port_1_2_cup	portion	236	27120160	
Turkey_Chili	cup	254	27141500	
Orange_Chicken	cup	252	27146350	
Kievs_4_8_1_piece_	piece	258	27146400	
