"Modification.code"	"Start.date"	"End.date"	"Modification.description"	"Food.code"
100780	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Kale, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	72119221
100802	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Crab, deviled W/ BUTTER, NFS"	27150020
100807	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Snowpea (pea pod), cooked, NS as to form, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75231020
100808	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cauliflower, cooked, NS as to form, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75214020
100813	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Salmon cake or patty W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	27250070
100893	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Carrots, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	73102221
100894	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Snowpea (pea pod), cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75231021
100895	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Bean sprouts, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75207021
100896	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Onion, young green, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75221061
100955	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Green peppers and onions, cooked, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75307000
100962	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Turnip greens, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	72128221
100991	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Rice pilaf W/O FAT"	58162310
100997	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Fish with tomato-based sauce (mixture) W/ BUTTER, NFS"	27150310
101023	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk shake with malt W/ 1% MILK"	11541400
101067	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Peas and carrots, cooked, NS as to form, fat added in cooking W/ BUTTER, NFS"	73111220
101101	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Squash, summer, and onions, cooked, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75316020
101113	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Peas, green, cooked, NS as to form, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75224030
101146	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Squash, winter type, mashed, fat and sugar added in cooking W/ BUTTER, NFS"	73301030
101147	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Corn, cooked, from fresh, NS as to color, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75216021
101188	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Squash, winter type, mashed, fat added in cooking, no sugar added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	73301020
101207	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Peas and carrots, cooked, from fresh, fat added in cooking W/ BUTTER, NFS"	73111221
101226	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Green peppers and onions, cooked, fat added in cooking W/ BUTTER, NFS"	75307000
101229	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Vegetable combinations, Oriental style, (broccoli, green pepper, chinese cabbage, water chestnuts, etc), cooked, fat added in cooking W/ BUTTER, NFS"	75340020
101241	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Beans, lima and corn (succotash), cooked, fat added in cooking W/ BUTTER, NFS"	75301120
101269	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Carrots in tomato sauce W/O FAT"	73111400
101277	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Tomatoes, red, from fresh, fried W/ ANIMAL FAT OR MEAT DRIPPINGS"	74202051
101281	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Pinacbet (eggplant with tomatoes, bitter melon, etc.) W/ ANIMAL FAT OR MEAT DRIPPINGS"	75340300
101287	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Spinach, cooked, NS as to form, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	72125220
101288	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Vegetables, stew type (including potatoes, carrots, onions, celery) cooked, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75317010
101291	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Chicken, thigh, coated, baked or fried, prepared with skin, skin/coating eaten W/ BUTTER, NFS"	24157210
101293	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk shake, homemade or fountain-type, flavors other than chocolate W/ 1% MILK"	11541120
101300	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Chicken, NS as to part, coated, baked or fried, prepared with skin, skin/coating not eaten W/ MARGARINE, NFS"	24107020
101304	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Collards, cooked, from fresh, fat added in cooking W/ VEGETABLE SHORTENING"	72107221
101309	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Lentils, dry, cooked, fat added in cooking W/ MARGARINE, NFS"	41304990
101310	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Chickpeas, dry, cooked, fat added in cooking W/ MARGARINE, NFS"	41302010
101311	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Turnip, cooked, from fresh, fat added in cooking W/ VEGETABLE SHORTENING"	75234021
101313	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Brussels sprouts, cooked, from frozen, fat added in cooking W/ VEGETABLE OIL,NFS (INCLUDE OIL, NFS)"	75209022
101315	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cappuccino W/ 2% MILK"	92161000
101316	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Coffee, mocha W/ SKIM MILK"	92101950
101321	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Grits, cooked, corn or hominy, quick, fat added in cooking W/ MILK"	56201120
101322	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Grits, cooked, corn or hominy, instant, fat not added in cooking W/ MILK"	56201210
101323	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Grits, cooked, corn or hominy, with cheese, instant, fat added in cooking W/ MILK"	56201092
101325	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Grits, cooked, corn or hominy, instant, fat added in cooking W/ MILK"	56201220
101326	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Grits, cooked, flavored, corn or hominy, instant, fat not added in cooking W/ MILK"	56201240
101328	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Wheat, cream of, cooked, instant, fat added in cooking W/ MILK"	56207060
101329	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Whole wheat cereal, cooked, fat not added in cooking W/ MILK"	56207200
