FoodCode	ModCode	Main.food.description
11320200	0	Milk, soy (soy beverage), fat free (nonfat)
11321000	0	Milk, soy (soy beverage), chocolate
11321000	0	Soymilk (soy beverage), chocolate
11321000	0	Chocolate soymilk 
11321100	0	Light chocolate soymilk 
11321100	0	Soymilk (soy beverage), light, chocolate
11321100	0	Milk, soy (soy beverage), light, chocolate
11321200	0	Milk, soy (soy beverage), fat free (nonfat), chocolate
11321200	0	Soymilk (soy beverage), fat free (nonfat), chocolate
11350000	0	Almond milk
11350010	0	Almond milk, chocolate
11411100	0	Yogurt, plain, whole milk
11411200	0	Yogurt, plain, low fat
11411300	0	Yogurt, plain, fat free
11421000	0	Yogurt, lemon, whole milk
11421000	0	Yogurt, maple, whole milk
11421000	0	Yogurt, coffee, whole milk
11422000	0	Yogurt, coffee, lowfat
11422000	0	Yogurt, maple, lowfat 
11422000	0	Yogurt, lemon, lowfat
11422000	0	Yogurt, vanilla, lowfat
11422100	0	Yogurt, coffee, lowfat, low calorie sweetener
11422100	0	Yogurt, maple, lowfat, low calorie sweetener
11422100	0	Yogurt, lemon, lowfat, low calorie sweetener
11422100	0	Yogurt, vanilla, lowfat, low calorie sweetener
11423000	0	Yogurt, vanilla, fat free
11423000	0	Yogurt, maple, fat free
11423000	0	Yogurt, coffee, fat free
11423000	0	Yogurt, lemon, fat free
11424000	0	Yogurt, lemon, light (fat free, low calorie sweetener)
11424000	0	Yogurt, coffee, light (fat free, low calorie sweetener)
11424000	0	Yogurt, maple, light (fat free, low calorie sweetener)
11424000	0	Yogurt, vanilla, light (fat free, low calorie sweetener)
11426000	0	Yogurt, chocolate, whole milk
11427000	0	Yogurt, chocolate, fat free 
11431000	0	Yogurt, blueberry, whole milk
11431000	0	Yogurt, fruit, whole milk
11431000	0	Yogurt, peach, whole milk
11431000	0	Yogurt, strawberry, whole milk
11431000	0	Yogurt, raspberry, whole milk
11432000	0	Yogurt, raspberry, lowfat
11432000	0	Yogurt, strawberry, lowfat
11432000	0	Yogurt, peach, lowfat
11432000	0	Yogurt, fruit, lowfat
11432000	0	Yogurt, blueberry, lowfat
11432500	0	Yogurt, blueberry, lowfat, low calorie sweetener
11432500	0	Yogurt, fruit, lowfat, low calorie sweetener
11432500	0	Yogurt, peach, lowfat, low calorie sweetener
11432500	0	Yogurt, strawberry, lowfat, low calorie sweetener
11432500	0	Yogurt, raspberry, lowfat, low calorie sweetener
11433000	0	Yogurt, raspberry, fat free
11433000	0	Yogurt, strawberry, fat free
11433000	0	Yogurt, peach, fat free
11433000	0	Yogurt, fruit, fat free  
11433000	0	Yogurt, blueberry, fat free
11433500	0	Yogurt, blueberry, light (fat free, low calorie sweetener)
11433500	0	Yogurt, fruit, light (fat free, low calorie sweetener)
11433500	0	Yogurt, peach, light (fat free, low calorie sweetener)
11433500	0	Yogurt, strawberry, light (fat free, low calorie sweetener)
11433500	0	Yogurt, raspberry, light (fat free, low calorie sweetener)
11445000	0	Yogurt, fruit and nuts, low fat
11446000	0	Fruit and low fat yogurt parfait
11447771	0	Greek yogurt, plain, fat free
11447772	0	Greek yogurt, fruit, fat free
11460160	0	Frozen yogurt, chocolate, low fat
11460170	0	Frozen yogurt, other flavors, low fat
11460170	0	Frozen yogurt, vanilla, low fat
11460200	0	Frozen yogurt, chocolate, nonfat
11460250	0	Frozen yogurt, other flavors, with sorbet
11460250	0	Frozen yogurt, vanilla, with sorbet
11460300	0	Frozen yogurt, vanilla, nonfat
11460300	0	Frozen yogurt, other flavors, nonfat
11460400	0	Frozen yogurt, chocolate, nonfat, low-calorie sweetener
11460410	0	Frozen yogurt, other flavors, nonfat, low-calorie sweetener
11460410	0	Frozen yogurt, vanilla, nonfat, low-calorie sweetener
11460430	0	Frozen yogurt, chocolate, whole milk
11460440	0	Frozen yogurt, other flavors, whole milk
11460440	0	Frozen yogurt, vanilla, whole milk
11461000	0	Frozen yogurt, chocolate-coated
11461100	0	Frozen yogurt, carob-coated
11461200	0	Frozen yogurt, sandwich
11461250	0	Frozen yogurt, cone, chocolate
11461260	0	Frozen yogurt, cone, other flavors
11461260	0	Frozen yogurt, cone, vanilla
11461270	0	Frozen yogurt, cone, vanilla, low fat
11461270	0	Frozen yogurt, cone, other flavors, low fat
11461280	0	Frozen yogurt, cone, chocolate, low fat
11511100	0	Chocolate milk, whole
11511100	0	Milk, chocolate flavored, whole
11511200	0	Milk, chocolate flavored, reduced fat (2%)
11511200	0	Chocolate milk, reduced fat (2%)
11511300	0	Chocolate milk, fat free (skim)
11511300	0	Milk, chocolate flavored, fat free (skim)
11511400	0	Milk, chocolate flavored, low fat (1%)
11511400	0	Chocolate milk, low fat (1%)
11512000	0	Hot chocolate, homemade, with whole milk
11512000	0	Hot cocoa, homemade, with whole milk
11512500	0	Hot chocolate, Puerto Rican style, with whole milk
11512500	206723	Hot chocolate, Puerto Rican style, with reduced fat (2%) milk
11512500	206744	Hot chocolate, Puerto Rican style, with low fat (1%) milk
11513100	0	Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with whole milk 
11513100	0	Hot cocoa, (Hershey's), (Nestle's Quick), made from mix, with whole milk  
11513150	0	Hot cocoa, (Hershey's), (Nestle's Quick), made from mix, with reduced fat (2%) milk 
11513150	0	Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with reduced fat (2%) milk 
11513200	0	Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with low fat (1%) milk 
11513200	0	Hot cocoa, (Hershey's), (Nestle's Quick), made from mix, with low fat (1%) milk 
11513300	0	Hot cocoa, (Hershey's), (Nestle's Quick), made from mix, with fat free (skim) milk 
11513300	0	Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with fat free (skim) milk 
11513355	0	Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with whole milk
11513360	0	Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with reduced fat (2%) milk
11513365	0	Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with low fat (1%) milk
11513370	0	Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with fat free (skim) milk
11513500	0	Chocolate milk, homemade, with whole milk 
11513500	0	Milk, whole, with chocolate syrup
11513550	0	Milk, reduced fat (2%), with chocolate syrup
11513550	0	Chocolate milk, homemade, with reduced fat (2%) milk 
11513600	0	Chocolate milk, homemade, with low fat (1%) milk 
11513600	0	Milk, low fat (1%), with chocolate syrup
11513700	0	Milk, fat free (skim), with chocolate syrup
11513700	0	Chocolate milk, homemade, with fat free (skim) milk 
11514100	0	Hot chocolate, (Swiss Miss), (Carnation), made from dry mix (with milk & sugar), with water
11514100	0	Hot cocoa, (Swiss Miss), (Carnation), dry mix (with milk & sugar), made with water
11514300	0	Hot cocoa, (Carnation), (Swiss Miss), (Nutrisystem), made from mix (with milk & low calorie sweetener), with water
11514300	0	Hot chocolate, (Carnation), (Swiss Miss), (Nutrisystem), made from mix (with milk & low calorie sweetener), with water
11514500	0	Ovaltine sugar free Hot Cocoa 
11515400	0	Alba High Calcium Cocoa
11516000	0	Chocolate Milk, (Nestle's Quik), (Swiss Miss), with 1% fat milk
11518000	0	Chocolate beverage, (Jenny Craig), (Alba), from dry mix with milk and low calorie sweetener, water added
11519050	0	Milk, whole, with strawberry or vanilla flavor
11519050	0	Vanilla-flavored whole milk
11519050	0	Strawberry milk, whole milk
11519105	0	Strawberry milk, reduced fat (2%) 
11519105	0	Vanilla-flavored milk, reduced fat (2%) 
11519105	0	Milk, reduced fat (2%), with strawberry or vanilla flavor
11519200	0	Milk, low fat (1%) with strawberry or vanilla flavor
11519200	0	Vanilla-flavored milk, low fat (1%)
11519200	0	Strawberry milk, low fat (1%)
11519205	0	Strawberry milk, fat free (skim) 
11519205	0	Vanilla-flavored milk, fat free (skim) 
11519205	0	Milk, fat free (skim), with strawberry or vanilla flavor
11521000	0	Malted milk, chocolate, with 2% milk
11522000	0	Malted milk, natural flavor, with 2% milk
11522000	205085	Malted milk, natural flavor, with whole milk
11525000	206681	Malted milk, fortified, natural flavor, with whole milk
11525000	206681	Ovaltine, natural flavor, with whole milk
11525000	206746	Ovaltine, natural flavor, with 2% milk
11525000	206746	Malted milk, fortified, natural flavor, with 2% milk
11525000	206771	Malted milk, fortified, natural flavor, with skim milk
11525000	206771	Ovaltine, natural flavor, with skim milk
11526000	201243	Ovaltine, chocolate, with skim milk
11526000	201243	Malted milk, fortified, chocolate, with skim milk
11526000	201914	Malted milk, fortified, chocolate, with whole milk
11526000	201914	Ovaltine, chocolate, with whole milk
11526000	202280	Ovaltine, chocolate, with 2% milk
11526000	202280	Malted milk, fortified, chocolate, with 2% milk
11526000	202663	Malted milk, fortified, chocolate, with 1% milk
11526000	202663	Ovaltine, chocolate, with 1% milk
11531000	0	Eggnog, with whole milk
11531500	0	Eggnog, with 2% milk 
11531500	0	Eggnog, with reduced fat milk 
11541110	0	Milk shake, homemade, chocolate, with whole milk
11541110	0	Milk shake,  fountain-type, chocolate, with whole milk
11541110	100566	Milk shake,  fountain-type, chocolate, with 2% milk
11541110	100566	Milk shake, homemade, chocolate, with 2% milk
11541110	205157	Milk shake, homemade, chocolate, with low fat milk
11541110	205157	Milk shake,  fountain-type, chocolate, with low fat milk
11541120	0	Milk shake,  fountain-type, vanilla or strawberry, with whole milk
11541120	0	Milk shake, homemade, vanilla or strawberry, with whole milk
11541120	101293	Milk shake, homemade, vanilla or strawberry, with 2% milk
11541120	101293	Milk shake,  fountain-type, vanilla or strawberry, with 2% milk
11541120	201586	Milk shake,  fountain-type, vanilla or strawberry, with low fat milk
11541120	201586	Milk shake, homemade, vanilla or strawberry, with low fat milk
11541120	202978	Milk shake, homemade, vanilla or strawberry, with fat free milk
11541120	202978	Milk shake,  fountain-type, vanilla or strawberry, with skim milk
11541400	0	Milk shake, with malt, with whole milk
11541400	101023	Milk shake, with malt, with 1% milk
11541400	101023	Milk shake, with malt, with low fat milk
11542100	0	Milk shake, fast food or carry-out, chocolate
11542200	0	Milk shake, fast food or carry out, vanilla or strawberry
11551050	204588	Fruit smoothie, made with whole milk
11551050	206451	Fruit smoothie, made with fat free (skim) milk
11551050	206885	Fruit smoothie, made with reduced fat (2%) milk
11551050	206927	Fruit smoothie, made with low fat (1%) milk
11552200	0	Orange Julius
11553000	0	Fruit smoothie, made with yogurt and ice cream
11560000	0	Chocolate-flavored drink
11560000	0	Yoo-Hoo drink, chocolate
11560020	0	Yoo-Hoo drink, strawberry
11560020	0	Strawberry-flavored drink
11561000	0	Cafe con leche, with whole milk
11561010	0	Cafe con leche  with sugar
11561010	204009	Cafe con leche with sugar and 2% milk
11611000	0	Instant breakfast, canned
11612000	100069	Instant breakfast, powder, with 2% milk
11612000	200404	Instant breakfast, powder, with whole milk 
11612000	201746	Instant breakfast, powder, with skim milk
11612000	206499	Instant breakfast, powder, with 1% milk
11613000	203344	Instant breakfast, powder, low calorie sweetener, with 2% milk
11622010	0	Diet beverage, powder, made with fat free milk
11622010	0	Diet beverage, powder, made with skim milk
11623000	0	Ensure Nutrition Shake
11623000	0	Meal replacement, ready-to-drink, (Ultra Slim Fast)
11631000	0	Meal supplement, high calorie, canned or powdered, reconstituted
11631000	0	Nutrament energy drink
11641000	0	Meal supplement, high protein, liquid
11641000	0	Meal replacement, high protein, liquid
11641000	0	Sustacal Powder, reconstituted
11641020	0	Meal supplement, ready-to-drink, (Boost)
11641020	0	Boost Nutritional Energy Drink
11811000	0	Milk, dry, whole, not reconstituted
11811000	0	Whole dry milk powder
11812000	0	Milk, dry, low fat, not reconstituted
11812000	0	Low fat dry milk powder
11813000	0	Milk, dry, nonfat, not reconstituted
11813000	0	Nonfat dry milk powder
11820000	0	Buttermilk, dry, not reconstituted
11820000	0	Buttermilk, dry, powdered
11825000	0	Whey, sweet, dry
11830100	0	Cocoa, dry mix (with milk & sugar), not reconstituted
11830110	0	Cocoa, dry mix (with nonfat dry milk & low calorie sweetener), not reconstituted
11830110	0	Sugar free dry cocoa mix
11830150	0	Cocoa powder, unsweetened
11830160	0	Chocolate flavored powdered drink mix, not reconstituted
11830160	0	Hershey's Instant powder
11830160	0	Nestle's Quik powder, chocolate
11830170	0	sugar free Nestle's Quik powder
11830170	0	Swiss Miss sugar free Chocolate Milk 
11830170	0	Chocolate-flavored powdered drink mix with low-calorie sweetener, not reconstituted
11830200	0	Malted milk, dry mix, natural flavor, not reconstituted
11830210	0	Malted milk, dry mix, fortified, natural flavor, not reconstituted
11830210	0	Ovaltine powder, natural flavor
11830250	0	Malted milk, dry mix, chocolate, not reconstituted
11830260	0	Malted milk, dry mix, fortified, chocolate, not reconstituted
11830260	0	Ovaltine powder, chocolate
11830400	0	Nestle's Quik powder, strawberry
11830400	0	Strawberry-flavored powdered drink mix, not reconstituted
11830800	0	Instant breakfast, powder, not reconstituted
11830810	0	Instant breakfast, powder, sweetened with low calorie sweetener, not reconstituted
11830900	0	Protein supplement powder, milk-based, not reconstituted
11830940	0	Meal replacement powder, high protein, milk-based, to mix with fruit juice, not reconstituted
11830970	0	Meal replacement powder, milk-based, not reconstituted
11830970	0	Met-Rx powder, not reconstituted
11830970	0	Ultra Slim Fast powder, not reconstituted
11830990	0	Nutrient supplement powder, milk-based, not reconstituted
11831500	0	Nutrient supplement powder, milk-based, high protein, not reconstituted
11832000	0	Meal replacement powder, milk- and soy-based,  not reconstituted
12110100	0	Light cream
12110100	0	Cream, light
12110300	0	Cream, light, whipped, unsweetened
12110300	0	Light cream, whipped, unsweetened
12120100	0	Half and half
12120100	0	Cream, half and half
12120105	0	Cream, half and half, low fat
12120105	0	Low fat half and half
12120110	0	Cream, half and half, fat free
12120110	0	Fat free half and half
12130100	0	Cream, heavy (whipping cream)
12130100	0	Heavy cream
12130200	0	Cream, heavy, whipped, unsweetened
12130200	0	Whipped cream, heavy, unsweetened
12140000	0	Whipped cream, heavy, sweetened
12140000	0	Cream, heavy, whipped, sweetened
12140100	0	Cream, whipped, pressurized container
12140100	0	Whipped cream, pressurized container
12140100	0	Reddiwip
12140105	0	Whipped cream, light, pressurized container
12140105	0	Cream, whipped, pressurized container, light
12140110	0	Cream, whipped, pressurized container, fat free
12140110	0	Whipped cream, fat free, pressurized container
12140110	0	Reddiwip Fat Free
12210200	0	Cream substitute, liquid
12210200	0	Coffee creamer, liquid
12210200	0	Coffee Mate, liquid
12210210	0	Coffee Mate, flavored, liquid
12210210	0	Coffee creamer, flavored, liquid
12210210	0	Cream substitute, flavored, liquid
12210250	0	Cream substitute, light, liquid
12210250	0	Coffee creamer, light, liquid
12210250	0	Coffee Mate, light, liquid
12210400	0	Coffee creamer, powdered
12210400	0	Coffee Mate, powdered
12210400	0	Cream substitute, powdered
12210400	0	Cremora
12210410	0	Cremora, light
12210410	0	Cream substitute, light, powdered
12210410	0	Coffee creamer, light, powdered
12210420	0	Coffee creamer, flavored, powdered
12210420	0	Cream substitute, flavored, powdered
12220100	0	Cool Whip pressurized can
12220100	0	Whipped topping, nondairy, pressurized can
12220200	0	Whipped topping, nondairy, frozen
12220200	0	Cool Whip frozen
12220250	0	Cool Whip Lite frozen
12220250	0	Whipped topping, nondairy, frozen, low fat
12220270	0	Whipped topping, nondairy, frozen, fat free
12220270	0	Cool Whip Free frozen
12220280	0	Cool Whip Sugar Free frozen 
12220280	0	Whipped topping, nondairy, frozen, sugar free
12220300	0	Whipped topping, nondairy, made from powdered mix
12220300	0	Dream Whip 
12310100	0	Sour cream
12310200	0	Sour cream, half and half
12310300	0	Sour cream, reduced fat
12310340	0	Sour cream, low fat
12310350	0	Sour cream, light
12310370	0	Sour cream, fat free
12310370	0	Nonfat sour cream 
12320100	0	Sour cream, imitation (nondairy)
12350000	0	Ranch dip, made with sour cream
12350000	0	French onion dip, made with sour cream
12350000	0	Dip, made with sour cream
12350000	201766	Dip, made with fat free sour cream
12350000	201766	French onion dip, made with fat free sour cream
12350000	201766	Ranch dip, made with fat free sour cream
12350000	202322	Ranch dip, made with light sour cream
12350000	202322	French onion dip, made with light sour cream
12350000	202322	Dip, made with light sour cream
12350020	0	Dip, made with reduced fat sour cream
12350020	0	French onion dip, made with reduced fat sour cream
12350020	0	Ranch dip, made with reduced fat sour cream
12350100	0	Spinach dip, made with sour cream and mayonnaise
12350100	100968	Spinach dip, made with fat free sour cream and low-calorie mayonnaise
12350100	206570	Spinach dip, made with reduced fat sour cream and mayonnaise
12350110	0	Spinach and artichoke dip
13110100	0	Ice cream, regular, vanilla or other flavors
13110110	0	Ice cream, regular, chocolate
13110120	0	Ice cream, premium (rich), vanilla or other flavors
13110120	0	Haagen-Dazs ice cream, vanilla or other flavors
13110120	0	Ben and Jerry's ice cream, vanilla or other flavors
13110130	0	Ben and Jerry's ice cream, chocolate
13110130	0	Haagen-Dazs ice cream, chocolate
13110130	0	Ice cream, premium (rich), chocolate
13110200	0	Ice cream, soft serve, vanilla or other flavors
13110210	0	Ice cream, soft serve, chocolate
13110320	0	Ice cream, no sugar added, vanilla or other flavors
13110330	0	Ice cream, no sugar added, chocolate
13120050	0	Ice cream bar, no coating
13120100	0	Ice cream bar, chocolate covered
13120100	0	Klondike Ice Cream Bar
13120110	0	Ice cream bar, chocolate or caramel covered, with nuts
13120120	0	Ice cream bar, rich chocolate ice cream, thick chocolate covering
13120120	0	Haagen-Dazs chocolate ice cream bar 
13120120	0	Dove bar, chocolate ice cream
13120121	0	Dove bar, vanilla ice cream
13120121	0	Haagen-Dazs vanilla ice cream bar 
13120121	0	Ice cream bar, rich ice cream, thick chocolate covering
13120130	0	Ice cream bar, rich ice cream, chocolate covered, with nuts
13120130	0	Haagen-Dazs ice cream bar with nuts
13120140	0	Ice cream bar, chocolate ice cream, chocolate covered
13120300	0	Ice cream bar, cake covered
13120310	0	Ice cream bar, with crunch coating
13120400	0	Ice cream bar or stick with fruit
13120500	0	Ice cream sandwich
13120550	0	Ice cream cookie sandwich
13120700	0	Ice cream cone, vanilla ice cream or other flavors, with nuts
13120710	0	Ice cream cone, vanilla ice cream or other flavors, chocolate covered, with nuts
13120720	0	Ice cream cone, vanilla ice cream or other flavors, chocolate covered
13120730	0	Ice cream cone, vanilla ice cream or other flavors 
13120750	0	Ice cream cone, chocolate ice cream, with nuts
13120760	0	Ice cream cone, chocolate ice cream, chocolate covered 
13120770	0	Ice cream cone, chocolate ice cream
13120780	0	Ice cream cone, chocolate ice cream, chocolate covered, with nuts
13120790	0	Ice cream sundae cone
13120790	0	Drumstick ice cream sundae cone
13120800	0	Ice cream soda, vanilla or other flavors
13120810	0	Ice cream soda, chocolate
13121100	0	Ice cream sundae, fruit topping, with whipped cream
13121200	0	Ice cream sundae, prepackaged, vanilla or other flavors
13121300	0	Ice cream sundae, chocolate or fudge topping, with whipped cream
13121400	0	Ice cream sundae, caramel or butterscotch topping, with whipped cream
13121500	0	Ice cream sundae, fudge topping, with cake and whipped cream
13122100	0	Ice cream pie, no crust
13122100	0	Pie, ice cream, no crust
13122500	0	Pie, ice cream, with cookie crust, fudge topping, and whipped cream
13122500	0	Ice cream pie, with cookie crust, fudge topping, and whipped cream
13126000	0	Ice cream, fried
13126000	0	Fried ice cream
13130300	0	Ice cream, light, vanilla or other flavors 
13130300	0	Ice cream, slow churned (light), vanilla or other flavors 
13130300	0	Light ice cream, vanilla or other flavors 
13130310	0	Light ice cream, chocolate
13130310	0	Ice cream, slow churned (light), chocolate
13130310	0	Ice cream, light, chocolate
13130330	0	Ice cream, light, no sugar added, vanilla or other flavors
13130330	0	Light ice cream, no sugar added, vanilla or other flavors
13130340	0	Light ice cream, no sugar added, chocolate
13130340	0	Ice cream, light, no sugar added, chocolate
13130600	0	Ice cream, light, soft serve, vanilla or other flavors
13130600	0	Light ice cream, soft serve, vanilla or other flavors
13130600	0	Wendy's Frosty Dairy Dessert
13130610	0	Light ice cream, soft serve, chocolate
13130610	0	Ice cream, light, soft serve, chocolate
13130620	0	Ice cream, light, soft serve cone, vanilla or other flavors
13130620	0	Light ice cream, soft serve cone, vanilla or other flavors
13130630	0	Light ice cream, soft serve cone, chocolate
13130630	0	Ice cream, light, soft serve cone, chocolate
13130700	0	Ice cream, light, soft serve, blended with candy or cookies (Blizzard, McFlurry)
13130700	0	Light ice cream, soft serve, blended with candy or cookies
13135000	0	Ice cream sandwich, light vanilla ice cream
13135010	0	Ice cream sandwich, light chocolate ice cream
13136000	0	Ice cream sandwich, light, no-sugar- added ice cream
13140100	0	Ice cream bar, light ice cream, chocolate-coated
13140100	0	Light ice cream bar, chocolate-coated
13140110	0	Light ice cream bar, chocolate covered, with nuts
13140110	0	Ice cream bar, light ice cream, chocolate covered, with nuts
13140500	0	Ice cream cone, light ice cream, chocolate
13140500	0	Light ice cream cone, chocolate
13140550	0	Light ice cream cone, vanilla or other flavors 
13140550	0	Ice cream cone, light ice cream, vanilla or other flavors 
13140600	0	Ice cream sundae, light, soft serve, chocolate or fudge topping, with whipped cream 
13140600	0	Light ice cream sundae, soft serve, chocolate or fudge topping, with whipped cream 
13140630	0	Light ice cream sundae, soft serve, fruit topping, with whipped cream
13140630	0	Ice cream sundae, light, soft serve, fruit topping, with whipped cream
13140650	0	Light ice cream sundae, soft serve, caramel or butterscotch topping, with whipped cream
13140650	0	Ice cream sundae, light, soft serve, caramel or butterscotch topping, with whipped cream
13140660	0	Ice cream sundae, light, soft serve, chocolate or fudge topping, no whipped cream
13140660	0	Light ice cream sundae, soft serve, chocolate or fudge topping, no whipped cream
13140670	0	Light ice cream sundae, soft serve, fruit topping, no whipped cream
13140670	0	Ice cream sundae, light, soft serve, fruit topping, no whipped cream
13140680	0	Ice cream sundae, light, soft serve, caramel or butterscotch topping, no whipped cream
13140680	0	Light ice cream sundae, soft serve, caramel or butterscotch topping, no whipped cream
13140700	0	Light ice cream bar, creamsicle or dreamsicle
13140700	0	Ice cream bar, creamsicle or dreamsicle
13140700	0	Creamsicle or dreamsicle
13140900	0	Fudgesicle
13140900	0	Ice cream bar, fudgesicle
13140900	0	Light ice cream bar, fudgesicle
13142000	0	Milk dessert bar or stick, frozen, with coconut
13150000	0	Sherbet, all flavors
13160150	0	Ice cream, fat free (nonfat), no sugar added, chocolate
13160150	0	Fat free ice cream, no sugar added, chocolate
13160160	0	Fat free ice cream, no sugar added, vanilla or other flavors
13160160	0	Ice cream, fat free (nonfat), no sugar added, vanilla or other flavors
13160400	0	Ice cream, fat free (nonfat), vanilla or other flavors
13160400	0	Fat free ice cream, vanilla or other flavors
13160410	0	Fat free ice cream, chocolate
13160410	0	Ice cream, fat free (nonfat), chocolate
13161000	0	Milk dessert bar, frozen, made from low fat milk
13161500	0	Milk dessert sandwich bar, frozen, made from low fat milk
13161520	0	Milk dessert sandwich bar, frozen, with low-calorie sweetener, made from low fat milk
13161600	0	Milk dessert bar, frozen, made from low fat milk and low calorie sweetener
13161630	0	Light ice cream, bar or stick, with low-calorie sweetener, chocolate-coated 
13170000	0	Baked Alaska
13210110	0	Bread pudding, with raisins
13210110	202025	Bread pudding, with low fat (1%) milk
13210110	202027	Bread pudding, with reduced fat (2%) milk
13210110	206233	Bread pudding, with whole  milk
13210110	206478	Bread pudding, with fat free (skim) milk
13210150	0	Bread pudding, Puerto Rican, with evaporated milk and rum 
13210160	0	Diplomat pudding, Puerto Rican 
13210180	0	Bread pudding, Mexican 
13210180	205744	Bread pudding, Mexican, with milk 
13210190	0	Bread pudding, Mexican, lower fat
13210300	201627	Custard, with whole milk
13210300	201916	Custard, with reduced fat (2%) milk
13210300	202337	Custard, with heavy cream
13210300	202532	Custard, with fat free (skim) milk
13210300	206348	Custard, with low fat (1%) milk
13210300	207007	Custard, with soymilk
13210350	0	Custard, Puerto Rican style, with evaporated milk
13210350	0	Flan, made with evaporated milk
13210350	202228	Flan, made with reduced fat (2%) milk
13210350	202228	Custard, Puerto Rican style, with reduced fat (2%) milk
13210350	202769	Custard, Puerto Rican style, with whole milk
13210350	202769	Flan, made with whole milk
13210350	206307	Flan, made with heavy cream
13210350	206307	Custard, Puerto Rican style, with heavy cream
13210350	207601	Flan, made with skim milk
13210410	101318	Rice pudding, with rice beverage
13210410	101318	Pudding, rice, with rice beverage
13210410	200118	Pudding, rice, with reduced fat (2%) milk
13210410	200118	Rice pudding, with reduced fat (2%) milk
13210410	201036	Rice pudding, with whole milk
13210410	201036	Pudding, rice, with whole milk
13210410	202246	Pudding, rice, with low fat (1%) milk
13210410	202246	Rice pudding, with low fat (1%) milk
13210410	202515	Rice pudding, with half and half
13210410	202515	Pudding, rice, with half and half
13210410	202676	Pudding, rice, with fat free (skim) milk
