FoodCode	ModCode	Main.food.description
11111000	0	Milk, whole
11111000	0	Whole milk
11111100	0	Whole milk, low sodium
11111100	0	Milk, whole, low-sodium
11111150	0	Milk, whole, calcium fortified
11111150	0	Whole milk, calcium fortified
11111160	0	Milk, low fat (1%), calcium fortified 
11111160	0	1% milk, calcium fortified 
11111160	0	Low fat milk, calcium fortified 
11111170	0	Fat free milk, calcium fortified 
11111170	0	Milk, fat free (skim), calcium fortified 
11111170	0	Nonfat milk, calcium fortified 
11111170	0	Skim milk, calcium fortified 
11112110	0	Milk, reduced fat (2%)
11112110	0	reduced fat milk
11112110	0	2% milk
11112120	0	1% acidophilus milk
11112120	0	Low fat acidophilus milk
11112120	0	Milk, low fat (1%), acidophilus 
11112130	0	Milk, reduced fat (2%), acidophilus 
11112130	0	reduced fat acidophilus milk
11112130	0	2% acidophilus milk
11112210	0	1% milk
11112210	0	Low fat milk
11112210	0	Milk, low fat (1%)
11113000	0	Milk, fat free (skim)
11113000	0	Nonfat milk
11113000	0	Skim milk
11113000	0	Fat free milk 
11114300	0	Low fat milk, lactose-free (Lactaid)
11114300	0	1% milk, lactose-free (Lactaid)
11114300	0	Milk, low fat (1%), lactose-free
11114310	0	Milk, low fat (1%), lactose-free, calcium fortified
11114310	0	1% milk, lactose-free (Lactaid), calcium-fortified
11114310	0	Low fat milk, lactose-free (Lactaid), calcium-fortified
11114320	0	Lactaid milk, fat free (skim)
11114320	0	Fat free milk, lactose-free
11114320	0	Milk, fat free (skim), lactose-free
11114320	0	Skim milk, lactose-free
11114321	0	Skim milk, lactose-free, calcium fortified
11114321	0	Milk, fat free (skim), lactose-free, calcium fortified
11114321	0	Fat free milk, lactose-free, calcium fortified
11114321	0	Lactaid milk, skim, calcium fortified
11114330	0	2% milk, lactose-free (Lactaid)
11114330	0	Milk, reduced fat (2%), lactose-free
11114330	0	reduced fat milk, lactose-free  (Lactaid)
11114350	0	Milk, whole, lactose-free
11114350	0	Whole milk, lactose-free (Lactaid)
11114350	0	Lactaid milk, whole milk
11115000	0	Kefir milk
11115000	0	Buttermilk, fat free (skim)
11115100	0	Buttermilk, low fat (1%)
11115100	0	1% buttermilk
11115100	0	Low fat buttermilk
11115200	0	2% buttermilk
11115200	0	Buttermilk, reduced fat (2%)
11115200	0	reduced fat buttermilk
11115300	0	Buttermilk, whole
11116000	0	Milk, goat's
11116000	0	Goat's milk 
11121100	0	Milk, dry, whole, reconstituted
11121100	0	Powdered milk, whole, reconstituted
11121210	0	Powdered milk,  low fat, reconstituted
11121210	0	Milk, dry, low fat, reconstituted
11121300	0	Milk, dry, fat free, reconstituted
11121300	0	Nonfat dry milk, reconstituted
11121300	0	Powdered milk, fat free, reconstituted
11122000	0	Buttermilk, dry, reconstituted
11211050	0	Evaporated milk, whole
11211400	0	Evaporated milk, reduced fat (2%)
11212050	0	Evaporated milk, fat free (skim) 
11212050	0	Nonfat evaporated milk 
11220000	0	Sweetened condensed milk
11220000	0	Condensed milk 
11320000	0	Soymilk (soy beverage)
11320000	0	Milk, soy (soy beverage)
11320100	0	Milk, soy (soy beverage), light
11320100	0	Soymilk (soy beverage), light
11320100	0	Light soymilk 
11320200	0	Soymilk (soy beverage), fat free (nonfat)
