	PD_whole_tree	shannon	simpson	observed_otus
CS.106	30.0	1.67345242646	0.628979975272	5.0
CS.110	43.0	2.4635513713	0.742951892152	10.0
CS.139	18.0	1.23704383879	0.498890251353	3.0
CS.141	28.0	2.00807641222	0.671629899273	6.0
CS.142	43.0	2.56085501429	0.79665063608	8.0
CS.175	18.0	1.32612577916	0.543613735692	3.0
CS.198	36.0	2.32889090798	0.765444226855	7.0
CS.245	18.0	1.16925113778	0.475750151964	3.0
CS.246	29.0	1.75502619643	0.582849475389	6.0
CS.281	23.0	1.16616247772	0.447105102118	4.0
CS.314	24.0	1.32916442501	0.484824672813	5.0
CS.317	29.0	1.92712972339	0.668405922847	5.0
CS.357	35.0	2.32204178115	0.763786884311	6.0
L.002.M1	40.0	2.19657939754	0.707930652478	8.0
L.002.M2	41.0	2.26572314197	0.704816776622	10.0
L.003.M0	32.0	1.7912246516	0.652395944604	6.0
L.003.M1	31.0	2.0976918818	0.694582245329	6.0
L.003.M4	35.0	2.06027680492	0.656268408163	8.0
L.003.M6	47.0	2.687483061	0.815734982384	9.0
L.005.M5	29.0	2.18237106655	0.740834889666	6.0
L.005.M6	40.0	2.381021379	0.770394993629	7.0
L.011.M1	24.0	1.58057199426	0.547716299578	5.0
L.012.M3	24.0	1.64364814709	0.612021546558	4.0
L.012.M4	19.0	1.33452356977	0.537747195777	4.0
L.022.M4	34.0	1.91192636086	0.690156582943	6.0
L.024.M2	23.0	1.43211792388	0.575587287462	4.0
L.024.M6	28.0	1.96751712584	0.687224379833	5.0
L.031.M3	52.0	2.63859091102	0.784409648904	10.0
L.032.M1	29.0	1.95827482154	0.702317389127	5.0
L.033.M1	35.0	2.31837002704	0.767486390829	8.0
L.034.M1	19.0	1.36516631127	0.494671998659	4.0
L.034.M3	36.0	2.35899159434	0.776350735505	7.0
L.035.M1	42.0	2.59228023007	0.75744807727	10.0
L.036.M2	29.0	1.83421408568	0.635295266316	5.0
L.036.M3	37.0	2.46031872107	0.792839029311	8.0
T.CS.094	40.0	2.23771940937	0.703390949591	8.0
T.CS.098	60.0	2.47047110098	0.690588574283	14.0
T.CS.101	24.0	1.60017880621	0.522905675876	6.0
T.CS.102	24.0	1.70042201163	0.564157114912	6.0
T.CS.104	28.0	1.62468851053	0.589583609894	6.0
T.CS.114	52.0	2.64892002852	0.76977390069	13.0
T.CS.115	41.0	2.49835687521	0.774203174569	8.0
T.CS.120	44.0	2.36247182816	0.712175928543	11.0
T.CS.121	44.0	2.56965788825	0.715509280217	12.0
T.CS.125	33.0	1.69937295298	0.519510542307	8.0
T.CS.131	55.0	2.22540555496	0.631745972871	12.0
T.CS.132	54.0	1.90417135827	0.542926782313	11.0
T.CS.137	42.0	1.88400981189	0.618905642464	10.0
T.CS.141	28.0	1.68539785604	0.551010722349	6.0
T.CS.142	30.0	1.83576789133	0.566513117495	8.0
T.CS.144	29.0	1.37393703891	0.470070451365	6.0
T.CS.147	24.0	0.988925677618	0.294291873128	6.0
T.CS.149	53.0	2.20810139162	0.722896377355	11.0
T.CS.150	27.0	1.72948265125	0.652888749392	5.0
T.CS.155	38.0	2.18442783018	0.732794353018	7.0
T.CS.156	50.0	1.91621615116	0.584885999908	9.0
T.CS.158	47.0	2.36071197902	0.651864068281	13.0
T.CS.166	40.0	1.71289621705	0.595147532638	7.0
T.CS.179	49.0	2.28878627758	0.729409697423	9.0
TFS.005	50.0	1.93880433614	0.585208075266	11.0
TFS.006	47.0	2.0169608907	0.675742908701	9.0
CS.031	17.0	1.21875814039	0.492579868783	3.0
CS.102	32.0	1.97008367299	0.69504432434	6.0
L.001.M1	40.0	2.09722187052	0.728620017435	7.0
CS.009	35.0	2.30809043007	0.734174287483	7.0
CS.016	23.0	1.65017033969	0.631805362728	4.0
CS.017	18.0	1.09261011523	0.450380950533	3.0
CS.099	51.0	2.99035228109	0.85319338843	11.0
CS.260	35.0	2.31625655604	0.750599059685	7.0
L.003.M2	31.0	2.17862515423	0.719266697005	7.0
L.031.M5	22.0	1.9291645335	0.657827644807	7.0
T.CS.146	24.0	1.30612855352	0.425017069642	6.0
T.CS.178	41.0	1.97333684046	0.656274949194	11.0
T.CS.135	50.0	2.40923138532	0.71580136925	11.0
T.CS.013	24.0	1.44677256034	0.540204715949	4.0
T.CS.164	35.0	1.43675570605	0.471433644451	6.0
L.008.M6	24.0	2.03888692808	0.719786729858	5.0
L.024.M4.NOSAMPLE	17.0	1.22990911776	0.517533459357	3.0
T.CS.026	24.0	1.70653744839	0.658968350649	4.0
T.CS.027	40.0	2.35392820501	0.775882091895	7.0
T.CS.040	18.0	1.48592278681	0.623750612685	3.0
T.CS.043	18.0	1.24141456437	0.525814346483	3.0
T.CS.105	62.0	2.54276758173	0.764548430668	12.0
T.CS.106	32.0	2.02502863561	0.670725275713	6.0
CS.057	35.0	2.10252815829	0.696256353578	7.0
T.CS.059	26.0	1.68968026575	0.553871815218	6.0
CS.078	43.0	2.52963577052	0.790123823958	9.0
CS.091	40.0	2.32631206603	0.747236402578	8.0
CS.229	23.0	1.53957274717	0.585985047241	4.0
CS.313	23.0	1.87336078126	0.712609874849	4.0
CS.042	23.0	1.83685266279	0.693718698386	4.0
L.012.M5	20.0	1.40554950348	0.515206460656	5.0
L.033.M4	38.0	2.31801610331	0.751335903443	7.0
L.036.M4	30.0	1.74673407555	0.614687345907	6.0
T.CS.070	18.0	1.42645233012	0.592427004888	3.0
T.CS.078	30.0	1.6965543251	0.56368841007	6.0
CS.257	30.0	2.18161032205	0.7439774129	6.0
L.004.M3	39.0	2.27412318831	0.72376021092	8.0
L.006.M2	30.0	2.10489403865	0.727797866805	6.0
L.007.M5	46.0	2.03718121279	0.708273656318	8.0
TFS.027	18.0	1.05498414761	0.403245149912	3.0
CS.208	24.0	1.88305694283	0.710771952275	4.0
CS.112	60.0	2.85430013861	0.810288773229	11.0
L.031.M1	44.0	2.52256559367	0.775610837812	9.0
CS.025	33.0	2.11940294314	0.739683413664	6.0
CS.267	74.0	3.047642332	0.828392828562	17.0
T.CS.100	41.0	2.43957961847	0.726609737383	10.0
T.CS.160	46.0	2.05917287849	0.644424755451	9.0
T.CS.060	25.0	2.0135464229	0.717376485535	5.0
CS.254	56.0	3.1243291066	0.865477451375	11.0
CS.074	44.0	2.54448422858	0.798831440485	8.0
CS.084	27.0	1.79545456422	0.621917796842	5.0
CS.087	30.0	1.94457063754	0.682793209877	6.0
CS.093	32.0	1.81882413531	0.662686024159	6.0
CS.109	41.0	2.83568795574	0.836107409648	9.0
CS.140	25.0	2.0142012748	0.706998118785	5.0
CS.244	29.0	1.85385912352	0.673452933982	6.0
L.022.M1	28.0	1.89081816716	0.679934375	6.0
L.032.M3	24.0	1.59330255744	0.618121190602	4.0
L.032.M5	28.0	2.00873409791	0.734176891168	5.0
L.033.M3	36.0	2.13175308184	0.726290378918	6.0
L.033.M5	35.0	2.20898273775	0.76180227203	6.0
L.034.M5	34.0	2.35992523762	0.784748763878	6.0
T.CS.088	27.0	2.01338803449	0.696053727613	5.0
CS.259	42.0	2.76996254121	0.841169213569	8.0
CS.295	31.0	2.20838009261	0.722782088658	7.0
CS.296	31.0	2.04140675594	0.671656829636	7.0
L.002.M5	43.0	2.47172820899	0.78748267942	8.0
L.002.M6.0	37.0	2.48821373289	0.792143958714	7.0
L.022.M5	27.0	2.08109153664	0.748919765303	5.0
T.CS.020	31.0	2.24288288759	0.740190733858	6.0
T.CS.081	35.0	2.25889185909	0.722998203706	7.0
TFS.020	27.0	1.95634296275	0.694452285767	5.0
CS.010	37.0	2.50750262661	0.80617764327	7.0
CS.021	26.0	1.68095846494	0.642687836135	5.0
CS.118	76.0	3.39219150883	0.882111340882	17.0
CS.346	18.0	1.21514081664	0.488147154768	3.0
L.022.M6	18.0	1.04489403177	0.456494703486	3.0
L.024.M1	29.0	2.15281556188	0.754035029951	5.0
L.024.M5	29.0	1.27193817938	0.470863543252	5.0
L.031.M0	23.0	1.63924694218	0.565442603666	5.0
L.034.M4	22.0	1.9748607285	0.741883211396	4.0
T.CS.023	23.0	1.56324827262	0.55361534502	5.0
T.CS.095	34.0	2.11367019609	0.677972768703	7.0
T.CS.161	50.0	1.69941095323	0.600800531444	9.0
TFS.029	23.0	1.7925658873	0.679133207851	4.0
CS.070	42.0	2.53694034766	0.788423775698	8.0
CS.051	35.0	2.51985852111	0.791196695255	8.0
CS.062	34.0	2.63990607418	0.824885500282	7.0
CS.130	33.0	2.20155421809	0.747260051243	6.0
L.025.M1	27.0	2.07147515009	0.726077987756	5.0
CS.294	29.0	2.09035931803	0.743070836874	5.0
CS.136	30.0	2.02500259593	0.72163160655	5.0
CS.151	22.0	1.89619902695	0.712451523546	4.0
CS.373	18.0	1.35442801611	0.575493561985	3.0
CS.387	28.0	1.82229822659	0.661417205906	5.0
CS.194	32.0	2.26079798204	0.764920139976	6.0
CS.339	30.0	2.15578718731	0.763359619442	5.0
CS.342	30.0	2.15578718731	0.763359619442	5.0
CS.205	35.0	1.82856538211	0.63894978696	6.0
CS.219	32.0	2.61299372386	0.815435366164	7.0
L.034.M6	23.0	1.9162301689	0.718011045722	4.0
T.CS.050	28.0	2.04241430557	0.719851901904	5.0
T.CS.051	18.0	1.37365862863	0.56145472895	3.0
T.CS.080	27.0	2.1449649723	0.745732080517	5.0
T.CS.064	18.0	1.32709933176	0.567880263481	3.0
CS.132	12.0	0.113808788088	0.0300161212959	2.0
CS.038	16.0	1.43967734936	0.597248	3.0
CS.064	24.0	1.82620840243	0.691422168918	4.0
T.CS.090	24.0	1.41632721244	0.534841781595	4.0
CS.251	29.0	1.41466060716	0.505870343866	5.0
L.006.M5	22.0	1.60117152844	0.595759410394	4.0
T.CS.003	18.0	1.07369231815	0.423550751304	3.0
T.CS.045	24.0	1.67918283952	0.64928664506	4.0
CS.088	18.0	1.2189104993	0.496979166667	3.0
CS.092	39.0	2.45316203993	0.78434099048	7.0
L.006.M4	22.0	1.65482999034	0.628657375346	4.0
T.CS.028	28.0	1.66917516938	0.582505390129	5.0
T.CS.038	18.0	1.29611237679	0.553547850751	3.0
T.CS.058	30.0	1.02201178255	0.300760952763	6.0
T.CS.076	22.0	1.52632420989	0.555959429215	4.0
T.CS.117	38.0	2.14204353943	0.732571887513	7.0
CS.241	23.0	1.44465475943	0.573402258399	4.0
CS.333	34.0	2.17368331589	0.715964366687	6.0
T.CS.129	28.0	1.13372137253	0.397976274466	5.0
T.CS.165	31.0	1.9474176968	0.636781684308	6.0
T.CS.067	23.0	1.67876977209	0.649320233537	4.0
T.CS.112	33.0	1.17993050896	0.37437457707	6.0
CS.358	36.0	2.68188570802	0.834834732703	7.0
CS.148	60.0	3.0559307193	0.855857181919	12.0
CS.248	24.0	1.78210671787	0.684826882812	5.0
T.CS.097	29.0	2.01449192061	0.706468938528	6.0
CS.027	31.0	1.91700821372	0.677261920508	6.0
CS.312	52.0	2.80472176032	0.806794343899	12.0
T.CS.084	28.0	1.94097277074	0.704621977349	5.0
CS.361	45.0	2.46072297382	0.713235260245	10.0
CS.104	25.0	1.85603311516	0.669093440225	5.0
CS.318	19.0	1.90789111255	0.695988820454	5.0
CS.001	27.0	1.8945801267	0.685341796875	5.0
T.CS.056	16.0	1.38103834706	0.588316444444	3.0
CS.015	26.0	2.16288297	0.75738503543	5.0
CS.035	18.0	0.832179596488	0.264969139796	5.0
CS.143	23.0	1.84243713999	0.671078367941	5.0
CS.174	19.0	1.52471317534	0.591549295775	4.0
CS.197	19.0	1.52471317534	0.591549295775	4.0
CS.200	23.0	1.48934799017	0.511891137247	5.0
CS.239	17.0	1.47614851732	0.552085224102	4.0
CS.240	26.0	2.37626089466	0.782254515424	7.0
CS.354	17.0	1.62098716802	0.617304804264	4.0
CS.371	18.0	1.95039619174	0.685271183346	5.0
CS.371.0	18.0	1.95039619174	0.685271183346	5.0
CS.371.1	18.0	1.95039619174	0.685271183346	5.0
L.006.M6	27.0	1.7654594319	0.636430256596	5.0
L.025.M2	16.0	1.262551981	0.513561016243	3.0
T.CS.002	17.0	1.23339797893	0.519674786901	3.0
T.CS.008	21.0	1.41237893532	0.516320602474	4.0
T.CS.012	17.0	1.22880121713	0.510130885725	3.0
T.CS.024	12.0	0.970504017555	0.479694660903	2.0
T.CS.030	6.0	-0.0	0.0	1.0
T.CS.036	13.0	1.19648792033	0.473659375	3.0
T.CS.057	22.0	1.92283308937	0.675969588207	5.0
T.CS.062	17.0	1.31878727473	0.561527051038	3.0
T.CS.069	17.0	1.61466460784	0.591638871615	4.0
T.CS.071	16.0	1.26483212538	0.515817380671	3.0
T.CS.073	20.0	1.50735684785	0.584957769365	4.0
T.CS.085	16.0	1.12627675415	0.489651548514	3.0
TFS.026	13.0	1.24013698802	0.494268899955	3.0
CS.190	7.0	0.892866761846	0.427598089122	2.0
CS.216	18.0	1.62275214064	0.667216160214	4.0
CS.107	17.0	1.58988500254	0.628124488234	4.0
CS.108	17.0	1.58988500254	0.628124488234	4.0
L.004.M6	6.0	-0.0	0.0	1.0
T.CS.167	12.0	0.741806591882	0.331996552715	2.0
