code	name
1	Milk_and_Milk_Products
11	Milks_and_milk_drinks
110	Milk_human
111	Milk_fluid
112	Milk_fluid_evaporated_and_condensed
113	Milk_fluid_imitation
114	Yogurt
1148	Yogurt_baby_food
115	Flavored_milk_and_milk_drinks_fluid
117	Infant_formulas_fluid_reconstituted
118	Milk_dry_and_powdered_mixtures_with
12	Creams_and_cream_substitutes
121	Sweet_dairy_cream
122	Cream_substitutes
123	Sour_cream
13	Milk_desserts_sauces_gravies
131	Milk_desserts_frozen
132	Puddings_custards_and_other_milk
133	Milk_desserts_baby_food
134	White_sauces_and_milk_gravies
14	Cheeses
140	Cheese_NS_as_to_type
141	Natural_cheeses
142	Cottage_cheeses
143	Cream_cheeses
144	Processed_cheeses_and_cheese_spreads
145	Imitation_cheeses
146	Cheese_mixtures
147	Cheese_soups
2	Meat_Poultry_Fish_and_Mixtures
20	Meat
200	Meat_NS_as_to_type
21	Beef
210	Beef_NFS
211	Beef_steak
213	Beef_oxtails_neckbones_short_ribs_head
214	Beef_roasts_stew_meat_corned_beef_beef_brisket_sandwich_steaks
215	Ground_beef_beef_patties_beef_meatballs
216	Other_beef_items_beef_bacon_dried_beef_pastrami
217	Beef_baby_food
22	Pork
220	Pork_NFS_ground_dehydrated
221	Pork_chops
222	Pork_steaks_cutlets
223	Ham
224	Pork_roasts
225	Canadian_bacon
226	Bacon_salt_pork
227	Other_pork_items
228	Pork_baby_food
23	Lamb_veal_game_other
230	Lamb_NFS
231	Lamb_and_goat
232	Veal
233	Game
234	Lamb_or_veal_baby_food
24	Poultry
241	Chicken
242	Turkey
243	Duck
244	Other_poultry
247	Poultry_baby_food
25	Organ_meats_sausages_and_lunchmeats
251	Organ_meats_and_mixtures
2511	Liver
2512	Hearts
2513	Kidney
2514	Sweetbreads
2515	Brains
2516	Tongue
2517	Other_variety_meats
252	Frankfurters_sausages_lunchmeats_meat_spreads
2521	Frankfurters
2522	Sausages
2523	Luncheon_meats
2524	Potted_meatspreads
26	Fish_and_shellfish
261	Finfish
262	Other_seafood
263	Shellfish
27	Meatpoultry_fish_with_nonmeat
271	meatpoultryfish_in_gravy
2711	Beef_in_gravy_or_sauce
2712	Pork_with_gravy_or_sauce
2713	Lamb_and_veal_with_gravy_or_sauce
2714	Poultry_with_gravy_or_sauce
2715	Fish_shellfish_with_gravy_or_sauce
2716	Miscellaneous_meats_with_gravy_or_sauce
272	Meatpoultry_fish_with_starch_item
2721	Beef_with_starch_item
2722	Pork_with_starch_item
2723	Lamb_veal_game_with_starch_item
2724	Poultry_with_starch_item
2725	Fish_shellfish_with_starch_item
2726	Miscellaneous_meats_with_starch_item
273	Meatpoultry_fish_with_starch_item_and_vegetables
2731	Beef_with_starch_and_vegetable
2732	Pork_with_starch_and_vegetable
2733	Lamb_veal_game_with_starch_and_vegetable
2734	Poultry_with_starch_and_vegetable
2735	Fish_shellfish_with_starch_and_vegetable
2736	Miscellaneous_meats_with_starch_and_vegetable
274	Meat_poultry_fish_with_vegetables
2741	Beef_with_vegetable_no_potatoes
2742	Pork_with_vegetable_no_potatoes
2743	Lamb_veal_game_with_vegetable_no_potatoes
2744	Poultry_with_vegetables_no_potatoes
2745	Fish_shellfish_with_vegetables_no_potatoes
2746	Miscellaneous_meats_with_vegetable_no_potatoes
275	Sandwiches_with_meat_poultry_fish
2751	Beef_sandwiches
2752	Pork_sandwiches
2754	Poultry_sandwiches
2755	Fish_shellfish_sandwiches
2756	Frankfurters_luncheon_meat_potted_meat_sandwiches
2757	Hors_doeuvres_finger_sandwiches
276	Meat_poultry_fish_with_nonmeat_items_baby_food
2761	Beef_mixtures_baby_food
2764	Poultry_mixtures_baby_food
28	Frozen_and_shelfstable_plate_meals_soups_and_gravies
281	Frozen_or_shelfstable_plate_meals_with_meat_poultry_fish
2811	Beef_frozen_or_shelfstable_meals
2813	Veal_frozen_or_shelfstable_meals
2814	Poultry_frozen_or_shelfstable_meals
2815	Fishshellfish_frozen_meals
2816	Miscellaneous_meat_frozen_or_shelfstable_meals
283	Soups_broths_extracts_from_meat_poultry_fish_base
2831	Beef_soups
2832	Pork_soups
2833	Lamb_soups
2834	Poultry_soups
28345	Poultry_cream_soups
2835	Fishshellfish_soups
2836	Puerto_Rican_soups
284	Gelatin_and_gelatinbased_meal_supplements
285	Gravies_from_meat_poultry_fish_base
3	Eggs
31	Eggs
311	Chicken_eggs
312	Other_poultry_eggs
32	Egg_mixtures
321	Egg_dishes_made_with_whole_eggs
322	Egg_sandwiches
323	Egg_soups
324	Mixtures_made_with_egg_whites
33	Egg_substitutes
330	Egg_substitute_NS_as_to_form
334	Mixtures_made_with_egg_substitutes
35	Frozen_plate_meals_with_egg_as_major
350	Frozen_plate_meals_with_egg_as_major
4	Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds
41	Legumes
411	Dried_beans
412	Dried_beans_mixtures
413	Dried_peas_lentils_and_mixtures
414	Soybean_derived_products_excluding_milks
