code	name
416	Soups_with_legumes_as_major_ingredient
418	Meat_substitutes_mainly_legume_protein
419	Meat_substitute_sandwiches
42	Nuts_nut_butters_and_nut_mixtures
421	Nuts
422	Nut_butters
423	Nut_butter_sandwiches
424	Coconut_beverages
425	Nut_mixtures
43	Seeds_and_seed_mixtures
431	Seeds
44	Carob_products
441	Carob_powder_flour
442	Carob_chips_syrup
5	Grain_Product
50	Flour_and_dry_mixes
500	Flour_and_dry_mixes
51	Yeast
510	BreadrollsNFS
511	White_breads_rolls
512	Whole_wheat_breads_rolls
513	Wheat_cracked_wheat_breads_rolls
514	Rye_breads_rolls
515	Oat_breads
516	Multigrain_breads_rolls
518	Other_breads
52	Quick_breads
521	Biscuits
522	Cornbread_corn_muffins_tortillas
523	Other_muffins_popovers
524	Other_quick_breads
53	Cakes_cookies_pies_pastries_bars
531	Cakes
532	Cookies
533	Pies_fruit_pies_pie_tarts
534	Cobblers_eclairs_turnovers_other_pastries
535	Danish_breakfast_pastries_doughnuts
536	Coffee_cake_not_yeast
537	Bars
5371	Cereal_bars_granola_bars
5372	Nutrition_bars_protein_energy_meal
538	Cookies_and_bars_baby_food
54	Crackers_and_salty_snacks_from_grain
540	Crackers_NS_as_to_type
541	Sweet_crackers
542	Low_sodium_crackers
543	Nonsweet_crackers
544	Salty_snacks_from_grain_products
55	Pancakes_waffles_French_toast_other
551	Pancakes
552	Waffles
553	French_toast
554	Crepes
555	Flourwater_patties
556	Flourmilk_dumplings_plain
557	Rice_flour_cakes
558	Funnel_cakes
56	Pastas_cooked_cereals_rice
561	Pastas
562	Cooked_cereals_rice
57	Cereals_not_cooked_or_NS_as_to_cooked
570	Cereal_NS_as_to_cooked
571	Readytoeat_cereals
572	Readytoeat_cereals
573	Readytoeat_cereals
574	Readytoeat_cereals
576	Cereal_grains_not_cooked
578	Cereals_baby_food
58	Grain_mixtures_frozen_plate_meals_soups
581	Mixtures_mainly_grain_pasta_or_bread
582	Mixtures_mainly_grain_pasta_or_bread
583	Frozen_plate_meals_with_grain_mixture_as_major_ingredient
584	Soups_with_grain_product_as_major_ingredient
585	Grain_mixtures_baby_food
59	Meat_substitutes_mainly_cereal_protein
590	Meat_substitutes_mainly_cereal_protein
6	Fruits
61	Citrus_fruits_juices
611	Citrus_fruits
612	Citrus_fruit_juices
62	Dried_fruits
621	Dried_fruits
63	Other_fruits
631	Fruits_excluding_berries
632	Berries
633	Mixtures_of_two_or_more_fruits
634	Mixtures_of_fruits_and_nonfruit_items
64	Fruit_juices_and_nectars_excluding_citrus
641	Fruit_juices_excluding_citrus
642	Nectars
644	Vinegar
67	Fruits_and_juices_baby_food
671	Fruits_and_fruit_mixtures_baby_food
672	Fruit_juice_and_fruit_juice_mixtures_baby
673	Fruits_with_cereal_baby_food
674	Fruit_desserts_and_fruitflavored_pudding
675	Fruits_with_meat_or_poultry_baby_food
676	Fruits_and_vegetables_mixtures_baby_food
7	Vegetables
71	White_potatoes_and_Puerto_Rican_starchy_vegetables
710	White_potatoes_NFS
711	White_potatoes_baked_and_boiled
712	White_potatoes_chips_and_sticks
713	White_potatoes_creamed_scalloped_au_gratin
714	White_potatoes_fried
715	White_potatoes_mashed_stuffed_puffs
716	Potato_salad
717	Potato_recipes
718	Potato_soups
719	Puerto_Rican_starchy_vegetables
72	Darkgreen_vegetables
721	Darkgreen_leafy_vegetables
722	Darkgreen_nonleafy_vegetables
723	Darkgreen_vegetable_soups
73	Deepyellow_vegetables
731	Carrots
732	Pumpkin
733	Squash_winter
734	Sweet_potatoes
735	Deepyellow_vegetable_soups
74	Tomatoes_and_tomato_mixtures
741	Tomatoes_raw
742	Tomatoes_cooked
743	Tomato_juices
744	Tomato_sauces
745	Tomato_mixtures
746	Tomato_soups
747	Tomato_sandwiches
75	Other_vegetables
751	Other_vegetables_raw
7514	Raw_vegetable_mixtures
752	Other_vegetables_cooked
753	Other_vegetable_mixtures_cooked
754	Other_cooked_vegetables_cooked_with_sauces_batters_casseroles
755	Olives_pickles_relishes_excluding_tomatoes
756	Vegetable_soups
76	Vegetables_and_mixtures_mostly_vegetables_baby_food
761	Darkgreen_vegetables_baby_food
762	Deepyellow_vegetables
764	Vegetables_other_than_darkgreen_deepyellow_and_tomato
765	Vegetables_with_grain_baby_food
766	Vegetables_with_meat_baby_food
77	Vegetables_with_meat_poultry_fish
771	White_potato_with_meat_poultry_fish_mixtures
772	Puerto_Rican_starchy_vegetable_viandas_mixtures
773	Other_vegetable_mixtures
775	Puerto_Rican_stews_or_soups_with_starchy_vegetables
78	Mixtures_mostly_vegetables_without_meat_poultry_fish
781	Vegetable_and_fruit_juice_blends_100%_juice
8	Fats_Oils_and_Salad_Dressings
81	Fats
811	Table_fats
812	Cooking_fats
813	Other_fats
82	Oils
821	Vegetable_oils
83	Salad_dressings
831	Regular_salad_dressings
832	Light_salad_dressings
833	Fat_free_salad_dressings
9	Sugars_Sweets_and_Beverages
91	Sugars_and_sweets
911	Sugars_and_sugarsugar_substitute_blends
912	Sugar_replacements_or_substitute
913	Syrups_honey_molasses_sweet_toppings
914	Jellies_jams_preserves
915	Gelatin_desserts_or_salads
916	Ices_or_popsicles
917	Candies
918	Chewing_gums
92	Nonalcoholic_beverages
921	Coffee
922	Coffee_substitutes
923	Tea
924	Soft_drinks_carbonated
925	Fruit_drinks
9251	Fruit_juice_drinks_and_fruitflavored_drinks
9253	Fruit_juice_drinks_and_fruit_flavored_drinks_with_high_vitamin_C
9254	Fruit_flavored_drinks_made_from_powdered_mix
9255	Fruit_juice_drinks_and_fruit_flavored_drinks_low_calorie
9258	Fruit_juice_drinks_and_fruit_flavored_drinks_fortified_with_calcium
926	Beverages_nonfruit
928	Nonalcoholic_beers_wines_cocktails
929	Beverage_concentrates_dry_not_reconstituted
93	Alcoholic_beverages
931	Beers_and_ales
932	Cordials_and_liqueurs
933	Cocktails
934	Wines
935	Distilled_liquors
94	Water_noncarbonated
940	Water_not_bottled
941	Water_bottled
942	Water_bottled_fortified
943	Water_baby_food
95	Formulated_nutrition_beverages_energy_drinks_sports_drinks_function
951	Nutrition_drinks
952	Nutrition_powders
9531	Energy_drinks
9532	Sports_drinks
9533	Fluid_replacements
9534	Other_functional_beverages
