Food.code	Start.date	End.date	Main.food.description
11000000	01/01/13 00:00:00	12/31/14 00:00:00	Milk_human
11100000	01/01/13 00:00:00	12/31/14 00:00:00	Milk_NFS
11111000	01/01/13 00:00:00	12/31/14 00:00:00	Milk_whole
11111100	01/01/13 00:00:00	12/31/14 00:00:00	Milk_low_sodium_whole
11111150	01/01/13 00:00:00	12/31/14 00:00:00	Milk_calcium_fortified_whole
11111160	01/01/13 00:00:00	12/31/14 00:00:00	Milk_calcium_fortified_low_fat_1
11111170	01/01/13 00:00:00	12/31/14 00:00:00	Milk_calcium_fortified_fat_free_skim
11112110	01/01/13 00:00:00	12/31/14 00:00:00	Milk_reduced_fat_2
11112120	01/01/13 00:00:00	12/31/14 00:00:00	Milk_acidophilus_low_fat_1
11112130	01/01/13 00:00:00	12/31/14 00:00:00	Milk_acidophilus_reduced_fat_2
11112210	01/01/13 00:00:00	12/31/14 00:00:00	Milk_low_fat_1
11113000	01/01/13 00:00:00	12/31/14 00:00:00	Milk_fat_free_skim
11114300	01/01/13 00:00:00	12/31/14 00:00:00	Milk_lactose_free_low_fat_1
11114320	01/01/13 00:00:00	12/31/14 00:00:00	Milk_lactose_free_fat_free_skim
11114330	01/01/13 00:00:00	12/31/14 00:00:00	Milk_lactose_free_reduced_fat_2
11114350	01/01/13 00:00:00	12/31/14 00:00:00	Milk_lactose_free_whole
11115000	01/01/13 00:00:00	12/31/14 00:00:00	Buttermilk_fat_free_skim
11115100	01/01/13 00:00:00	12/31/14 00:00:00	Buttermilk_low_fat_1
11115200	01/01/13 00:00:00	12/31/14 00:00:00	Buttermilk_reduced_fat_2
11115300	01/01/13 00:00:00	12/31/14 00:00:00	Buttermilk_whole
11115400	01/01/13 00:00:00	12/31/14 00:00:00	Kefir_NS_as_to_fat_content
11116000	01/01/13 00:00:00	12/31/14 00:00:00	Goats_milk_whole
11120000	01/01/13 00:00:00	12/31/14 00:00:00	Milk_dry_reconstituted_NS_as_to_fat_content
11121100	01/01/13 00:00:00	12/31/14 00:00:00	Milk_dry_reconstituted_whole
11121210	01/01/13 00:00:00	12/31/14 00:00:00	Milk_dry_reconstituted_low_fat_1
11121300	01/01/13 00:00:00	12/31/14 00:00:00	Milk_dry_reconstituted_fat_free_skim
11210050	01/01/13 00:00:00	12/31/14 00:00:00	Milk_evaporated_NS_as_to_fat_content
11211050	01/01/13 00:00:00	12/31/14 00:00:00	Milk_evaporated_whole
11211400	01/01/13 00:00:00	12/31/14 00:00:00	Milk_evaporated_reduced_fat_2
11212050	01/01/13 00:00:00	12/31/14 00:00:00	Milk_evaporated_fat_free_skim
11220000	01/01/13 00:00:00	12/31/14 00:00:00	Milk_condensed_sweetened
11320000	01/01/13 00:00:00	12/31/14 00:00:00	Soy_milk
11320100	01/01/13 00:00:00	12/31/14 00:00:00	Soy_milk_light
11320200	01/01/13 00:00:00	12/31/14 00:00:00	Soy_milk_nonfat
11321000	01/01/13 00:00:00	12/31/14 00:00:00	Soy_milk_chocolate
11321100	01/01/13 00:00:00	12/31/14 00:00:00	Soy_milk_light_chocolate
11321200	01/01/13 00:00:00	12/31/14 00:00:00	Soy_milk_nonfat_chocolate
11340000	01/01/13 00:00:00	12/31/14 00:00:00	Imitation_milk_nonsoy_sweetened
11350000	01/01/13 00:00:00	12/31/14 00:00:00	Almond_milk_sweetened
11350010	01/01/13 00:00:00	12/31/14 00:00:00	Almond_milk_sweetened_chocolate
11350020	01/01/13 00:00:00	12/31/14 00:00:00	Almond_milk_unsweetened
11350030	01/01/13 00:00:00	12/31/14 00:00:00	Almond_milk_unsweetened_chocolate
11360000	01/01/13 00:00:00	12/31/14 00:00:00	Rice_milk
11370000	01/01/13 00:00:00	12/31/14 00:00:00	Coconut_milk
11410000	01/01/13 00:00:00	12/31/14 00:00:00	Yogurt_NS_as_to_type_of_milk_or_flavor
11411010	01/01/13 00:00:00	12/31/14 00:00:00	Yogurt_plain_NS_as_to_type_of_milk
11411100	01/01/13 00:00:00	12/31/14 00:00:00	Yogurt_plain_whole_milk
11411200	01/01/13 00:00:00	12/31/14 00:00:00	Yogurt_plain_low_fat_milk
11411300	01/01/13 00:00:00	12/31/14 00:00:00	Yogurt_plain_nonfat_milk
11411400	01/01/13 00:00:00	12/31/14 00:00:00	Yogurt_Greek_plain_whole_milk
11411410	01/01/13 00:00:00	12/31/14 00:00:00	Yogurt_Greek_plain_low_fat
11411420	01/01/13 00:00:00	12/31/14 00:00:00	Yogurt_Greek_plain_nonfat_milk
11420000	01/01/13 00:00:00	12/31/14 00:00:00	Yogurt_vanilla_NS_as_to_type_of_milk
11421000	01/01/13 00:00:00	12/31/14 00:00:00	Yogurt_vanilla_whole_milk
11422000	01/01/13 00:00:00	12/31/14 00:00:00	Yogurt_vanilla_low_fat_milk
11422100	01/01/13 00:00:00	12/31/14 00:00:00	Yogurt_vanilla_low_fat_milk_light
11423000	01/01/13 00:00:00	12/31/14 00:00:00	Yogurt_vanilla_nonfat_milk
11424000	01/01/13 00:00:00	12/31/14 00:00:00	Yogurt_vanilla_nonfat_milk_light
11424500	01/01/13 00:00:00	12/31/14 00:00:00	Yogurt_Greek_vanilla_whole_milk
