Food.code	Seq.num	Start.date	End.date	Additional.food.description
11350030	3	01/01/13 00:00:00	12/31/14 00:00:00	Almond_Dream
11360000	1	01/01/13 00:00:00	12/31/14 00:00:00	Rice_Dream_beverage
11370000	1	01/01/13 00:00:00	12/31/14 00:00:00	Silk_PureCoconut_beverage
11370000	2	01/01/13 00:00:00	12/31/14 00:00:00	So_Delicious
11411410	1	01/01/13 00:00:00	12/31/14 00:00:00	2%_fat
11411420	1	01/01/13 00:00:00	12/31/14 00:00:00	0%_fat
11420000	1	01/01/13 00:00:00	12/31/14 00:00:00	coffee_honey_lemon_and_maple_flavors
11421000	1	01/01/13 00:00:00	12/31/14 00:00:00	coffee_honey_lemon_and_maple_flavors
11422000	1	01/01/13 00:00:00	12/31/14 00:00:00	liquid_yogurt
11422000	4	01/01/13 00:00:00	12/31/14 00:00:00	GoGurt_Portable_Yogurt_tube
11422000	6	01/01/13 00:00:00	12/31/14 00:00:00	coffee_honey_lemon_and_maple_flavors
11422100	1	01/01/13 00:00:00	12/31/14 00:00:00	sweetened_with_low_calorie_sweetener
11422100	2	01/01/13 00:00:00	12/31/14 00:00:00	coffee_honey_lemon_and_maple_flavors
11423000	1	01/01/13 00:00:00	12/31/14 00:00:00	coffee_honey_lemon_and_maple_flavors
11424000	1	01/01/13 00:00:00	12/31/14 00:00:00	sweetened_with_low_calorie_sweetener
11424000	2	01/01/13 00:00:00	12/31/14 00:00:00	coffee_honey_lemon_and_maple_flavors
11424500	1	01/01/13 00:00:00	12/31/14 00:00:00	coffee_honey_lemon_and_maple_flavors
11424510	1	01/01/13 00:00:00	12/31/14 00:00:00	2%_fat
11424510	2	01/01/13 00:00:00	12/31/14 00:00:00	coffee_honey_lemon_and_maple_flavors
11424520	1	01/01/13 00:00:00	12/31/14 00:00:00	0%_fat
11424520	2	01/01/13 00:00:00	12/31/14 00:00:00	coffee_honey_lemon_and_maple_flavors
11428000	1	01/01/13 00:00:00	12/31/14 00:00:00	0%_fat
11431000	1	01/01/13 00:00:00	12/31/14 00:00:00	breakfast_yogurt
11432000	2	01/01/13 00:00:00	12/31/14 00:00:00	custard_style
11432000	5	01/01/13 00:00:00	12/31/14 00:00:00	Dannon_Danimals
11432000	6	01/01/13 00:00:00	12/31/14 00:00:00	Dannon_Danimals_Drinkable_Yogurt
11432000	7	01/01/13 00:00:00	12/31/14 00:00:00	liquid_yogurt
11432000	8	01/01/13 00:00:00	12/31/14 00:00:00	GoGurt_Portable_Yogurt_tube
11432500	1	01/01/13 00:00:00	12/31/14 00:00:00	La_Yogurt
11432500	2	01/01/13 00:00:00	12/31/14 00:00:00	Axelrod
11432500	3	01/01/13 00:00:00	12/31/14 00:00:00	sweetened_with_lowcalorie_sweetener
11433500	2	01/01/13 00:00:00	12/31/14 00:00:00	sweetened_with_lowcalorie_sweetener
11434010	1	01/01/13 00:00:00	12/31/14 00:00:00	2%_fat
11434020	1	01/01/13 00:00:00	12/31/14 00:00:00	0%_fat
11446000	1	01/01/13 00:00:00	12/31/14 00:00:00	McDonalds_Fruit_n_Yogurt_Parfait
11446000	2	01/01/13 00:00:00	12/31/14 00:00:00	with_granola
11460000	1	01/01/13 00:00:00	12/31/14 00:00:00	yogurt_frozen_flavors_with_partial_chocolate_base_NS_as_to_type_of_milk
11460250	1	01/01/13 00:00:00	12/31/14 00:00:00	HaagenDazs_Raspberry_and_Vanilla_Frozen_Yogurt_bar
11460300	1	01/01/13 00:00:00	12/31/14 00:00:00	Turkey_Hill_Nonfat_Frozen_Yogurt
11460400	1	01/01/13 00:00:00	12/31/14 00:00:00	soft_serve_sugar_free_fat_free_frozen_yogurt
11460410	1	01/01/13 00:00:00	12/31/14 00:00:00	soft_serve_sugar_free_fat_free_frozen_yogurt
11461270	1	01/01/13 00:00:00	12/31/14 00:00:00	McDonalds_frozen_yogurt_cone
11461280	1	01/01/13 00:00:00	12/31/14 00:00:00	McDonalds_frozen_yogurt_cone
11480010	1	01/01/13 00:00:00	12/31/14 00:00:00	YoBaby_Original_all_flavors
11480020	1	01/01/13 00:00:00	12/31/14 00:00:00	YoBaby_Plus_Fruit_&_Cereal_NFS
