Level.code	Main.food.description
1	Milk_and_Milk_Products
11	Milks_and_milk_drinks
110	Milk_human
111	Milk_fluid
1111	Milk_fluid_cow_goat_buttermilk
1112	Milk_dry_reconstituted
112	Milk_fluid_evaporated_and_condensed
1121	Milk_evaporated
1122	Milk_condensed
113	Milk_fluid_imitation
1132	Milk_soy
1134	Milk_imitation
1135	Milk_almond
114	Yogurt
1141	Yogurt_plain
1142	Yogurt_vanilla
1143	Yogurt_fruit_variety
1144	Yogurt_parfait
1145	Yogurt_frozen_NS
1146	Yogurt_frozen_flavored
1148	Yogurt_baby_food
115	Flavored_milk_and_milk_drinks_fluid
1151	Chololate_or_other_flavored
1152	Malted_flavored
1153	Eggnog
1154	Milkshake
1155	Milk_fruit_smoothie
1156	Coffee_and_whey_flavors
117	Infant_formulas_fluid_reconstituted
1171	Infant_formula_fluit
1172	Infant_formula_from_powder
1174	Infant_formula_from_concentrate
118	Milk_dry_and_powdered_mixtures_with
1181	Milk_dry_not_reconstituted
1182	Whey_sweet_dry
1183	Milk_dry_with_flavors
12	Creams_and_cream_substitutes
121	Sweet_dairy_cream
1211	Cream_light
1212	Cream_half_and_half
1213	Cream_heavy
1214	Cream_whipped_pressurized
122	Cream_substitutes
1221	Cream_substitutes_NS
1222	Whipped_toppings
123	Sour_cream
1231	Sour_cream_NS
1232	Sour_cream_nondairy
1235	Dip_sour_cream_base
13	Milk_desserts_sauces_gravies
131	Milk_desserts_frozen
1311	Ice_cream
1312	Ice_cream_bar_cone_cake
1313	Light_ice_cream
1314	Light_ice_cream_bar_cone_cake
1315	Sherbert
1316	Fat_free_ice_cream
1317	Baked_Alaska
132	Puddings_custards_and_other_milk
1321	Bread_and_rice_pudding
1322	Pudding_ready_to_eat
1323	Pudding_ready_to_eat
1324	Pudding_with_fruit
1325	Mousse_or_Tiramisu
133	Milk_desserts_baby_food
134	White_sauces_and_milk_gravies
14	Cheeses
140	Cheese_NS_as_to_type
141	Natural_cheeses
1410	Natural_cheeses
14101	Blue_or_Rouquefort
14102	Brick
14103	Camembert_or_Brie
14104	Cheddar_Colby_Feta_Fontina_Goat
141041	Cheddar
141042	Colby_or_Colby_Jack
141044	Feta
141046	Fontina
141047	Goat
14105	Gouda_or_Gruyere
141050	Gouda_or_Edam
141052	Gruyere
14106	Limberger_or_Monterey
141060	Limberger
141062	Monterey
14107	Mozzarella_or_Muenster
141070	Mozzarella
141072	Muenster
14108	Parmesan_Port_du_Salut_Provolone
141080	Parmesan
141082	Port_du_Salut
141084	Provolone
14109	Swiss
1411	Cheddar_reduced_sodium
1412	Cheese_Mexican_blend
1413	Queso_cheeses
142	Cottage_cheeses
1420	Cottage_chesses_NFS
14201	Cottage_cheese_or_Ricotta
14202	Cottage_cheese_with_fruit_or_vegetables
14203	Cheese_cottage_dry_or_salted_curd
14204	Cheese_cottage_lowfat
143	Cream_cheeses
144	Processed_cheeses_and_cheese_spreads
1441	Cheese_processed
1442	Cheese_spread
145	Imitation_cheeses
146	Cheese_mixtures
1461	Cheese_with_gelatin_fruits_vegetables_or_nuts
1462	Cheese_dip_or_topping
1463	Cheese_fondue_or_souffle
1464	Cheese_sandwhich
1465	Cheese_based_sauce
1466	Cheese_fried
1467	Cheese_based_salad
147	Cheese_soups
2	Meat_Poultry_Fish_and_Mixtures
20	Meat
200	Meat_NS_as_to_type
21	Beef
210	Beef_NS
2100	Beef_NS
21000	Beef_NS_cut
21001	Steak_NS_cut
21002	Beef_pickled
21003	Beef_NS_fried
211	Beef_steak
213	Beef_oxtails_neckbones_short_ribs_head
214	Beef_roasts_stew_meat_corned_beef_beef_brisket_sandwich_steaks
215	Ground_beef_beef_patties_beef_meatballs
216	Other_beef_items_beef_bacon_dried_beef_pastrami
217	Beef_baby_food
22	Pork
220	Pork_NFS_ground_dehydrated
221	Pork_chops
222	Pork_steaks_cutlets
2220	Pork_steaks_cutlets
2221	Pork_tenderloin
223	Ham
2230	Ham_fried_breaded_fresh
2231	Ham_smoked_or_cured
2232	Ham_smoked_or_cured_ground
224	Pork_roasts
2240	Pork_roasts_NS_or_loin
2241	Pork_roast_shoulder_cooked
2242	Pork_roast_smoked_or_cured
2243	Pork_roll_cured
225	Canadian_bacon
226	Bacon_salt_pork
2260	Bacon_NS
2262	Salt_pok_fat_back
227	Other_pork_items
228	Pork_baby_food
23	Lamb_veal_game_other
230	Lamb_NFS
231	Lamb_and_goat
2310	Lamb_chop_loin_shoulder
2311	Lamb_ribs_hocks
2312	Lamb_roast
2313	Lamb_ground
2315	Goat_NS_cooked
232	Veal
2320	Veal_NS_chop_or_cutlet
2321	Veal_roasted
2322	Veal_ground_or_patty
233	Game
2331	Rabit_NS
2332	Large_game
23321	Venisondeer_NS_cooked
23322	Venisondeer_NS_processed
23323	Moose_or_bear
23324	Caribou
23326	Bison
2333	Hog_opossum_squirrel_beaver_raccoon
2334	Armadillo_wild_pig
2335	Ostrich
234	Lamb_or_veal_baby_food
