Level.code	Main.food.description
24	Poultry
241	Chicken
2410	Chicken_NS_as_to_part
2412	Chicken_breast
2413	Chicken_leg_drumstick_and_thigh
2414	Chicken_drumstick
2415	Chicken_thigh
2416	Chicken_wing
2417	Chicken_back
2418	Chicken_neck_or_ribs
2419	Chicken_other_part_or_processed
242	Turkey
2420	Turkey_NS
24201	Turkey_NS_light_or_dark_meat
24202	Turkey_drumstick_or_thigh
24203	Turkey_wing
24204	Turkey_rolled_roast
24205	Turkey_tail_or_back
243	Duck
2430	Duck_NS
2431	Goose
244	Other_poultry
247	Poultry_baby_food
25	Organ_meats_sausages_and_lunchmeats
251	Organ_meats_and_mixtures
2511	Liver
25110	Liver_NS
251101	Beef
251104	Chicken
2512	Hearts
2513	Kidney
2514	Sweetbreads
2515	Brains
2516	Tongue
2517	Other_variety_meats
252	Frankfurters_sausages_lunchmeats_meat_spreads
2521	Frankfurters
2522	Sausages
2523	Luncheon_meats
2524	Potted_meatspreads
26	Fish_and_shellfish
261	Finfish
2610	Finfish_NS
26100	Fish_NS
26101	Anchovy
26103	Barracuda
26105	Carp
26107	Catfish
26109	Cod
2611	Finfish_NS
26111	Croaker
26113	Eel
26115	Flounder
26117	Haddock
26118	Halibut
26119	Herring
2612	Finfish_NS
26121	Mackerel
26123	Mullet
26125	Ocean_perch
26127	Perch
26129	Pike
2613	Finfish_NS
26131	Pompano
26133	Porgy
26135	Ray
26137	Salmon
26139	Sardines
2614	Finfish_NS
26141	Sea_bass
26143	Shark
26147	Sturgeon
26149	Swordfish
2615	Finfish_NS
26151	Trout
26153	Tuna_fresh
26155	Tuna_canned
26157	Whiting
26158	Tilapia
262	Other_seafood
2620	Other_seafood_NS
26203	Frog
26205	Octopus
26207	Roe_shad
26209	Roe_herring
2621	Other_seafood_NS
26211	Roe_sturgeon
26213	Squid
26215	Turtle
263	Shellfish
2630	Shellfish_NS
26301	Abalone
26303	Clams
26305	Crab_hard_shell
26307	Crab_soft_shell
26309	Crayfish
2631	Shellfish_NS
26311	Lobster
26313	Mussels
26315	Oysters
26317	Scallops
26319	Shrimp
2632	Shellfish_NS
26321	Snails
27	Meatpoultry_fish_with_nonmeat
271	meatpoultryfish_in_gravy
2711	Beef_in_gravy_or_sauce
2712	Pork_with_gravy_or_sauce
2713	Lamb_and_veal_with_gravy_or_sauce
2714	Poultry_with_gravy_or_sauce
2715	Fish_shellfish_with_gravy_or_sauce
2716	Miscellaneous_meats_with_gravy_or_sauce
272	Meatpoultry_fish_with_starch_item
2721	Beef_with_starch_item
2722	Pork_with_starch_item
2723	Lamb_veal_game_with_starch_item
2724	Poultry_with_starch_item
2725	Fish_shellfish_with_starch_item
2726	Miscellaneous_meats_with_starch_item
273	Meatpoultry_fish_with_starch_item_and_vegetables
2731	Beef_with_starch_and_vegetable
2732	Pork_with_starch_and_vegetable
2733	Lamb_veal_game_with_starch_and_vegetable
2734	Poultry_with_starch_and_vegetable
2735	Fish_shellfish_with_starch_and_vegetable
2736	Miscellaneous_meats_with_starch_and_vegetable
274	Meat_poultry_fish_with_vegetables
2741	Beef_with_vegetable_no_potatoes
2742	Pork_with_vegetable_no_potatoes
2743	Lamb_veal_game_with_vegetable_no_potatoes
2744	Poultry_with_vegetables_no_potatoes
2745	Fish_shellfish_with_vegetables_no_potatoes
2746	Miscellaneous_meats_with_vegetable_no_potatoes
275	Sandwiches_with_meat_poultry_fish
2751	Beef_sandwiches
2752	Pork_sandwiches
2754	Poultry_sandwiches
2755	Fish_shellfish_sandwiches
2756	Frankfurters_luncheon_meat_potted_meat_sandwiches
2757	Hors_doeuvres_finger_sandwiches
276	Meat_poultry_fish_with_nonmeat_items_baby_food
2761	Beef_mixtures_baby_food
2764	Poultry_mixtures_baby_food
28	Frozen_and_shelfstable_plate_meals_soups_and_gravies
281	Frozen_or_shelfstable_plate_meals_with_meat_poultry_fish
2811	Beef_frozen_or_shelfstable_meals
2813	Veal_frozen_or_shelfstable_meals
2814	Poultry_frozen_or_shelfstable_meals
2815	Fishshellfish_frozen_meals
2816	Miscellaneous_meat_frozen_or_shelfstable_meals
283	Soups_broths_extracts_from_meat_poultry_fish_base
2831	Beef_soups
2832	Pork_soups
2833	Lamb_soups
2834	Poultry_soups
28345	Poultry_cream_soups
2835	Fishshellfish_soups
2836	Puerto_Rican_soups
284	Gelatin_and_gelatinbased_meal_supplements
285	Gravies_from_meat_poultry_fish_base
3	Eggs
31	Eggs
311	Chicken_eggs
3110	Egg_whole_or_white
3111	Egg_yolk_only
312	Other_poultry_eggs
32	Egg_mixtures
321	Egg_dishes_made_with_whole_eggs
3213	Egg_omelet_or_scrambled
322	Egg_sandwiches
3220	Egg_sandwiches
32201	Fried_egg_sandwhich
32202	Egg_with_cheese_or_meat
32203	Egg_salad_sandwhich
32204	Scrambled_egg_sandwhich
323	Egg_soups
324	Mixtures_made_with_egg_whites
33	Egg_substitutes
330	Egg_substitute_NS_as_to_form
334	Mixtures_made_with_egg_substitutes
35	Frozen_plate_meals_with_egg_as_major
350	Frozen_plate_meals_with_egg_as_major
4	Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds
41	Legumes
411	Dried_beans
4110	Beans_NS_to_type
41101	White_or_NS
411010	Beans_dry_NS
411011	White_beans_dry
411012	White_beans_canned
41102	Black_brown_bayo_or_fava
411020	Black_brown_or_bayo_beans_dry
411021	Black_brown_or_bayo_beans_canned
411022	Fava_beans
41103	Lima_or_pink_beans
41104	Pinto_calico_or_red_Mexican_beans
411040	Pinto_calico_or_red_Mexican_beans_dry
411041	Pinto_calico_or_red_Mexican_beans_canned
411042	Pinto_calico_or_red_Mexican_beans_canned
41106	Red_kidney_beans
411060	Red_kidney_beans_dry
411061	Red_kidney_beans_canned
41107	Soybeans
41108	Mung_beans
41109	Mungo_beans
412	Dried_beans_mixtures
4120	Dried_beans_mixtures
41201	Baked_beans
41202	Beans_and_tomatoes
41203	Black_beans
41204	Boston_beans
41205	Bean_dips_and_sauces
41206	Beans_and_franks
41207	Beans_with_beef
41208	Beans_with_pork
41209	Falafel
4121	Mixed_bean_dishes
4122	Low_sodium_or_meatless_beans
413	Dried_peas_lentils_and_mixtures
414	Soybean_derived_products_excluding_milks
4141	Soy_snacks
4142	Soybean_derived_products
41420	Curds_and_sauces
41421	Soybean_curd_fried
41422	Soybean_meal
41425	Soybean_vermicelli
4144	Textured_vegetable_protein
4148	Tofu_frozen_dessert
416	Soups_with_legumes_as_major_ingredient
418	Meat_substitutes_mainly_legume_protein
419	Meat_substitute_sandwiches
42	Nuts_nut_butters_and_nut_mixtures
421	Nuts
4210	Nuts_NFS
42100	Almonds_NFS
42101	Almonds
42102	Brazil_nuts
42104	Cashew_nuts
42105	Chestnuts
42106	Coconuts
42107	Hazelnuts
42109	Macadamia_nuts
4211	Mixed_nuts_NFS
42110	Mixed_nuts_NFS
42111	Peanuts
42112	Pecans
42113	Pine_nuts
42114	Pistachio_nuts
42116	Walnuts
422	Nut_butters
4220	Nut_butters
42200	Almond_butter
42201	Cashew_butter
42202	Peanut_butter
42203	Peanut_butter_and_jelly
42204	Peanut_sauce_or_gravy
423	Nut_butter_sandwiches
424	Coconut_beverages
425	Nut_mixtures
43	Seeds_and_seed_mixtures
431	Seeds
4310	Seeds_NS
43101	Pumpkin
43102	Sunflower
43103	Sesame_seeds
43104	Flax_seeds
43107	Mixed_seeds
44	Carob_products
441	Carob_powder_flour
442	Carob_chips_syrup
5	Grain_Product
50	Flour_and_dry_mixes
500	Flour_and_dry_mixes
51	Yeast
510	Breadrolls_NFS
511	White_breads_rolls
5110	White_breads_rolls
51101	Bread_white
51102	Bread_white_with_whole_wheat_swirl
51105	Bread_cuban
51106	Bread_Native
51107	Bread_French
51108	Flatbread
51109	Bread_pita_style
5111	Bread_with_toppings
51111	Bread_cheese
51113	Bread_cinnamon
51115	Bread_molasses
51119	Bread_egg_Challah
5112	Bread_with_additions
51121	Bread_garlic_or_onion
51122	Bread_reduced_calorie_or_added_fiber
51123	Bread_high_protein
51127	Bread_potato
51129	Bread_raisin
5113	Bread_with_modifications
51130	Bread_white_low_sodium
51133	Sour_dough
51134	Bread_sweet_potato
51135	Bread_vegetable
51136	Bruschetta
5114	Bread_dough_fried
5115	Rolls
51150	Roll_white
51151	Roll_white_homemade
51152	Roll_white_reduced_calorie
51153	Roll_white_hard
51154	Roll_diet_egg_or_cheese
51155	Roll_French
51156	Roll_garlic
51157	Roll_hoagie
51158	Roll_Mexican_bolillo
51159	Roll_sour_dough
5116	Rolls
51160	Roll_sweet
51161	Roll_sweet_with_toppings
51165	Coffee_cake
51166	Croissant
51167	Brioche
51168	Bread_Spanish_coffee
5118	Bagels_bread_sticks_English_muffins
51180	Bagel
51182	Bread_stuffings
51184	Bread_sticks
51185	Croutons
51186	Muffin_English
51187	Melba_or_Anisette_toast
55188	Sweet_bread_or_Zwieback_toast
512	Whole_wheat_breads_rolls
5120	Whole_wheat_breads
51201	Whole_wheat_bread_or_pita
51202	Muffin_English_whole_wheat
51207	Bread_sprouted_wheat
51208	Bagel_whole_wheat
5122	Roll_whole_wheat
513	Wheat_cracked_wheat_breads_rolls
5130	Wheat_cracked_wheat_breads_rolls
51300	Whole_grain_wheat_or_whole_grain_white
51301	Whole_wheat_bread_pita_or_bagel
51302	Muffin_English_wheat_bran
51303	Muffin_English_wheat_or_whole_wheat
51306	Bread_stick_whole_wheat
5132	Wheat_cracked_wheat_breads_rolls
51320	Roll_wheat
514	Rye_breads_rolls
5140	Bread_rye
51401	Bread_rye
51404	Bread_pumpernickel
51407	Bread_black
5142	Roll_rye
51420	Roll_rye
51421	Roll_pumpernickel
515	Oat_breads
5150	Oat_breads
51501	Bread_oatmeal
51502	Roll_oatmeal
51503	Muffin_English_oat_bran
516	Multigrain_breads_rolls
5160	Bread_multigrain
5162	Roll_multigrain
5163	Bagel_or_English_muffin_multigrain
518	Other_breads
5180	Other_breads
51801	Bread_barley
51804	Bread_soy
51805	Bread_sunflower_meal
51806	Bread_rice
51807	Injera
51808	Bread_low_gluten
52	Quick_breads
521	Biscuits
5210	Biscuits
52101	Biscuit_or_crumpet
52102	Biscuit_or_crumpet
52103	Commercially_baked
52104	Biscuit_with_additions
52105	Scone
522	Cornbread_corn_muffins_tortillas
5220	Cornbreads
52201	Cornbread_from_mix
52202	Cornbread_home_recipe
52204	Cornbread_stuffing
52206	Cornbread_muffin
52207	Corn_flour
52208	Corn_pone
52209	Hush_puppy
5221	Tortillas
52211	Johnnycake
52213	Spoonbread
52215	Tortillas_and_tacos
5222	Cornbreads
523	Other_muffins_popovers
5230	Muffin
5231	Popover
524	Other_quick_breads
5240	Other_quick_breads
52401	Bread_Boston_Brown
52403	Bread_nut
52404	Bread_pumpkin
52405	Bread_fruit
52407	Bread_zucchini
52408	Bread_Irish_soda
53	Cakes_cookies_pies_pastries_bars
531	Cakes
5310	Cakes
53100	Cake_NS
53101	Cake_angel
53102	Cake_with_fruit
53103	Cake_Boston_cream_pie
53104	Cake_carrot_coconut_or_cheesecake
53105	Cake_chocolate
53106	Cake_cream
53108	Snack_cake
53109	Snack_cake
5311	Cakes
53110	Cake_fruit
53111	Cake_gingerbread
53112	Cake_ice_cream
53113	Cake_jelly_roll
53114	Cake_lemon
53115	Cake_marble_oatmeal_peanutbutter
53116	Cake_pound_pumpkin_raisin_nut
53117	Cake_spice
53118	Cake_sponge
53119	Cake_upside_down
5312	Cake
53120	Cake_white
53121	Cake_yellow
53122	Cake_shortcake
53123	Cake_shortcake_with_fruit
53124	Cake_zucchini
532	Cookies
5320	Cookies
53200	Cookie_batter
53201	Cookie_NS
53202	Cookie_almond
53203	Cookie_applesauce_or_biscotti
53204	Cookie_brownie
53205	Cookie_bar
53206	Cookie_chocolate_chip
53207	Cookie_chocolate_or_fudge
53208	Cookie_marshmallow
53209	Cookie_sandwich
5321	Cookies
53211	Cookie_bar_with_nuts
53215	Cookie_coconut
5322	Cookies
53220	Cookie_with_fruit
53222	Cookie_fortune_or_shell
53223	Cookie_granola_or_ginger
53224	Cookie_ladyfinger_or_lemon_bar
53225	Cookie_macaroon
53226	Cookie_marshmallow_with_rice_cereal
53228	Cookie_meringue
5323	Cookies
53230	Cookie_molasses
53231	Cookie_Lebkuchen_or_high_fiber
53233	Cookie_oatmeal
53234	Cookie_peanut_butter
53235	Cookie_peanut_butter_sandwich
53236	Cookie_pumplin_or_Italian_sytle
53237	Cookie_raisin
53238	Cookie_sandwich_not_chocolate_or_vanilla
53239	Cookie_shortbread
5324	Cookies
53240	Cookie_animal
53241	Cookie_butter
53242	Cookie_sugar_or_toffee
53243	Cookie_vanilla_sandwich
53244	Cookie_butter_with_chocolate
53246	Cookie_Japanese
53247	Cookie_vanilla_wafer
5325	Cookies
53251	Cookie_rugelach
5326	Cookies_sugarfree
5327	Cookies_Puerto_Rican
533	Pies_fruit_pies_pie_tarts
5330	Pies_fruit_pies_pie_tarts
53300	Pie_NS
53301	Pie_apple
53302	Pie_apricot
53303	Pie_berry_not_blueberry
53304	Pie_blueberry
53305	Pie_cherry_or_lemon
53306	Pie_mince
53307	Pie_peach_or_pear
53308	Pie_pineapple_plum_or_prune
53309	Pie_raisin
5331	Pies_fruit_pies_pie_tarts
53310	Pie_raspberry
53311	Pie_rhubarb
53312	Pie_strawberry
53313	Pie_strawberry
53314	Pie_strawberry
5334	Pies_fruit_pies_pie_tarts_cream
53340	Pie_fruit_sour_cream
53341	Pie_banana_cream
53342	Pie_chocolate_cream
53343	Pie_coconut_cream
53344	Pie_custard
53345	Pie_lemon
53346	Pie_peanut_butter_or_pineapple_cream
53347	Pie_squash
53348	Pie_strawberry_cream
5336	Pies_fruit_pies_pie_tarts_cream
5337	Pies_chiffon_or_black_bottom
5338	Pies_pudding_and_lemon_meringue
5339	Pie_shells
534	Cobblers_eclairs_turnovers_other_pastries
5340	Cobblers_eclairs_turnovers_other_pastries
53400	Blintz_fruit_filled
5341	Cobblers_eclairs_turnovers_other_pastries
53410	Cobblers
53415	Crisps_and_fritters
5342	Cobblers_eclairs_turnovers_other_pastries
53420	Cream_puff
5343	Cobblers_eclairs_turnovers_other_pastries
53430	Crepe_or_tamale_sweet
5344	Cobblers_eclairs_turnovers_other_pastries
53440	Strudel
53441	Baklava_or_basbousa
5345	Cobblers_eclairs_turnovers_other_pastries
53450	Turnover_or_dumpling
53451	Turnover
53452	Filled_pastry
53453	Empanada
535	Danish_breakfast_pastries_doughnuts
5350	Breakfast_pastry_NS
5351	Danish_pastry
5352	Doughnut
5353	Breakfast_tart
536	Coffee_cake_not_yeast
537	Bars
5371	Cereal_bars_granola_bars
5372	Nutrition_bars_protein_energy_meal
538	Cookies_and_bars_baby_food
54	Crackers_and_salty_snacks_from_grain
540	Crackers_NS_as_to_type
541	Sweet_crackers
542	Low_sodium_crackers
543	Nonsweet_crackers
5430	Nonsweet_crackers
54301	Cracker_snack
54304	Cracker_cheese
54305	Crispbread_wheat
54307	Crackers_matzo
54308	Crackers_milk
54309	Crackers_oat
5431	Nonsweet_crackers
54313	Crackers_oyster
54318	Cracker_rice
54319	Cracker_rice
5432	Nonsweet_crackers
54322	Crispbread_rye
54325	Crackers_saltine
54326	Crackers_multigrain
54327	Crackers_peanut_butter
54328	Crackers_sandwich_type
5433	Nonsweet_crackers
54334	Crackers_toast
54336	Crackers_water_biscuits
54337	Cracker_whole_wheat
54338	Cracker_wheat
54339	Cracker_corn
5435	Crackers_baby_food
5436	Crackers_baby_food
544	Salty_snacks_from_grain_products
5440	Salty_snacks_from_grain_products
54401	Salty_snacks_corn
54402	Salty_snacks_corn_wheat_multigrain_potatoes_or_pita
54403	Popcorn
55406	Onion_or_shrimp_flavored_snacks
54408	Pretzels
5441	Salty_snacks_from_grain_products
54412	Wheat_sticks
5442	Salty_snacks_from_grain_products
54420	Snack_mix
5443	Yogurt_chips
5444	Bagel_chips
55	Pancakes_waffles_French_toast_other
551	Pancakes
5510	Pancakes
55101	Pancakes_plain
55103	Pancakes_with_fruit_or_chocolate
55105	Pancakes_other_grains
552	Waffles
5520	Waffles
55201	Waffle_plain
55202	Waffle_multigrain
55203	Waffle_with_fruit_nuts_chocolate
55204	Waffle_cornmeal
55205	Waffle_100_whole_wheat
55206	Waffle_oat_bran
55207	Waffle_multi_bran
5521	Waffles
55211	Waffle_reduced_fat
55212	Waffle_reduced_fat_whole_wheat
553	French_toast
554	Crepes
555	Flourwater_patties
556	Flourmilk_dumplings_plain
557	Rice_flour_cakes
558	Funnel_cakes
56	Pastas_cooked_cereals_rice
561	Pastas
5610	Macaroni
56101	Macaroni_cooked
56102	Macaroni_whole_wheat
56103	Macaroni_cooked_spinach
56104	Macaroni_cooked_vegetable
5611	Noodles
56112	Noodles_cooked
56113	Noodles_cooked_whole_wheat
56114	Noodles_cooked_spinach
56116	Chow_mein_or_long_rice_noodles
56117	Chow_mein_or_long_rice_noodles
5613	Spaghetti
56130	Spaghetti_cooked_NS
56131	Spaghetti_cooked_fat_added
56132	Spaghetti_whole_wheat_NS
56133	Spaghetti_whole_wheat
562	Cooked_cereals_rice
5620	Cooked_cereals_rice
56200	Cereal_cooked_barley_or_buckwheat
56201	Grits_cooked_cornmeal_or_cornstarch
56202	Millet_or_oatmeal
56203	Oatmeal
56204	Quinoa
56205	Rice
56206	Wheat_cream_of_bulgur_couscous
56207	Wheat_cream_of_bulgur_couscous
56208	Oat_bran_cereal
56209	Rye
5621	Cooked_cereals_rice
56210	Nestum_cereal
57	Cereals_not_cooked_or_NS_as_to_cooked
570	Cereal_NS_as_to_cooked
571	Readytoeat_cereals
572	Readytoeat_cereals
573	Readytoeat_cereals
574	Readytoeat_cereals
576	Cereal_grains_not_cooked
578	Cereals_baby_food
58	Grain_mixtures_frozen_plate_meals_soups
581	Mixtures_mainly_grain_pasta_or_bread
5810	Mixtures_mainly_grain_pasta_or_bread
58100	Burrito_chilaquiles_or_enchilada
58101	Taco_or_tostada
58103	Tamale
58104	Nachos_gordita_chimichanga_quesadilla_taquito
58105	Fajita_pupusa
58106	Pizza
58107	Pizza_no_cheese_or_white_pizza
58108	Calzone_or_pizza_roll
5811	Mixtures_mainly_grain_pasta_or_bread
58110	Egg_roll
58111	Won_ton
58112	Dumpling
58115	Puerto_Rican_tamale_or_taco
58116	Empanada
58117	Puerto_Rican_fritter
58118	Puerto_Rican_dessert
5812	Mixtures_mainly_grain_pasta_or_bread
58120	Crepes_with_meat
58121	Dumpling_meat_vegetable
58122	Gnocchi_Kishke
58123	Knish_or_sweet_bread
58124	Filled_pastry
58125	Quiche
58126	Turnover
58127	Vegetable_sandwich_or_pastry
58128	Biscuit_or_dressing
5813	Mixtures_mainly_grain_pasta_or_bread
58130	Lasagna
58131	Ravioli
58132	Spaghetti
58133	Manicotti
58134	Stuffed_shells_or_tortellini
58135	Chow_fun_noodles
58136	Lo_mein
58137	Pad_Thai
5814	Mixtures_mainly_grain_pasta_or_bread
58140	Pasta_with_tuna_or_corned_beef
58145	Macaroni_or_noodles_with_cheese
58146	Pasta_with_sauce
58147	Pasta_with_other_additions
58148	Macaroni_or_pasta_salad
58149	Noodle_pudding_or_somen_salad
5815	Mixtures_mainly_grain_pasta_or_bread
58150	Bibimbop_or_fried_rice
58151	Sushi
58155	Rice_dishes_or_paella
58156	Puerto_Rican_rice_dishes
58157	Rice_pudding
5816	Mixtures_mainly_grain_pasta_or_bread
58160	Rice_with_vegetables_or_lentils
58161	Rice_brown_with_vegetables
58162	Stuffed_vegetables_with_rice
58163	Dirty_rice_flavored_rice_or_Spanish_rice
58164	Mixed_rice_dishes
58165	Rice_with_vegetables_and_sauce
5817	Mixtures_mainly_grain_pasta_or_bread
58174	Upma_Indian_breakfast_dish
58175	Tabbouleh_bulgar
582	Mixtures_mainly_grain_pasta_or_bread
5820	Wrap_sandwich
583	Frozen_plate_meals_with_grain_mixture_as_major_ingredient
584	Soups_with_grain_product_as_major_ingredient
585	Grain_mixtures_baby_food
59	Meat_substitutes_mainly_cereal_protein
590	Meat_substitutes_mainly_cereal_protein
6	Fruits
61	Citrus_fruits_juices
611	Citrus_fruits
6110	Citrus_fruits
61100	Calamondin
61101	Grapefruit
61104	Grapefruit_and_orange
6111	Citrus_fruits
61110	Kumquat
61113	Lemon
61116	Lime
61119	Orange
6112	Citrus_fruits
61122	Orange_mandarin
61125	Tangelo_or_tangerine
612	Citrus_fruit_juices
6120	Grapefruit_lemon_lime_juice
6121	Orange_tangerine_or_juice_blend
62	Dried_fruits
621	Dried_fruits
6210	Dried_fruits
62101	Fruit_NS_or_apple
62104	Apricot
62105	Blueberries
62106	Cherries
62107	Banana
62108	Currants
62109	Cranberries
6211	Dried_fruits
62110	Date
62113	Fig
62114	Lychee_or_mango
62116	Peach
62119	Pear
6212	Dried_fruits
62120	Pineapple
62121	Plum
62122	Prune
62125	Raisins
62126	Tamarind
63	Other_fruits
631	Fruits_excluding_berries
6310	Fruits_excluding_berries
63100	Fruit_NS
63101	Apple_or_applesauce
63103	Apricot
63105	Avocado
63107	Banana
63109	Cantaloupe_or_starfruit
6311	Fruits_excluding_berries
63110	Cassaba_melon
63111	Cherries_maraschino
63113	Cherries_sour
63115	Cherries_sweet
63117	Currants
63119	Figs
6312	Fruits_excluding_berries
63123	Grapes
63125	Guava
63126	Juneberry_Kiwi_Lychee
63127	Honeydew
63129	Mango
6313	Fruits_excluding_berries
63131	Nectarine
63133	Papaya
63134	Passion_fruit
63135	Peach
63137	Pear
63139	Persimmon
6314	Fruits_excluding_berries
63141	Pineapple
63143	Plum
63145	Pomegranate
63147	Rhubarb
63148	Tamarind
63149	Watermelon
632	Berries
6320	Berries
63200	Berries_NS
63201	Blackberries
63203	Blueberries
63205	Boysenberries
63207	Cranberries
63208	Dewberries
6321	Berries
63214	Huckleberries
63215	Loganberries
63217	Mulberries
63219	Raspberries
6322	Berries
63223	Strawberries
63224	Youngberries
633	Mixtures_of_two_or_more_fruits
6330	Ambrosia_or_cranberry
6331	Fruit_salad_or_cocktail
6332	Fruit_salad_mixture
634	Mixtures_of_fruits_and_nonfruit_items
6340	Mixtures_of_fruits_and_nonfruit_items
63401	Candied_or_chocolate_covered_or_salad_with_dressing
63402	Whip_fried_or_fruit_salad
63403	Whip_fried_or_fruit_salad
63409	Guacamole_or_chutney
6341	Cranberry_or_pineapple_salad_or_fruit_soup
6342	Fruit_juice_bar_frozen
6343	Sorbet_or_cream_juice_bar
64	Fruit_juices_and_nectars_excluding_citrus
641	Fruit_juices_excluding_citrus
642	Nectars
644	Vinegar
67	Fruits_and_juices_baby_food
671	Fruits_and_fruit_mixtures_baby_food
6710	Fruits_and_fruit_mixtures_baby_food
67100	Fruit_baby_NFS
67101	Apple_baby_food
67102	Applesauce_baby_food
67104	Applesauce_and_other_fruit_baby_food
67105	Bananas_baby_food
