FoodCode	Main.food.description
11111000	3.5_or_3.8_fat_milk
11111000	leche_fresca
11111170	nonfat_milk
11111170	0.5_or_less_fat
11111170	Skim_Plus
11111170	Skim_Delux_Calcium
11112110	HiProtein_milk
11112110	fortified_milk
11112110	1.5_fat_milk
11112130	1.5_fat_acidophilus_milk
11113000	nonfat_milk
11113000	0.5_or_less_fat
11114300	Lactaid
11114300	Lactaid_NS_as_to_fat_content
11114300	lactose_reduced
11114320	Lactaid
11114320	nonfat_milk
11114320	lactose_reduced
11114330	Lactaid
11114330	lactose_reduced
11114350	Lactaid_whole_milk
11114350	lactose_reduced
11115000	nonfat_buttermilk
11115100	buttermilk_NS_as_to_fat
11115200	2_fat_made_with_nonfat_milk_solids
11115400	fermented_milk_drink
11115400	plain
11115400	all_flavors
11121300	nonfat_milk
11212050	nonfat_milk
11320000	Edensoy
11320000	vanilla_flavored
11320000	Silk
11320000	West_Soy
11320000	Soymilk
11320000	NS_as_to_type
11320000	Vitasoy
11320100	vanilla_flavored
11320100	Silk
11320100	Vitasoy
11320100	West_Soy
11320100	Soymilk
11320200	vanilla_flavored
11320200	West_Soy
11320200	Soymilk
11321000	Silk
11321000	Belsoy
11321000	Soymilk
11321100	Silk
11321100	Vitasoy
11321100	Soymilk
11321200	Soymilk
11340000	Vitamite
11340000	all_flavors
11350000	Blue_Diamond_Almond_Breeze
11350000	Silk_PureAlmond
11350000	vanilla_flavored
11350000	Almond_Dream
11350000	NS_as_to_sweetened
11350010	Blue_Diamond_Almond_Breeze
11350010	Silk_PureAlmond
11350010	Almond_Dream
11350010	NS_as_to_sweetened
11350020	unsweetened_vanilla
11350020	Blue_Diamond_Almond_Breeze
11350020	Silk_PureAlmond
11350020	Almond_Dream
11350020	flavors_other_than_chocolate
11350030	Blue_Diamond_Almond_Breeze
11350030	Silk_PureAlmond
11350030	Almond_Dream
11360000	Rice_Dream_beverage
11370000	Silk_PureCoconut_beverage
11370000	So_Delicious
11411410	2_fat
11411420	0_fat
11420000	coffee_honey_lemon_and_maple_flavors
11421000	coffee_honey_lemon_and_maple_flavors
11422000	liquid_yogurt
11422000	GoGurt_Portable_Yogurt_tube
11422000	coffee_honey_lemon_and_maple_flavors
11422100	sweetened_with_low_calorie_sweetener
11422100	coffee_honey_lemon_and_maple_flavors
11423000	coffee_honey_lemon_and_maple_flavors
11424000	sweetened_with_low_calorie_sweetener
11424000	coffee_honey_lemon_and_maple_flavors
11424500	coffee_honey_lemon_and_maple_flavors
11424510	2_fat
11424510	coffee_honey_lemon_and_maple_flavors
11424520	0_fat
11424520	coffee_honey_lemon_and_maple_flavors
11428000	0_fat
11431000	breakfast_yogurt
11432000	custard_style
11432000	Dannon_Danimals
11432000	Dannon_Danimals_Drinkable_Yogurt
11432000	liquid_yogurt
11432000	GoGurt_Portable_Yogurt_tube
11432500	La_Yogurt
11432500	Axelrod
11432500	sweetened_with_lowcalorie_sweetener
11433500	sweetened_with_lowcalorie_sweetener
11434010	2_fat
11434020	0_fat
11446000	McDonalds_Fruit_n_Yogurt_Parfait
11446000	with_granola
11460000	yogurt_frozen_flavors_with_partial_chocolate_base_NS_as_to_type_of_milk
11460250	HaagenDazs_Raspberry_and_Vanilla_Frozen_Yogurt_bar
11460300	Turkey_Hill_Nonfat_Frozen_Yogurt
11460400	soft_serve_sugar_free_fat_free_frozen_yogurt
11460410	soft_serve_sugar_free_fat_free_frozen_yogurt
11461270	McDonalds_frozen_yogurt_cone
11461280	McDonalds_frozen_yogurt_cone
11480010	YoBaby_Original_all_flavors
11480020	YoBaby_Plus_Fruit_&_Cereal_NFS
11480030	YoBaby_Plus_Fruit_&_Cereal_with_iron
11480040	YoBaby_Plus_Fruit_&_Cereal_with_DHA
11511000	NS_as_to_milk_or_drink
11511300	nonfat_milk
11511400	Hersheys_Chocolate_milk
11511550	TruMoo
11511550	less_sugar
11511600	NS_as_to_type_of_milk
11511600	regular_reduced_or_less_sugar
11511610	regular_reduced_or_less_sugar
11511700	NS_as_to_type_of_milk
11512010	whole_2_or_reduced_fat_milk
11512010	NS_as_to_milk
11512010	evaporated_milk
11512010	chocolate_espanol
11512010	chocolate_caliente
11512010	McDonalds
11512010	Starbucks
11512010	Dunkin_Donuts
11512010	made_from_syrup_tablet_or_bar
11512020	low_fat_fat_free_skim_or_1_milk
11512020	chocolate_espanol
11512020	chocolate_caliente
11512020	Starbucks
11512020	made_from_syrup_tablet_or_bar
11512030	almond_coconut_rice_or_soy_milk
11512030	chocolate_espanol
11512030	chocolate_caliente
11512030	Starbucks
11512030	made_from_syrup_tablet_or_bar
11512100	whole_2_or_reduced_fat_milk
11512100	NS_as_to_milk
11512100	evaporated_milk
11512100	McDonalds
11512100	Starbucks
11512100	Dunkin_Donuts
11512100	made_from_syrup_tablet_or_bar
11512110	low_fat_fat_free_skim_or_1_milk
11512110	Starbucks
11512110	made_from_syrup_tablet_or_bar
11512120	almond_coconut_rice_or_soy_milk
