FoodCode	Main.food.description	Old.Main.food.description	ModCode	FoodID
92306020	Tea_herbal_presweetened_with_sugar	Tea_herbal_presweetened_with_sugar	0	92306020.0
92302200	Tea_leaf_presweetened_with_sugar	Tea_leaf_presweetened_with_sugar	0	92302200.0
92301060	Tea_NS_as_to_type_presweetened_with_sugar	Tea_NS_as_to_type_presweetened_with_sugar	0	92301060.0
92302300	Tea_leaf_presweetened_with_low_calorie_sweetener	Tea_leaf_presweetened_with_low_calorie_sweetener	0	92302300.0
92511010	Fruit_flavored_drink_formerly_lemonade	Fruit_flavored_drink_formerly_lemonade	0	92511010.0
75316010	Zucchini_with_tomato_sauce_cooked_fat_not_added_in_cooking	Zucchini_with_tomato_sauce_cooked_fat_not_added_in_cooking	0	75316010.0
75221210	Parsley_cooked_assume_fat_not_added_in_cooking	Parsley_cooked_assume_fat_not_added_in_cooking	0	75221210.0
92301130	Tea_NS_as_to_type_presweetened_NS_as_to_sweetener	Tea_NS_as_to_type_presweetened_NS_as_to_sweetener	0	92301130.0
51201060	Bread_whole_wheat_100_made_from_home_recipe_or_purchased_at_bakery	Bread_whole_wheat_100_made_from_home_recipe_or_purchased_at_bakery	0	51201060.0
58151130	Sushi_with_vegetables_and_seafood	Sushi_with_vegetables_and_seafood	0	58151130.0
51151060	Roll_white_soft_made_from_home_recipe_or_purchased_at_a_bakery	Roll_white_soft_made_from_home_recipe_or_purchased_at_a_bakery	0	51151060.0
51220000	Roll_whole_wheat_100	Roll_whole_wheat_100	0	51220000.0
51201150	Bread_pita_whole_wheat_100	Bread_pita_whole_wheat_100	0	51201150.0
11553000	Fruit_smoothie_drink_made_with_fruit_or_fruit_juice_and_dairy_products	Fruit_smoothie_drink_made_with_fruit_or_fruit_juice_and_dairy_products	0	11553000.0
64134000	Fruit_smoothie_drink_made_with_fruit_or_fruit_juice_only_no_dairy_products	Fruit_smoothie_drink_made_with_fruit_or_fruit_juice_only_no_dairy_products	0	64134000.0
92305000	Tea_made_from_powdered_instant_presweetened_NS_as_to_sweetener	Tea_made_from_powdered_instant_presweetened_NS_as_to_sweetener	0	92305000.0
11514300	Cocoa_with_nonfat_dry_milk_and_low_calorie_sweetener_mixture_water_added	Cocoa_with_nonfat_dry_milk_and_low_calorie_sweetener_mixture_water_added	0	11514300.0
51201010	Bread_whole_wheat_100	Bread_whole_wheat_100	0	51201010.0
92105010	Coffee_made_from_liquid_concentrate	Coffee_made_from_liquid_concentrate	0	92105010.0
11541500	Milk_shake_made_with_skim_milk_chocolate	Milk_shake_made_with_skim_milk_chocolate	0	11541500.0
51207010	Bread_sprouted_wheat	Bread_sprouted_wheat	0	51207010.0
92302800	Tea_leaf_decaffeinated_presweetened_NS_as_to_sweetener	Tea_leaf_decaffeinated_presweetened_NS_as_to_sweetener	0	92302800.0
58151140	Sushi_with_vegetables_rolled_in_seaweed	Sushi_with_vegetables_rolled_in_seaweed	0	58151140.0
92302400	Tea_leaf_presweetened_NS_as_to_sweetener	Tea_leaf_presweetened_NS_as_to_sweetener	0	92302400.0
92301000	Tea_NS_as_to_type_unsweetened	Tea_NS_as_to_type_unsweetened	0	92301000.0
