Main.food.description	Portion	portionwgt	FoodCode	ModCode
Acacia_Leaves_Cha_om_	cup	75	75113081	
Acacia_Leaves_Cha_om_1_portion_1_2_oz	portion	14	75113081	
Asia_Mix	cup	64	95230001	
Banana_Flower	cup, shredded or chopped	150	63107011	
Banana_Trunk	cup	75	63107012	
Banh_Mi_Vietnamese_Pork_Sandwich_	barbecue sandwich	282	27520321	
Bean_Flour_Mix	cup, whole	125	55702000	
Beef_Jerky	ounce(s) cooked, no bone	25	21602100	
Beijing_Beef	ounce(s) cooked, no bone	170	27311411	
Birdy_Thai_Coffee_	mug (8 fl oz)	115	92101001	
Bitter_Gourd	cup	160	75208300	900000
Bitter_Melon_Real_	cup pak-choi	160	75208300	900000
Black_Soy_Sauce	tablespoon	14.18	41420300	
Blueberry_Crumble	cup	340	53304050	
Broccoli_fresh_cooked_no_salt_or_fat_added_	cup, cut stalks	175	72103000	
Burrito_Bowl_Chipotle	medium burrito	669	58100245	
Cabbage_Chinese_Bok_Choy_cooked_with_salt_and_vegetable_oil_	cup	175	75210020	
California_avocado_black_skin_Avocado_raw		50	63105010	
Candy_chocolate_covered_dietetic_or_low_calorie	medium piece	14	91770030	
Candy_chocolate_covered_dietetic_or_low_calorie	small piece	7	91770030	
Cheese_Cheddar	slice (1 oz)	19	14104010	
Cheese_Cheddar	ounce(s)	19	14104010	
Cheetos_Flaming_Hot	single serving bag (1 oz)	240	54401050	
Chicken_breast_boneless_skinless_baked_breaded_breading_eaten	ounce(s) cooked, no bone	28.35	24127110	205695
Chicken_drumstick_fried_in_oil_skin_eaten	medium drumstick	72	24144210	205539
Chicken_Feet_Ounce_	foot	20	24198500	
Chicken_Orzo_Salad	cup	200	58148170	
Chicken_raw_gizzards	ounce(s)	9	25170429	
Chicken_thigh_fried_in_oil_skin_eaten	medium thigh	56	24154210	205389
Chicken_wing_fried_in_oil_skin_eaten	medium wing	30	24164110	
Chili_Paste	tablespoon	14.18	75121001	
Chinese_Long_Bean	cup	125	75101800	
Chinese_Long_Bean_1_prop_1_oz_	portion	25	75101800	
Chinese_Long_Bean_Real	cup	125	75101800	
Cod_baked_or_broiled_with_oil	ounce(s), cooked, boneless	28.35	26109120	202670
Cookie_butter_or_sugar_cookie	cup, crushed	100	53241500	
Cookie_chocolate_chip_homemade_or_bakery	medium (2 across)	12.2	53206000	
Cookie_Ganesa_	medium (2-5/8 across)	100	53241500	
Cookie_lemon_bar	medium bar (2 square)	38	53224250	
