Diet.ID	FoodID	FoodAmt
1	CS.003	11111000.0	244
2	CS.006	11111000.0	274.5
3	CS.019	11111000.0	244
4	CS.032	11111000.0	122
5	CS.043	11111000.0	244
6	CS.049	11111000.0	244
7	CS.050	11111000.0	244
8	CS.061	11111000.0	244
9	CS.075	11111000.0	732
10	CS.095	11111000.0	244
11	CS.183	11111000.0	30
12	L.006.M1	11111000.0	244
13	L.008.M1	11111000.0	488
14	T.CS.180	11111000.0	183
15	CS.033	11112110.0	244
16	CS.037	11112110.0	244
17	CS.072	11112110.0	244
18	CS.117	11112110.0	488
19	CS.120	11112110.0	244
20	CS.145	11112110.0	488
21	CS.165	11112110.0	244
22	CS.199	11112110.0	244
23	CS.201	11112110.0	488
24	CS.203	11112110.0	244
25	CS.212	11112110.0	244
26	CS.214	11112110.0	244
27	CS.218	11112110.0	244
28	CS.263	11112110.0	488
29	CS.264	11112110.0	732
30	CS.278	11112110.0	244
31	CS.297	11112110.0	244
32	CS.311	11112110.0	122
33	CS.350	11112110.0	244
34	CS.351	11112110.0	61
35	CS.388	11112110.0	244
36	CS.395	11112110.0	488
37	T.CS.111	11112110.0	61
38	CS.177	11112210.0	61
39	CS.186	11112210.0	244
40	CS.243	11112210.0	244
41	CS.265	11112210.0	488
42	CS.270	11112210.0	244
43	CS.280	11112210.0	244
44	CS.305	11112210.0	244
45	CS.323	11112210.0	15
46	CS.332	11112210.0	244
47	L.001.M2	11112210.0	732
48	L.001.M4	11112210.0	488
49	L.001.M5	11112210.0	488
50	L.001.M7	11112210.0	244
51	L.002.M5	11112210.0	244
52	L.004.M2	11112210.0	122
53	L.004.M4	11112210.0	244
54	L.004.M5	11112210.0	244
55	L.006.M3	11112210.0	244
56	L.008.M2	11112210.0	488
57	L.008.M3	11112210.0	244
58	L.008.M5	11112210.0	244
59	L.022.M3	11112210.0	244
60	L.031.M2	11112210.0	244
61	L.031.M4	11112210.0	244
62	L.031.M6	11112210.0	244
63	L.035.M2	11112210.0	488
64	L.035.M3	11112210.0	488
65	L.035.M4	11112210.0	488
66	L.035.M5	11112210.0	244
67	T.CS.116	11112210.0	183
68	T.CS.119	11112210.0	122
69	T.CS.163	11112210.0	244
70	CS.029	11113000.0	245
71	CS.096	11113000.0	245
72	CS.101	11113000.0	245
73	CS.115	11113000.0	735
74	CS.182	11113000.0	245
75	CS.311	11113000.0	245
76	CS.332	11113000.0	490
77	CS.349	11113000.0	1286.25
78	CS.389	11113000.0	245
