Food_Item_ID	FoodCode	ModCode	Food Name	portioncode	portioncode addendum	portion_code	portionwgt	Portion_Factor	portiondesc	increment	default portion	Use as default
36	11411200	000000	Yogurt, plain, low fat	10215	00	1021500	245.00	2.5	cup	0.25	1	0
36	11411200	000000	Yogurt, plain, low fat	21000	00	2100000	15.31	0.2	tablespoon	0.50	1	0
36	11411200	000000	Yogurt, plain, low fat	60040	00	6004000	227.00	2.3	container (8 oz)	0.25	1	1
37	11411300	000000	Yogurt, plain, fat free	10215	00	1021500	245.00	2.5	cup	0.25	1	0
37	11411300	000000	Yogurt, plain, fat free	21000	00	2100000	15.31	0.2	tablespoon	0.50	1	0
37	11411300	000000	Yogurt, plain, fat free	60040	00	6004000	227.00	2.3	container (8 oz)	0.25	1	1
38	11421000	000000	Yogurt, coffee, whole milk	10215	00	1021500	245.00	2.5	cup	0.25	1	0
38	11421000	000000	Yogurt, coffee, whole milk	60040	00	6004000	227.00	2.3	container (8 oz)	0.25	1	1
39	11422000	000000	Yogurt, coffee, lowfat	10215	00	1021500	245.00	2.5	cup	0.25	1	0
39	11422000	000000	Yogurt, coffee, lowfat	60040	00	6004000	227.00	2.3	container (8 oz)	0.25	1	1
39	11422000	000000	Yogurt, coffee, lowfat	64057	00	6405700	64.00	0.6	tube (2-1/4 oz)	1.00	1	0
5508	11422100	000000	Yogurt, vanilla, lowfat, low calorie sweetener	10215	00	1021500	245.00	2.5	cup	0.25	1	0
5508	11422100	000000	Yogurt, vanilla, lowfat, low calorie sweetener	60039	00	6003900	170.00	1.7	container (6 oz)	0.25	1	0
5508	11422100	000000	Yogurt, vanilla, lowfat, low calorie sweetener	60040	00	6004000	227.00	2.3	container (8 oz)	0.25	1	1
40	11423000	000000	Yogurt, coffee, fat free	10205	00	1020500	245.00	2.5	cup	0.25	1	0
40	11423000	000000	Yogurt, coffee, fat free	60040	00	6004000	227.00	2.3	container (8 oz)	0.25	1	1
41	11424000	000000	Yogurt, coffee, light (fat free, low calorie sweetener)	10205	00	1020500	245.00	2.5	cup	0.25	1	0
41	11424000	000000	Yogurt, coffee, light (fat free, low calorie sweetener)	60040	00	6004000	227.00	2.3	container (8 oz)	0.25	1	1
42	11426000	000000	Chocolate yogurt, whole milk	10215	00	1021500	245.00	2.5	cup	0.25	1	0
42	11426000	000000	Chocolate yogurt, whole milk	60039	00	6003900	170.00	1.7	container (6 oz)	0.25	1	1
42	11426000	000000	Chocolate yogurt, whole milk	60040	00	6004000	227.00	2.3	container (8 oz)	0.25	1	0
43	11427000	000000	Chocolate yogurt, fat free	10205	00	1020500	245.00	2.5	cup	0.25	1	0
43	11427000	000000	Chocolate yogurt, fat free	63953	00	6395300	170.00	1.7	6 oz container	0.25	1	1
44	11431000	000000	Yogurt, blueberry, whole milk	10215	00	1021500	245.00	2.5	cup	0.25	1	0
44	11431000	000000	Yogurt, blueberry, whole milk	60039	00	6003900	170.00	1.7	container (6 oz)	0.25	1	1
44	11431000	000000	Yogurt, blueberry, whole milk	60040	00	6004000	227.00	2.3	container (8 oz)	0.25	1	0
44	11431000	000000	Yogurt, blueberry, whole milk	64057	00	6405700	64.00	0.6	tube (2-1/4 oz)	1.00	1	0
45	11432000	000000	Yogurt, blueberry, lowfat	10215	00	1021500	245.00	2.5	cup	0.25	1	0
45	11432000	000000	Yogurt, blueberry, lowfat	60039	00	6003900	170.00	1.7	container (6 oz)	0.25	1	1
45	11432000	000000	Yogurt, blueberry, lowfat	60040	00	6004000	227.00	2.3	container (8 oz)	0.25	1	0
45	11432000	000000	Yogurt, blueberry, lowfat	63167	00	6316700	113.00	1.1	container (4 oz)	0.50	1	0
45	11432000	000000	Yogurt, blueberry, lowfat	64039	01	6403901	93.00	0.9	bottle (3.3 oz)	1.00	1	0
45	11432000	000000	Yogurt, blueberry, lowfat	64057	00	6405700	64.00	0.6	tube (2-1/4 oz)	1.00	1	0
46	11432500	000000	Yogurt, blueberry, lowfat, low calorie sweetener	10215	00	1021500	245.00	2.5	cup	0.25	1	0
46	11432500	000000	Yogurt, blueberry, lowfat, low calorie sweetener	60039	00	6003900	170.00	1.7	container (6 oz)	0.25	1	1
46	11432500	000000	Yogurt, blueberry, lowfat, low calorie sweetener	60040	00	6004000	227.00	2.3	container (8 oz)	0.25	1	0
47	11433000	000000	Yogurt, blueberry, fat free	10215	00	1021500	245.00	2.5	cup	0.25	1	0
47	11433000	000000	Yogurt, blueberry, fat free	60039	00	6003900	170.00	1.7	container (6 oz)	0.25	1	1
47	11433000	000000	Yogurt, blueberry, fat free	60040	00	6004000	227.00	2.3	container (8 oz)	0.25	1	0
48	11433500	000000	Yogurt, blueberry, light (fat free, low calorie sweetener)	10205	00	1020500	241.00	2.4	cup	0.25	1	0
48	11433500	000000	Yogurt, blueberry, light (fat free, low calorie sweetener)	60039	00	6003900	170.00	1.7	container (6 oz)	0.25	1	1
48	11433500	000000	Yogurt, blueberry, light (fat free, low calorie sweetener)	60161	00	6016100	186.00	1.9	Jenny's Cuisine envelope (1 oz), prepared	0.25	1	0
50	11446000	000000	Fruit and low fat yogurt parfait	64283	00	6428300	149.00	1.5	McDonald's parfait	0.50	1	1
5114	11447771	000000	Greek yogurt, plain, fat free	10215	00	1021500	245.00	2.5	cup	0.25	1	0
5114	11447771	000000	Greek yogurt, plain, fat free	21000	00	2100000	15.31	0.2	tablespoon	1.00	1	0
5114	11447771	000000	Greek yogurt, plain, fat free	60039	00	6003900	170.00	1.7	container (6 oz)	0.25	1	1
5115	11447772	000000	Greek yogurt, fruit, fat free	10215	00	1021500	245.00	2.5	cup	0.25	1	0
5115	11447772	000000	Greek yogurt, fruit, fat free	21000	00	2100000	15.31	0.2	tablespoon	1.00	1	0
5115	11447772	000000	Greek yogurt, fruit, fat free	60039	00	6003900	170.00	1.7	container (6 oz)	0.25	1	1
51	11460160	000000	Frozen yogurt, chocolate, low fat	10205	00	1020500	200.00	2.0	cup	0.25	1	0
51	11460160	000000	Frozen yogurt, chocolate, low fat	61067	00	6106700	133.00	1.3	large scoop	0.50	1	0
51	11460160	000000	Frozen yogurt, chocolate, low fat	61396	00	6139600	100.00	1.0	medium scoop	0.50	1	1
51	11460160	000000	Frozen yogurt, chocolate, low fat	62162	00	6216200	67.00	0.7	small scoop	0.50	1	0
52	11460170	000000	Frozen yogurt, other flavors, low fat	10205	00	1020500	200.00	2.0	cup	0.25	1	0
52	11460170	000000	Frozen yogurt, other flavors, low fat	61067	00	6106700	133.00	1.3	large scoop	0.50	1	0
52	11460170	000000	Frozen yogurt, other flavors, low fat	61396	00	6139600	100.00	1.0	medium scoop	0.50	1	1
52	11460170	000000	Frozen yogurt, other flavors, low fat	62162	00	6216200	67.00	0.7	small scoop	0.50	1	0
53	11460200	000000	Frozen yogurt, chocolate, nonfat	10205	00	1020500	159.00	1.6	cup	0.25	1	0
53	11460200	000000	Frozen yogurt, chocolate, nonfat	61067	00	6106700	106.00	1.1	large scoop	0.50	1	0
53	11460200	000000	Frozen yogurt, chocolate, nonfat	61396	00	6139600	80.00	0.8	medium scoop	0.50	1	1
53	11460200	000000	Frozen yogurt, chocolate, nonfat	62162	00	6216200	53.00	0.5	small scoop	0.50	1	0
54	11460250	000000	Frozen yogurt, other flavors, with sorbet	63528	00	6352800	75.00	0.8	Haagen-Dazs bar (2.3 fl oz)	0.50	1	1
55	11460300	000000	Frozen yogurt, other flavors, nonfat	10205	00	1020500	159.00	1.6	cup	0.25	1	0
55	11460300	000000	Frozen yogurt, other flavors, nonfat	61067	00	6106700	106.00	1.1	large scoop	0.50	1	0
55	11460300	000000	Frozen yogurt, other flavors, nonfat	61396	00	6139600	80.00	0.8	medium scoop	0.50	1	1
55	11460300	000000	Frozen yogurt, other flavors, nonfat	62162	00	6216200	53.00	0.5	small scoop	0.50	1	0
56	11460400	000000	Frozen yogurt, chocolate, nonfat, low-calorie sweetener	10205	00	1020500	186.00	1.9	cup	0.25	1	0
56	11460400	000000	Frozen yogurt, chocolate, nonfat, low-calorie sweetener	61067	00	6106700	124.00	1.2	large scoop	0.50	1	0
56	11460400	000000	Frozen yogurt, chocolate, nonfat, low-calorie sweetener	61396	00	6139600	93.00	0.9	medium scoop	0.50	1	1
56	11460400	000000	Frozen yogurt, chocolate, nonfat, low-calorie sweetener	62162	00	6216200	62.00	0.6	small scoop	0.50	1	0
57	11460410	000000	Frozen yogurt, other flavors, nonfat, low-calorie sweetener	10205	00	1020500	186.00	1.9	cup	0.25	1	0
57	11460410	000000	Frozen yogurt, other flavors, nonfat, low-calorie sweetener	61067	00	6106700	124.00	1.2	large scoop	0.50	1	0
57	11460410	000000	Frozen yogurt, other flavors, nonfat, low-calorie sweetener	61396	00	6139600	93.00	0.9	medium scoop	0.50	1	1
57	11460410	000000	Frozen yogurt, other flavors, nonfat, low-calorie sweetener	62162	00	6216200	62.00	0.6	small scoop	0.50	1	0
58	11460430	000000	Frozen yogurt, chocolate, whole milk	10205	00	1020500	174.00	1.7	cup	0.25	1	0
58	11460430	000000	Frozen yogurt, chocolate, whole milk	61067	00	6106700	116.00	1.2	large scoop	0.50	1	0
58	11460430	000000	Frozen yogurt, chocolate, whole milk	61396	00	6139600	87.00	0.9	medium scoop	0.50	1	1
58	11460430	000000	Frozen yogurt, chocolate, whole milk	62162	00	6216200	58.00	0.6	small scoop	0.50	1	0
59	11460440	000000	Frozen yogurt, other flavors, whole milk	10205	00	1020500	174.00	1.7	cup	0.25	1	0
59	11460440	000000	Frozen yogurt, other flavors, whole milk	61067	00	6106700	116.00	1.2	large scoop	0.50	1	0
59	11460440	000000	Frozen yogurt, other flavors, whole milk	61396	00	6139600	87.00	0.9	medium scoop	0.50	1	1
59	11460440	000000	Frozen yogurt, other flavors, whole milk	62162	00	6216200	58.00	0.6	small scoop	0.50	1	0
60	11461000	000000	Frozen yogurt, chocolate-coated	60345	00	6034500	41.00	0.4	bar	0.50	1	1
61	11461100	000000	Frozen yogurt, carob-coated	60345	00	6034500	41.00	0.4	bar	0.50	1	1
62	11461200	000000	Frozen yogurt, sandwich	61853	00	6185300	85.00	0.9	sandwich	0.50	1	1
63	11461250	000000	Frozen yogurt, cone, chocolate	60992	00	6099200	143.00	1.4	large cone	1.00	1	0
63	11461250	000000	Frozen yogurt, cone, chocolate	62087	00	6208700	78.00	0.8	small cone	1.00	1	0
63	11461250	000000	Frozen yogurt, cone, chocolate	63884	00	6388400	118.00	1.2	medium cone	1.00	1	1
64	11461260	000000	Frozen yogurt, cone, other flavors	60992	00	6099200	143.00	1.4	large cone	1.00	1	0
64	11461260	000000	Frozen yogurt, cone, other flavors	62087	00	6208700	78.00	0.8	small cone	1.00	1	0
64	11461260	000000	Frozen yogurt, cone, other flavors	63884	00	6388400	118.00	1.2	medium cone	1.00	1	1
65	11461270	000000	Frozen yogurt, cone, other flavors, low fat	60992	00	6099200	143.00	1.4	large cone	1.00	1	0
65	11461270	000000	Frozen yogurt, cone, other flavors, low fat	62087	00	6208700	78.00	0.8	small cone	1.00	1	0
65	11461270	000000	Frozen yogurt, cone, other flavors, low fat	63884	00	6388400	118.00	1.2	medium cone	1.00	1	1
66	11461280	000000	Frozen yogurt, cone, chocolate, low fat	60992	00	6099200	143.00	1.4	large cone	1.00	1	0
66	11461280	000000	Frozen yogurt, cone, chocolate, low fat	62087	00	6208700	78.00	0.8	small cone	1.00	1	0
66	11461280	000000	Frozen yogurt, cone, chocolate, low fat	63884	00	6388400	118.00	1.2	medium cone	1.00	1	1
67	11511100	000000	Chocolate milk, whole	10205	00	1020500	250.00	2.5	cup	0.25	1	1
67	11511100	000000	Chocolate milk, whole	30000	00	3000000	31.19	0.3	fluid ounce(s)	1.00	1	0
67	11511100	000000	Chocolate milk, whole	63478	00	6347800	250.00	2.5	school milk carton (1/2 pint)	0.25	1	0
68	11511200	000000	Chocolate milk, reduced fat (2%)	10205	00	1020500	250.00	2.5	cup	0.25	1	1
68	11511200	000000	Chocolate milk, reduced fat (2%)	30000	00	3000000	31.19	0.3	fluid ounce(s)	1.00	1	0
68	11511200	000000	Chocolate milk, reduced fat (2%)	63478	00	6347800	250.00	2.5	school milk carton (1/2 pint)	0.25	1	0
69	11511300	000000	Chocolate milk, fat free (skim)	10205	00	1020500	250.00	2.5	cup	0.25	1	1
69	11511300	000000	Chocolate milk, fat free (skim)	30000	00	3000000	31.19	0.3	fluid ounce(s)	1.00	1	0
69	11511300	000000	Chocolate milk, fat free (skim)	63478	00	6347800	250.00	2.5	school milk carton (1/2 pint)	0.25	1	0
70	11511400	000000	Chocolate milk, low fat (1%)	30000	00	3000000	31.19	0.3	fluid ounce(s)	1.00	1	0
70	11511400	000000	Chocolate milk, low fat (1%)	63478	01	6347801	250.00	2.5	cup (school milk carton)	0.25	1	1
71	11512000	000000	Hot chocolate, homemade, with whole milk	10205	00	1020500	250.00	2.5	cup	0.25	1	1
72	11512500	000000	Hot chocolate, Puerto Rican style, with whole milk	10205	00	1020500	240.00	2.4	cup	0.25	1	1
73	11512500	206723	Hot chocolate, Puerto Rican style, with reduced fat (2%) milk	10205	00	1020500	240.00	2.4	cup	0.25	1	1
74	11512500	206744	Hot chocolate, Puerto Rican style, with low fat (1%) milk	10205	00	1020500	240.00	2.4	cup	0.25	1	1
75	11513100	000000	Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with whole milk 	10205	00	1020500	250.00	2.5	cup	0.25	1	1
76	11513150	000000	Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with reduced fat (2%) milk 	10205	00	1020500	250.00	2.5	cup	0.25	1	1
77	11513200	000000	Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with low fat (1%) milk 	10205	00	1020500	250.00	2.5	cup	0.25	1	1
78	11513300	000000	Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with fat free (skim) milk 	10205	00	1020500	250.00	2.5	cup	0.25	1	1
6148	11513355	000000	Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with whole milk	10205	00	1020500	250.00	2.5	cup	0.25	1	1
6148	11513355	000000	Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with whole milk	30000	00	3000000	31.19	0.3	fluid ounce(s)	1.00	1	0
6149	11513360	000000	Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with reduced fat (2%) milk	10205	00	1020500	250.00	2.5	cup	0.25	1	1
6149	11513360	000000	Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with reduced fat (2%) milk	30000	00	3000000	31.19	0.3	fluid ounce(s)	1.00	1	0
6150	11513365	000000	Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with low fat (1%) milk	10205	00	1020500	250.00	2.5	cup	0.25	1	1
6150	11513365	000000	Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with low fat (1%) milk	30000	00	3000000	31.19	0.3	fluid ounce(s)	1.00	1	0
6151	11513370	000000	Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with fat free (skim) milk	10205	00	1020500	250.00	2.5	cup	0.25	1	1
6151	11513370	000000	Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with fat free (skim) milk	30000	00	3000000	31.19	0.3	fluid ounce(s)	1.00	1	0
79	11513500	000000	Chocolate milk, homemade, with whole milk 	10205	00	1020500	250.00	2.5	cup	0.25	1	1
80	11513550	000000	Chocolate milk, homemade, with reduced fat (2%) milk 	10205	00	1020500	250.00	2.5	cup	0.25	1	1
81	11513600	000000	Chocolate milk, homemade, with low fat (1%) milk 	10205	00	1020500	250.00	2.5	cup	0.25	1	1
82	11513700	000000	Chocolate milk, homemade, with fat free (skim) milk 	10205	00	1020500	250.00	2.5	cup	0.25	1	1
83	11514100	000000	Hot chocolate, (Swiss Miss), (Carnation), made from dry mix (with milk & sugar), with water	10205	00	1020500	250.00	2.5	cup	0.25	1	0
83	11514100	000000	Hot chocolate, (Swiss Miss), (Carnation), made from dry mix (with milk & sugar), with water	40015	00	4001500	206.00	2.1	packet dry mix, prepared with water	0.25	1	1
84	11514300	000000	Hot chocolate, (Carnation), (Swiss Miss), (Nutrisystem), made from mix (with milk & low calorie sweetener), with water	10205	00	1020500	250.00	2.5	cup	0.25	1	0
