Food_Item_ID	FoodCode	ModCode	Food Name	portioncode	portioncode addendum	portion_code	portionwgt	Portion_Factor	portiondesc	increment	default portion	Use as default
1	11111000	000000	Milk, whole	10205	00	1020500	244.00	2.4	cup	0.25	1	1
1	11111000	000000	Milk, whole	10205	03	1020503	244.00	2.4	cup (school carton)	0.25	1	0
1	11111000	000000	Milk, whole	21000	00	2100000	15.00	0.2	tablespoon	0.50	1	0
1	11111000	000000	Milk, whole	30000	00	3000000	30.50	0.3	fluid ounce(s)	1.00	1	0
1	11111000	000000	Milk, whole	61795	01	6179501	976.00	9.8	quart (4 cups)	0.50	1	0
2	11111100	000000	Milk, whole, low-sodium	10205	00	1020500	244.00	2.4	cup	0.25	1	1
2	11111100	000000	Milk, whole, low-sodium	30000	00	3000000	30.50	0.3	fluid ounce(s)	1.00	1	0
3	11111150	000000	Milk, whole, calcium fortified	10205	00	1020500	247.00	2.5	cup	0.25	1	1
3	11111150	000000	Milk, whole, calcium fortified	30000	00	3000000	30.89	0.3	fluid ounce(s)	1.00	1	0
4	11111160	000000	1% milk, calcium fortified 	10205	00	1020500	247.00	2.5	cup	0.25	1	1
4	11111160	000000	1% milk, calcium fortified 	30000	00	3000000	30.89	0.3	fluid ounce(s)	1.00	1	0
5	11111170	000000	Fat free milk, calcium fortified 	10205	00	1020500	247.00	2.5	cup	0.25	1	1
5	11111170	000000	Fat free milk, calcium fortified 	30000	00	3000000	30.89	0.3	fluid ounce(s)	1.00	1	0
6	11112110	000000	2% milk	10205	00	1020500	244.00	2.4	cup	0.25	1	1
6	11112110	000000	2% milk	10205	03	1020503	244.00	2.4	cup (school carton)	0.25	1	0
6	11112110	000000	2% milk	21000	00	2100000	15.00	0.2	tablespoon	0.50	1	0
6	11112110	000000	2% milk	30000	00	3000000	30.50	0.3	fluid ounce(s)	1.00	1	0
6	11112110	000000	2% milk	61795	01	6179501	976.00	9.8	quart (4 cups)	0.50	1	0
7	11112120	000000	1% acidophilus milk	10205	00	1020500	242.00	2.4	cup	0.25	1	1
7	11112120	000000	1% acidophilus milk	30000	00	3000000	30.19	0.3	fluid ounce(s)	1.00	1	0
8	11112130	000000	2% acidophilus milk	10205	00	1020500	245.00	2.5	cup	0.25	1	1
8	11112130	000000	2% acidophilus milk	30000	00	3000000	30.60	0.3	fluid ounce(s)	1.00	1	0
9	11112210	000000	1% milk	10205	00	1020500	244.00	2.4	cup	0.25	1	1
9	11112210	000000	1% milk	21000	00	2100000	15.00	0.2	tablespoon	0.50	1	0
9	11112210	000000	1% milk	30000	00	3000000	30.50	0.3	fluid ounce(s)	1.00	1	0
9	11112210	000000	1% milk	61795	01	6179501	976.00	9.8	quart (4 cups)	0.50	1	0
9	11112210	000000	1% milk	63478	00	6347800	244.00	2.4	school milk carton (1/2 pint)	0.25	1	0
10	11113000	000000	Fat free milk 	10205	00	1020500	245.00	2.5	cup	0.25	1	1
10	11113000	000000	Fat free milk 	21000	00	2100000	15.31	0.2	tablespoon	0.50	1	0
10	11113000	000000	Fat free milk 	30000	00	3000000	30.60	0.3	fluid ounce(s)	1.00	1	0
10	11113000	000000	Fat free milk 	61795	01	6179501	980.00	9.8	quart (4 cups)	0.50	1	0
11	11114300	000000	1% milk, lactose-free (Lactaid)	10205	00	1020500	246.00	2.5	cup	0.25	1	1
11	11114300	000000	1% milk, lactose-free (Lactaid)	30000	00	3000000	30.80	0.3	fluid ounce(s)	1.00	1	0
12	11114310	000000	1% milk, lactose-free (Lactaid), calcium-fortified	10205	00	1020500	247.00	2.5	cup	0.25	1	1
12	11114310	000000	1% milk, lactose-free (Lactaid), calcium-fortified	30000	00	3000000	30.89	0.3	fluid ounce(s)	1.00	1	0
13	11114320	000000	Fat free milk, lactose-free	10205	00	1020500	245.00	2.5	cup	0.25	1	1
13	11114320	000000	Fat free milk, lactose-free	30000	00	3000000	30.60	0.3	fluid ounce(s)	1.00	1	0
14	11114321	000000	Fat free milk, lactose-free, calcium fortified	10205	00	1020500	247.00	2.5	cup	0.25	1	1
14	11114321	000000	Fat free milk, lactose-free, calcium fortified	30000	00	3000000	30.89	0.3	fluid ounce(s)	1.00	1	0
15	11114330	000000	2% milk, lactose-free (Lactaid)	10205	00	1020500	244.00	2.4	cup	0.25	1	1
15	11114330	000000	2% milk, lactose-free (Lactaid)	30000	00	3000000	30.50	0.3	fluid ounce(s)	1.00	1	0
16	11114350	000000	Lactaid milk, whole milk	10205	00	1020500	244.00	2.4	cup	0.25	1	1
16	11114350	000000	Lactaid milk, whole milk	30000	00	3000000	30.50	0.3	fluid ounce(s)	1.00	1	0
17	11115000	000000	Buttermilk, fat free (skim)	10205	00	1020500	245.00	2.5	cup	0.25	1	1
17	11115000	000000	Buttermilk, fat free (skim)	21000	00	2100000	15.31	0.2	tablespoon	0.50	1	0
17	11115000	000000	Buttermilk, fat free (skim)	30000	00	3000000	30.60	0.3	fluid ounce(s)	1.00	1	0
18	11115100	000000	1% buttermilk	10205	00	1020500	245.00	2.5	cup	0.25	1	1
18	11115100	000000	1% buttermilk	21000	00	2100000	15.31	0.2	tablespoon	0.50	1	0
18	11115100	000000	1% buttermilk	30000	00	3000000	30.60	0.3	fluid ounce(s)	1.00	1	0
19	11115200	000000	2% buttermilk	10205	00	1020500	245.00	2.5	cup	0.25	1	1
19	11115200	000000	2% buttermilk	21000	00	2100000	15.31	0.2	tablespoon	0.50	1	0
19	11115200	000000	2% buttermilk	30000	00	3000000	30.60	0.3	fluid ounce(s)	1.00	1	0
5507	11115300	000000	Buttermilk, whole	10205	00	1020500	245.00	2.5	cup	0.25	1	1
5507	11115300	000000	Buttermilk, whole	21000	00	2100000	15.30	0.2	tablespoon	0.50	1	0
5507	11115300	000000	Buttermilk, whole	30000	00	3000000	30.60	0.3	fluid ounce(s)	1.00	1	0
20	11116000	000000	Goat's milk 	10205	00	1020500	244.00	2.4	cup	0.25	1	1
20	11116000	000000	Goat's milk 	30000	00	3000000	30.50	0.3	fluid ounce(s)	1.00	1	0
21	11121100	000000	Milk, dry, whole, reconstituted	10205	00	1020500	244.00	2.4	cup	0.25	1	1
21	11121100	000000	Milk, dry, whole, reconstituted	30000	00	3000000	30.50	0.3	fluid ounce(s)	1.00	1	0
22	11121210	000000	Milk, dry, low fat, reconstituted	10205	00	1020500	245.00	2.5	cup	0.25	1	1
22	11121210	000000	Milk, dry, low fat, reconstituted	30000	00	3000000	30.60	0.3	fluid ounce(s)	1.00	1	0
23	11121300	000000	Milk, dry, fat free, reconstituted	10205	00	1020500	245.00	2.5	cup	0.25	1	1
23	11121300	000000	Milk, dry, fat free, reconstituted	30000	00	3000000	30.60	0.3	fluid ounce(s)	1.00	1	0
24	11122000	000000	Buttermilk, dry, reconstituted	10205	00	1020500	245.00	2.5	cup	0.25	1	1
24	11122000	000000	Buttermilk, dry, reconstituted	30000	00	3000000	30.60	0.3	fluid ounce(s)	1.00	1	0
25	11211050	000000	Evaporated milk, whole	10205	00	1020500	252.00	2.5	cup	0.25	1	0
25	11211050	000000	Evaporated milk, whole	60017	00	6001700	378.00	3.8	can (12 oz)	0.50	1	0
25	11211050	000000	Evaporated milk, whole	98000	00	9800000	15.80	0.2	tablespoon	0.50	1	1
26	11211400	000000	Evaporated milk, reduced fat (2%)	10205	00	1020500	252.00	2.5	cup	0.25	1	0
26	11211400	000000	Evaporated milk, reduced fat (2%)	60017	00	6001700	378.00	3.8	can (12 oz)	0.50	1	0
26	11211400	000000	Evaporated milk, reduced fat (2%)	98000	00	9800000	15.80	0.2	tablespoon	0.50	1	1
27	11212050	000000	Evaporated milk, fat free (skim) 	10205	00	1020500	256.00	2.6	cup	0.25	1	0
27	11212050	000000	Evaporated milk, fat free (skim) 	60017	00	6001700	382.80	3.8	can (12 oz)	0.50	1	0
27	11212050	000000	Evaporated milk, fat free (skim) 	98000	00	9800000	16.00	0.2	tablespoon	0.50	1	1
28	11220000	000000	Condensed milk 	10205	00	1020500	306.00	3.1	cup	0.25	1	0
28	11220000	000000	Condensed milk 	60017	00	6001700	458.38	4.6	can (12 oz)	0.50	1	0
28	11220000	000000	Condensed milk 	98000	00	9800000	19.10	0.2	tablespoon	0.50	1	1
29	11320000	000000	Milk, soy (soy beverage)	10205	00	1020500	245.00	2.5	cup	0.25	1	1
29	11320000	000000	Milk, soy (soy beverage)	21000	00	2100000	15.30	0.2	tablespoon	0.50	1	0
29	11320000	000000	Milk, soy (soy beverage)	30000	00	3000000	30.60	0.3	fluid ounce(s)	1.00	1	0
29	11320000	000000	Milk, soy (soy beverage)	61795	01	6179501	972.00	9.7	quart (4 cups)	0.50	1	0
30	11320100	000000	Light soymilk 	10205	00	1020500	243.00	2.4	cup	0.25	1	1
30	11320100	000000	Light soymilk 	21000	00	2100000	15.18	0.2	tablespoon	0.50	1	0
30	11320100	000000	Light soymilk 	30000	00	3000000	30.39	0.3	fluid ounce(s)	1.00	1	0
30	11320100	000000	Light soymilk 	61795	01	6179501	972.00	9.7	quart (4 cups)	0.50	1	0
31	11320200	000000	Milk, soy (soy beverage), fat free (nonfat)	10205	00	1020500	243.00	2.4	cup	0.25	1	1
31	11320200	000000	Milk, soy (soy beverage), fat free (nonfat)	21000	00	2100000	15.18	0.2	tablespoon	0.50	1	0
31	11320200	000000	Milk, soy (soy beverage), fat free (nonfat)	30000	00	3000000	30.39	0.3	fluid ounce(s)	1.00	1	0
31	11320200	000000	Milk, soy (soy beverage), fat free (nonfat)	61795	01	6179501	972.00	9.7	quart (4 cups)	0.50	1	0
32	11321000	000000	Chocolate soymilk 	10205	00	1020500	240.00	2.4	cup	0.25	1	1
32	11321000	000000	Chocolate soymilk 	21000	00	2100000	15.00	0.2	tablespoon	0.50	1	0
32	11321000	000000	Chocolate soymilk 	30000	00	3000000	30.00	0.3	fluid ounce(s)	1.00	1	0
32	11321000	000000	Chocolate soymilk 	61795	01	6179501	972.00	9.7	quart (4 cups)	0.50	1	0
33	11321100	000000	Light chocolate soymilk 	10205	00	1020500	243.00	2.4	cup	0.25	1	1
33	11321100	000000	Light chocolate soymilk 	21000	00	2100000	15.18	0.2	tablespoon	0.50	1	0
33	11321100	000000	Light chocolate soymilk 	30000	00	3000000	30.39	0.3	fluid ounce(s)	1.00	1	0
33	11321100	000000	Light chocolate soymilk 	61795	01	6179501	972.00	9.7	quart (4 cups)	0.50	1	0
34	11321200	000000	Milk, soy (soy beverage), fat free (nonfat), chocolate	10205	00	1020500	243.00	2.4	cup	0.25	1	1
34	11321200	000000	Milk, soy (soy beverage), fat free (nonfat), chocolate	21000	00	2100000	15.18	0.2	tablespoon	0.50	1	0
34	11321200	000000	Milk, soy (soy beverage), fat free (nonfat), chocolate	30000	00	3000000	30.39	0.3	fluid ounce(s)	1.00	1	0
34	11321200	000000	Milk, soy (soy beverage), fat free (nonfat), chocolate	61795	01	6179501	972.00	9.7	quart (4 cups)	0.50	1	0
6146	11350000	000000	Almond milk	10205	00	1020500	245.00	2.5	cup	0.25	1	1
6146	11350000	000000	Almond milk	30000	00	3000000	30.60	0.3	fluid ounce(s)	1.00	1	0
6147	11350010	000000	Almond milk, chocolate	10205	00	1020500	245.00	2.5	cup	0.25	1	1
6147	11350010	000000	Almond milk, chocolate	30000	00	3000000	30.60	0.3	fluid ounce(s)	1.00	1	0
35	11411100	000000	Yogurt, plain, whole milk	10215	00	1021500	245.00	2.5	cup	0.25	1	0
35	11411100	000000	Yogurt, plain, whole milk	21000	00	2100000	15.31	0.2	tablespoon	0.50	1	0
35	11411100	000000	Yogurt, plain, whole milk	60040	00	6004000	227.00	2.3	container (8 oz)	0.25	1	1
