Food_Item_ID	FoodCode	ModCode	Food Name	Protein (g)	Total Fat (g)	Carbohydrate (g)	Energy (kcal)	Alcohol (g)	Water (g)	Caffeine (mg)	Theobromine (mg)	Total Sugars (g)	Total Dietary Fiber (g)
1	11111000	0	Milk, whole	3.1499	3.25	4.7999	61	0	88.1299	0	0	5.0499	0
2	11111100	0	Milk, whole, low-sodium	3.1	3.4599	4.4599	61	0	88.2	0	0	4.4599	0
3	11111150	0	Milk, whole, calcium fortified	3.1499	3.25	4.7999	61	0	88.1299	0	0	5.0499	0
4	11111160	0	1% milk, calcium fortified 	3.37	0.97	4.99	42	0	89.92	0	0	5.2	0
5	11111170	0	Fat free milk, calcium fortified 	3.3999	0.18	4.8498	35	0	90.7998	0	0	4.8498	0
6	11112110	0	2% milk	3.2999	1.98	4.7999	50	0	89.2099	0	0	5.0598	0
7	11112120	0	1% acidophilus milk	3.37	0.97	4.99	42	0	89.92	0	0	5.2	0
8	11112130	0	2% acidophilus milk	3.2999	1.98	4.7999	50	0	89.2099	0	0	5.0598	0
9	11112210	0	1% milk	3.37	0.97	4.99	42	0	89.92	0	0	5.2	0
10	11113000	0	Fat free milk 	3.37	0.08	4.96	34	0	90.84	0	0	5.0899	0
11	11114300	0	1% milk, lactose-free (Lactaid)	3.37	0.97	4.99	42	0	89.92	0	0	5.2	0
12	11114310	0	1% milk, lactose-free (Lactaid), calcium-fortified	3.37	0.97	4.99	42	0	89.92	0	0	5.2	0
13	11114320	0	Fat free milk, lactose-free	3.37	0.08	4.96	34	0	90.84	0	0	5.0899	0
14	11114321	0	Fat free milk, lactose-free, calcium fortified	3.3999	0.18	4.8498	35	0	90.7998	0	0	4.8498	0
15	11114330	0	2% milk, lactose-free (Lactaid)	3.2999	1.98	4.7999	50	0	89.2099	0	0	5.0598	0
16	11114350	0	Lactaid milk, whole milk	3.1499	3.25	4.7999	61	0	88.1299	0	0	5.0499	0
17	11115000	0	Buttermilk, fat free (skim)	3.31	0.88	4.79	40	0	90.1299	0	0	4.79	0
18	11115100	0	1% buttermilk	3.31	0.88	4.79	40	0	90.1299	0	0	4.79	0
19	11115200	0	2% buttermilk	4.0998	2	5.2999	56	0	87.7	0	0	5.2999	0
5507	11115300	0	Buttermilk, whole	3.21	3.31	4.8799	62	0	87.9098	0	0	4.8799	0
20	11116000	0	Goat's milk 	3.56	4.1398	4.45	69	0	87.03	0	0	4.45	0
21	11121100	0	Milk, dry, whole, reconstituted	3.24	3.29	4.73	61	0	87.9098	0	0	4.73	0
22	11121210	0	Milk, dry, low fat, reconstituted	2.9199	1.06	4.33	38	0	90.9398	0	0	4.33	0
23	11121300	0	Milk, dry, fat free, reconstituted	3.2599	0.07	4.8498	33	0	90.9899	0	0	4.8498	0
24	11122000	0	Buttermilk, dry, reconstituted	3.3599	0.57	4.7999	38	0	90.4099	0	0	4.7999	0
25	11211050	0	Evaporated milk, whole	6.8098	7.5598	10.0398	134	0	74.04	0	0	10.0398	0
26	11211400	0	Evaporated milk, reduced fat (2%)	7.4199	1.96	11.15	92	0	78	0	0	11.15	0
27	11212050	0	Evaporated milk, fat free (skim) 	7.5499	0.2	11.35	78	0	79.4	0	0	11.35	0
28	11220000	0	Condensed milk 	7.91	8.6998	54.3999	321	0	27.16	0	0	54.3999	0
29	11320000	0	Milk, soy (soy beverage)	2.6299	1.48	4.99	44	0	90.2399	0	0	3.6699	0.2
