Food_Item_ID	FoodCode	ModCode	Food Name	Protein (g)	Total Fat (g)	Carbohydrate (g)	Energy (kcal)	Alcohol (g)	Water (g)	Caffeine (mg)	Theobromine (mg)	Total Sugars (g)	Total Dietary Fiber (g)
30	11320100	0	Light soymilk 	2.3799	0.77	3.5099	30	0	92.6898	0	0	2.6099	0.3
31	11320200	0	Milk, soy (soy beverage), fat free (nonfat)	2.47	0.04	4.1398	28	0	92.67	0	0	3.6499	0.2
32	11321000	0	Chocolate soymilk 	2.2599	1.53	9.9498	63	0	85.6098	2	23	7.86	0.4
33	11321100	0	Light chocolate soymilk 	2.1	0.64	8.24	47	0	88.3799	2	19	7.1299	0.7
34	11321200	0	Milk, soy (soy beverage), fat free (nonfat), chocolate	2.47	0.04	8.5099	44	0	88.3799	2	19	3.6499	0.2
6146	11350000	0	Almond milk	0.42	1.04	6.5899	38	0	91.7998	0	0	6.25	0.4
6147	11350010	0	Almond milk, chocolate	0.63	1.25	9.38	50	0	88.43	0	4	8.75	0.4
35	11411100	0	Yogurt, plain, whole milk	3.47	3.25	4.66	61	0	87.9	0	0	4.66	0
36	11411200	0	Yogurt, plain, low fat	5.25	1.55	7.04	63	0	85.0699	0	0	7.04	0
37	11411300	0	Yogurt, plain, fat free	5.73	0.18	7.6799	56	0	85.23	0	0	7.6799	0
38	11421000	0	Yogurt, coffee, whole milk	4.8399	3.14	13.5398	100	0	77.48	0	0	13.5398	0
39	11422000	0	Yogurt, coffee, lowfat	4.9299	1.25	13.8	85	0	79	0	0	13.8	0
5508	11422100	0	Yogurt, vanilla, lowfat, low calorie sweetener	4.9299	1.25	13.8	86	0	79	0	0	5.4298	0
40	11423000	0	Yogurt, coffee, fat free	4.24	0.16	16.46	81	0	78.14	0	0	16.44	0
41	11424000	0	Yogurt, coffee, light (fat free, low calorie sweetener)	3.8599	0.18	7.5	43	0	87.43	0	0	7.5	0
42	11426000	0	Chocolate yogurt, whole milk	3.43	3.08	22.8	136	0	69.3598	2	22	14.51	1.2
43	11427000	0	Chocolate yogurt, fat free	3.5299	0	23.53	112	0	71.5699	2	23	14.97	1.2
44	11431000	0	Yogurt, blueberry, whole milk	4.28	3.2	18.64	119	0	72.8799	0	0	18.64	0
45	11432000	0	Yogurt, blueberry, lowfat	4.37	1.08	19.05	102	0	74.48	0	0	19.05	0
46	11432500	0	Yogurt, blueberry, lowfat, low calorie sweetener	4.86	1.4098	18.6	105	0	74.0999	0	0	2.8999	0
47	11433000	0	Yogurt, blueberry, fat free	4.4	0.2	19	95	0	75.4	0	0	19	0
48	11433500	0	Yogurt, blueberry, light (fat free, low calorie sweetener)	3.74	0.17	7.8799	45	0	87.28	0	0	6.9699	0.4
50	11446000	0	Fruit and low fat yogurt parfait	3.3599	1.01	15.8599	84	0	78.98	0	0	11.68	1.1
5114	11447771	0	Greek yogurt, plain, fat free	10.58	0.2	4.12	59	0	83.5	0	0	4.12	0
5115	11447772	0	Greek yogurt, fruit, fat free	8.23	0.2	11.76	82	0	78.2	0	0	11.17	0.6
51	11460160	0	Frozen yogurt, chocolate, low fat	5.24	1.95	21.7898	113	0	69.73	4	137	18.82	1.6
52	11460170	0	Frozen yogurt, other flavors, low fat	4.4599	1.32	20.98	112	0	72.31	0	0	20.9499	0
53	11460200	0	Frozen yogurt, chocolate, nonfat	4.4	0.8	19.6999	107	0	73.5	3	106	12.6099	2
54	11460250	0	Frozen yogurt, other flavors, with sorbet	3.71	3.41	26.68	152	0	65.39	0	0	20.73	0.5
55	11460300	0	Frozen yogurt, other flavors, nonfat	4.41	0	27.94	129	0	65.5199	0	0	8.82	7.4
56	11460400	0	Frozen yogurt, chocolate, nonfat, low-calorie sweetener	4.4	0.8	19.6999	107	0	73.5	3	106	12.6099	2
57	11460410	0	Frozen yogurt, other flavors, nonfat, low-calorie sweetener	4.4	0.8	19.6999	104	0	73.5	0	0	12.6099	2
58	11460430	0	Frozen yogurt, chocolate, whole milk	3	3.6	21.6	127	0	71.2	3	106	19.2398	2.2999
59	11460440	0	Frozen yogurt, other flavors, whole milk	3	3.6	21.6	127	0	71.2	0	0	19.92	0
60	11461000	0	Frozen yogurt, chocolate-coated	3.22	16.41	28.92	270	0	50.7	1	17	28.42	0.2
61	11461100	0	Frozen yogurt, carob-coated	4.9299	11.3699	31.39	244	0	51.02	0	0	26.26	0.9
62	11461200	0	Frozen yogurt, sandwich	4.6398	5.1299	37.68	212	0	51.7999	0	0	25.89	0.4
63	11461250	0	Frozen yogurt, cone, chocolate	5.15	9.1198	31.37	214	0	53.21	6	103	22.35	1.5
64	11461260	0	Frozen yogurt, cone, other flavors	4.48	5.3799	31.5	189	0	57.7	0	0	24.1999	0.2
65	11461270	0	Frozen yogurt, cone, other flavors, low fat	5.4199	1.86	11.27	84	0	80.3799	0	0	6.98	0.2
66	11461280	0	Frozen yogurt, cone, chocolate, low fat	5.4	2.24	25.1498	131	0	65.9398	4	129	18.07	1.6
67	11511100	0	Chocolate milk, whole	3.1699	3.39	10.34	83	0	82.2998	1	23	9.5398	0.8
68	11511200	0	Chocolate milk, reduced fat (2%)	2.99	1.8998	12.13	76	0	82.17	1	22	9.55	0.7
69	11511300	0	Chocolate milk, fat free (skim)	3.4199	0.28	10.94	56	0	84.5199	1	42	10.15	0.5
70	11511400	0	Chocolate milk, low fat (1%)	3.24	1	12.6	71	0	82.34	1	23	9.9398	0.5
71	11512000	0	Hot chocolate, homemade, with whole milk	3.39	3.33	12.14	86	0	80.37	6	55	10.8599	0.9
72	11512500	0	Hot chocolate, Puerto Rican style, with whole milk	4.07	6.98	10.52	116	0	77.45	5	35	9.7599	0.5
73	11512500	206723	Hot chocolate, Puerto Rican style, with reduced fat (2%) milk	2.1099	3.93	7.6699	70	0	85.76	6	36	7.0499	0.5
74	11512500	206744	Hot chocolate, Puerto Rican style, with low fat (1%) milk	2.1499	3.39	7.7698	65	0	86.15	6	36	7.12	0.5
75	11513100	0	Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with whole milk 	3.27	3.1699	11.8698	89	0	80.93	1	23	11.4	0.4
76	11513150	0	Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with reduced fat (2%) milk 	3.3999	2	11.8698	79	0	81.92	1	23	11.41	0.4
77	11513200	0	Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with low fat (1%) milk 	3.47	1.08	12.0398	72	0	82.5699	1	23	11.5398	0.4
78	11513300	0	Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with fat free (skim) milk 	3.47	0.26	11.99	64	0	83.45	1	23	11.41	0.4
6148	11513355	0	Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with whole milk	3.47	3.5699	7.99	78	0	83.75	0	0	6.2599	0.5
6149	11513360	0	Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with reduced fat (2%) milk	3.6099	2.37	7.99	68	0	84.7699	0	0	6.2599	0.5
6150	11513365	0	Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with low fat (1%) milk	3.68	1.4098	8.1699	60	0	85.4398	0	0	6.4	0.5
6151	11513370	0	Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with fat free (skim) milk	3.68	0.57	8.13	52	0	86.3298	0	0	6.29	0.5
79	11513500	0	Chocolate milk, homemade, with whole milk 	3.0099	2.97	12.85	90	0	80.5	1	25	11	0.3
80	11513550	0	Chocolate milk, homemade, with reduced fat (2%) milk 	3.14	1.87	12.85	81	0	81.4398	1	25	11.01	0.3
81	11513600	0	Chocolate milk, homemade, with low fat (1%) milk 	3.2	0.99	13.02	74	0	82.0498	1	25	11.14	0.3
82	11513700	0	Chocolate milk, homemade, with fat free (skim) milk 	3.2	0.22	12.96	67	0	82.8799	1	25	11.02	0.3
83	11514100	0	Hot chocolate, (Swiss Miss), (Carnation), made from dry mix (with milk & sugar), with water	0.92	0.55	11.5299	55	0	86.3598	2	44	9.0198	0.5
84	11514300	0	Hot chocolate, (Carnation), (Swiss Miss), (Nutrisystem), made from mix (with milk & low calorie sweetener), with water	1.21	0.23	5.61	29	0	92.3799	1	51	2.94	0.6
85	11514500	0	Ovaltine sugar free Hot Cocoa 	1.54	0.18	3.56	22	0	93.98	2	37	3.41	0.1
86	11515400	0	Alba High Calcium Cocoa	2.4399	0.29	5.6299	35	0	90.53	0	3	5.4	0.1
87	11516000	0	Chocolate Milk, (Nestle's Quik), (Swiss Miss), with 1% fat milk	4.03	1.08	8.6198	60	0	85.2198	1	36	6.96	0.4
88	11518000	0	Chocolate beverage, (Jenny Craig), (Alba), from dry mix with milk and low calorie sweetener, water added	2.58	0.27	5.2999	34	0	90.92	3	86	3.3999	1
89	11519050	0	Milk, whole, with strawberry or vanilla flavor	2.8999	3	12.6	88	0	80.87	0	0	12.5299	0
90	11519105	0	Milk, reduced fat (2%), with strawberry or vanilla flavor	3.0499	1.83	12.08	77	0	82.3199	0	0	11.4	0.4
91	11519200	0	Milk, low fat (1%) with strawberry or vanilla flavor	3.1	0.91	12.77	71	0	82.5199	0	0	12.66	0
92	11519205	0	Milk, fat free (skim), with strawberry or vanilla flavor	3.1	0.09	12.72	63	0	83.39	0	0	12.5398	0
93	11521000	0	Malted milk, chocolate, with 2% milk	3.4199	2.1299	11.3599	78	0	82.28	3	27	9.96	0.4
94	11522000	0	Malted milk, natural flavor, with 2% milk	4.15	2.5099	10.1099	80	0	82.34	0	0	8.4498	0
95	11522000	205085	Malted milk, natural flavor, with whole milk	4.03	3.75	10.06	90	0	81.31	0	0	8.4199	0
96	11525000	206681	Malted milk, fortified, natural flavor, with whole milk	3.6499	3.1	11.0398	87	0	81.39	0	0	9.6699	0.2
97	11525000	206746	Malted milk, fortified, natural flavor, with 2% milk	3.7799	1.9299	11.0398	76	0	82.39	0	0	9.6799	0.2
98	11525000	206771	Malted milk, fortified, natural flavor, with skim milk	3.85	0.18	11.17	62	0	83.9098	0	0	9.6898	0.2
99	11526000	201243	Malted milk, fortified, chocolate, with skim milk	3.49	0.34	11.25	62	0	83.87	0	27	10.26	0.4
100	11526000	201914	Malted milk, fortified, chocolate, with whole milk	3.29	3.2599	11.1198	87	0	81.34	0	27	10.24	0.4
101	11526000	202280	Malted milk, fortified, chocolate, with 2% milk	3.43	2.0899	11.1198	77	0	82.34	0	27	10.25	0.4
102	11526000	202663	Malted milk, fortified, chocolate, with 1% milk	3.49	1.1598	11.3	69	0	82.9899	0	27	10.38	0.4
103	11531000	0	Eggnog, with whole milk	4.5499	4.19	8.05	88	0	82.54	0	0	8.05	0
104	11531500	0	Eggnog, with 2% milk 	4.74	3.1699	6.5099	74	0	84.8298	0	0	6.62	0
105	11541110	0	Milk shake,  fountain-type, chocolate, with whole milk	3.14	4.95	21.44	140	0	69.6299	2	49	18.16	0.8
106	11541110	100566	Milk shake,  fountain-type, chocolate, with 2% milk	3.23	4.24	21.44	134	0	70.2399	2	49	18.16	0.8
107	11541110	205157	Milk shake,  fountain-type, chocolate, with low fat milk	3.27	3.6699	21.5398	129	0	70.64	2	49	18.2398	0.8
108	11541120	0	Milk shake,  fountain-type, vanilla or strawberry, with whole milk	2.68	4.69	21.4499	136	0	70.5	0	0	13.55	0.3
109	11541120	101293	Milk shake,  fountain-type, vanilla or strawberry, with 2% milk	2.7999	3.4399	21.5598	126	0	71.48	0	0	13.64	0.3
110	11541120	201586	Milk shake,  fountain-type, vanilla or strawberry, with low fat milk	2.7599	3.99	21.4499	130	0	71.09	0	0	13.56	0.3
111	11541120	202978	Milk shake,  fountain-type, vanilla or strawberry, with skim milk	2.7999	2.95	21.5	121	0	72.0199	0	0	13.56	0.3
112	11541400	0	Milk shake, with malt, with whole milk	3.41	5.07	21.73	145	0	69.0199	0	0	19.8098	0.2
113	11541400	101023	Milk shake, with malt, with 1% milk	3.5299	3.87	21.8298	135	0	69.9599	0	0	19.89	0.2
114	11542100	0	Milk shake, fast food or carry-out, chocolate	3.3999	3.7	20.5	127	0	71.5	1	45	18.6	1.8998
115	11542200	0	Milk shake, fast food or carry out, vanilla or strawberry	3.37	6.5198	19.59	148	0	69.65	0	0	13.63	0.9
116	11551050	204588	Fruit smoothie, made with whole milk	2.2799	2.16	13.08	78	0	81.8598	0	0	10.96	0.7
117	11551050	206451	Fruit smoothie, made with fat free (skim) milk	2.4199	0.15	13.16	61	0	83.59	0	0	10.97	0.7
118	11551050	206885	Fruit smoothie, made with reduced fat (2%) milk	2.37	1.35	13.08	71	0	82.54	0	0	10.97	0.7
119	11551050	206927	Fruit smoothie, made with low fat (1%) milk	2.4199	0.71	13.1999	66	0	82.9899	0	0	11.05	0.7
120	11552200	0	Orange Julius	5.3898	0.14	14.82	81	0	78.31	0	0	13.4499	0.1
121	11553000	0	Fruit smoothie, made with yogurt and ice cream	1.71	1.69	20.3998	99	0	75.6098	0	0	16.71	1.2
122	11560000	0	Chocolate-flavored drink	0.64	0.4	10.68	49	0	87.6299	1	50	8.6799	0.6
123	11560020	0	Strawberry-flavored drink	0.64	0.4	10.68	49	0	87.6299	1	50	8.6799	0.6
124	11561000	0	Cafe con leche, with whole milk	1.6598	1.6598	2.4399	31	0	93.68	20	0	2.56	0
125	11561010	0	Cafe con leche  with sugar	1.55	1.55	8.7599	55	0	87.5999	18	0	8.8698	0
126	11561010	204009	Cafe con leche with sugar and 2% milk	1.62	0.95	8.7599	49	0	88.12	18	0	8.8698	0
127	11611000	0	Instant breakfast, canned	5.4599	1.8799	12.93	90	0	78.45	3	38	13.14	0.1
128	11612000	100069	Instant breakfast, powder, with 2% milk	5.4859	1.9039	12.885	90.423	0	78.438	3.2919	38.185	13.058	0.053
129	11612000	200404	Instant breakfast, powder, with whole milk 	5.3559	3.0059	12.885	99.9749	0	77.5	3.2919	38.185	13.231	0.053
130	11612000	201746	Instant breakfast, powder, with skim milk	5.5389	0.253	12.9949	76.379	0	79.8919	3.2799	38.0499	13.055	0.052
131	11612000	206499	Instant breakfast, powder, with 1% milk	5.5469	1.0269	13.05	83.477	0	79.054	3.2919	38.185	13.179	0.053
132	11613000	203344	Instant breakfast, powder, low calorie sweetener, with 2% milk	5.7619	2.216	7.5419	73.3329	0	83.012	3.939	46.061	7.631	0.152
133	11622010	0	Diet beverage, powder, made with fat free milk	5.82	0.46	7.6799	58	0	84.54	4	46	7.65	0.2
134	11623000	0	Ensure Nutrition Shake	3.5	1.3999	10.9	70	0	83.2	2	23	10.9	0
135	11631000	0	Meal supplement, high calorie, canned or powdered, reconstituted	4.21	2.6299	12.94	92	0	79.4899	0	14	12.91	0
136	11641000	0	Meal replacement, high protein, liquid	5.7	2.2	13	94	0	78.0999	0	0	13	0
137	11641020	0	Boost Nutritional Energy Drink	5.7	2.2	13	94	0	78.0999	0	0	13	0
138	11811000	0	Milk, dry, whole, not reconstituted	26.32	26.71	38.42	496	0	2.47	0	0	38.42	0
139	11812000	0	Low fat dry milk powder	34.7599	1.7	51.67	363	0	3.9199	0	0	51.67	0
140	11813000	0	Milk, dry, nonfat, not reconstituted	35.1	0.72	52.1899	358	0	3.96	0	0	52.1899	0
141	11820000	0	Buttermilk, dry, not reconstituted	34.2999	5.78	49	387	0	2.97	0	0	49	0
142	11825000	0	Whey, sweet, dry	12.93	1.07	74.4599	353	0	3.1899	0	0	74.4599	0
143	11830100	0	Cocoa, dry mix (with milk & sugar), not reconstituted	6.6699	4	83.73	398	0	1.5	18	323	65.5498	3.7
144	11830110	0	Cocoa, dry mix (with nonfat dry milk & low calorie sweetener), not reconstituted	15.49	3	71.93	377	0	3.3999	19	658	37.6499	7.5
145	11830150	0	Cocoa powder, unsweetened	19.6	13.6999	57.8999	228	0	3	230	2057	1.75	33.2
146	11830160	0	Chocolate flavored powdered drink mix, not reconstituted	3.9199	2.68	90.59	402	0	1	22	350	82.8499	4.5998
147	11830170	0	Chocolate-flavored powdered drink mix with low-calorie sweetener, not reconstituted	15.49	3	71.93	377	0	3.3999	19	658	37.6499	7.5
148	11830200	0	Malted milk, dry mix, natural flavor, not reconstituted	14.2898	9.5198	71.2099	428	0	2	0	0	47.6199	0.1
149	11830210	0	Malted milk, dry mix, fortified, natural flavor, not reconstituted	9.41	1.33	83.59	383	0	3.1	0	0	63.38	1.8998
150	11830250	0	Malted milk, dry mix, chocolate, not reconstituted	5.0998	4.7599	86.9398	411	0	1.3	37	345	66.67	4.7999
151	11830260	0	Malted milk, dry mix, fortified, chocolate, not reconstituted	4.9	3.3999	84.5999	389	0	2.5	0	345	70.56	4.7
152	11830400	0	Nestle's Quik powder, strawberry	0.1	0.2	99.0999	389	0	0.4	0	0	95.45	0
153	11830800	0	Instant breakfast, powder, not reconstituted	19.8998	1.3998	66.2	357	0	7.4	25	290	65.7998	0.4
154	11830810	0	Instant breakfast, powder, sweetened with low calorie sweetener, not reconstituted	35.7999	5.0999	41	358	0	7.4	52	608	39	2
155	11830900	0	Protein supplement powder, milk-based, not reconstituted	29.3999	1.5	58.7999	366	0	4	0	0	58.7999	0
156	11830940	0	Meal replacement powder, high protein, milk-based, to mix with fruit juice, not reconstituted	32	0	54.5	346	0	4	0	0	35.2999	19.1999
157	11830970	0	Meal replacement powder, milk-based, not reconstituted	17.6	0.4	63.5	324	0	4	0	0	61.5	2
158	11830990	0	Nutrient supplement powder, milk-based, not reconstituted	23.5	3.5	66.4	388	0	4	0	0	66.4	0
159	11831500	0	Nutrient supplement powder, milk-based, high protein, not reconstituted	55.6	7.4	18.5	363	0	15	25	290	17.5	1
160	11832000	0	Meal replacement powder, milk- and soy-based,  not reconstituted	33.7	2.2	47.2	343	0	8.1999	0	0	45.2	2
161	12110100	0	Cream, light	2.7	19.3098	3.66	195	0	73.75	0	0	3.66	0
162	12110300	0	Cream, light, whipped, unsweetened	2.1699	30.91	2.96	292	0	63.5	0	0	2.96	0
163	12120100	0	Cream, half and half	2.96	11.5	4.2999	130	0	80.5699	0	0	4.2999	0
164	12120105	0	Cream, half and half, low fat	2.7799	6.45	6.65	94	0	83.28	0	0	4.65	0
165	12120110	0	Cream, half and half, fat free	2.6	1.3998	9	59	0	86	0	0	5	0
166	12130100	0	Cream, heavy (whipping cream)	2.0499	37	2.79	345	0	57.71	0	0	2.79	0
167	12130200	0	Cream, heavy, whipped, unsweetened	2.0499	37	2.79	345	0	57.71	0	0	2.79	0
168	12140000	0	Cream, heavy, whipped, sweetened	1.9299	34.81	8.5398	348	0	54.2999	0	0	8.4199	0
169	12140100	0	Cream, whipped, pressurized container	3.2	22.2198	12.49	257	0	61.3299	0	0	8	0
170	12140105	0	Cream, whipped, pressurized container, light	3.2	22.2198	12.49	257	0	61.3299	0	0	8	0
171	12140110	0	Cream, whipped, pressurized container, fat free	3	5	25	149	0	66.4398	0	0	16	0.4
172	12210200	0	Coffee creamer, liquid	1	9.97	11.38	136	0	77.2699	0	0	11.38	0
173	12210210	0	Coffee creamer, flavored, liquid	0.69	13.5	35.07	251	0	50.06	3	100	33.0399	1.1
174	12210250	0	Coffee creamer, light, liquid	0.8	3.5	9.0998	71	0	86.2	0	0	9.0998	0
175	12210400	0	Coffee creamer, powdered	4.79	35.4799	54.88	545	0	2.21	0	0	54.88	0
176	12210410	0	Coffee creamer, light, powdered	1.8998	15.6999	73.4	431	0	6.2	0	0	73.4	0
177	12210420	0	Coffee creamer, flavored, powdered	0.68	21.4698	75.42	482	0	1.52	3	92	58.0099	1.2
178	12220100	0	Cool Whip pressurized can	0.98	22.3	16.07	264	0	60.3699	0	0	16.07	0
179	12220200	0	Cool Whip frozen	1.25	25.3098	23.05	318	0	50.21	0	0	23.05	0
180	12220250	0	Cool Whip Lite frozen	3	13.1	23.6	224	0	59.7	0	0	23.6	0
181	12220270	0	Cool Whip Free frozen	3	5	25	149	0	66.4398	0	0	16	0.4
182	12220280	0	Cool Whip Sugar Free frozen 	3	13.1	23.6	224	0	59.7	0	0	23.6	0
183	12220300	0	Dream Whip 	3.6099	12.72	17.1298	194	0	65.7399	0	0	17.1298	0
184	12310100	0	Sour cream	2.0699	19.73	2.8799	193	0	74.4599	0	0	2.8799	0
185	12310200	0	Sour cream, half and half	2.94	12	4.2599	135	0	80.14	0	0	0.16	0
186	12310300	0	Sour cream, reduced fat	7	14.1	7	181	0	71	0	0	0.3	0
5768	12310340	0	Sour cream, low fat	3.5	10.6	7.0998	136	0	78.0999	0	0	0.22	0
187	12310350	0	Sour cream, light	3.5	10.6	7.0998	136	0	78.0999	0	0	0.22	0
188	12310370	0	Nonfat sour cream 	3.1	0	15.6	74	0	80.5999	0	0	0.39	0
189	12320100	0	Sour cream, imitation (nondairy)	2.3999	19.52	6.6299	208	0	71.15	0	0	6.6299	0
190	12350000	0	Dip, made with sour cream	1.86	31.64	2.73	299	0	62.0099	0	0	2.33	0.2
191	12350000	201766	Dip, made with fat free sour cream	3.41	0.024	19.102	89.501	0	75.1629	0	0	0.692	0.467
192	12350000	202322	Dip, made with light sour cream	3.79	9.852	11.326	149.299	0	72.683	0	0	0.543	0.481
193	12350020	0	Dip, made with reduced fat sour cream	2.5	25.53	3.75	253	0	66.64	0	0	0.36	0.2
194	12350100	0	Spinach dip, made with sour cream and mayonnaise	2.22	24.2398	5.19	244	0	66.8799	0	0	1.82	1.3998
195	12350100	100968	Spinach dip, made with fat free sour cream and low-calorie mayonnaise	2.471	5.386	14.395	110.93	0	76.3499	0	0	2.0939	1.3189
196	12350100	206570	Spinach dip, made with reduced fat sour cream and mayonnaise	3.5499	23.712	6.8949	248.53	0	64.4899	0	0	1.266	1.348
6152	12350110	0	Spinach and artichoke dip	6.11	19.16	6.45	217	0	66.39	0	0	0.89	4.2
197	13110100	0	Ice cream, regular, vanilla or other flavors	3.5	11	23.6	207	0	61	0	0	21.2198	0.7
198	13110110	0	Ice cream, regular, chocolate	3.7999	11	28.1999	216	0	55.7	3	62	25.3599	1.2
199	13110120	0	Ben and Jerry's ice cream, vanilla or other flavors	3.5	16.1999	22.2898	249	0	57.2	0	0	20.6498	0
200	13110130	0	Ben and Jerry's ice cream, chocolate	4.7199	16.98	20.75	255	0	57.52	4	120	17.35	0.9
201	13110200	0	Ice cream, soft serve, vanilla or other flavors	3.5	11	23.6	207	0	61	0	0	21.2198	0.7
202	13110210	0	Ice cream, soft serve, chocolate	4.0998	13	22.1999	222	0	59.7999	2	69	21.16	0.7
203	13110320	0	Ice cream, no sugar added, vanilla or other flavors	3.1699	12.6999	22.23	216	0	61	0	0	6.3498	4.7999
204	13110330	0	Ice cream, no sugar added, chocolate	3.7999	12.6999	26.8	237	0	55.7	3	62	6.3498	4.7999
205	13120050	0	Ice cream bar, no coating	3.5	11	23.6	207	0	61	0	0	21.2198	0.7
206	13120100	0	Ice cream bar, chocolate covered	4.0998	24.1	24.5	331	0	46.2999	3	32	18.3	0.8
207	13120110	0	Ice cream bar, chocolate or caramel covered, with nuts	4.4	20.1999	30.8998	323	0	43.1	3	32	30	0.6
208	13120120	0	Dove bar, chocolate ice cream	4.4199	23.35	35.42	348	0	36.42	27	233	29.98	2.6
209	13120121	0	Dove bar, vanilla ice cream	4.74	20.2398	33.42	335	0	40.49	6	62	29.8998	1
210	13120130	0	Haagen-Dazs ice cream bar with nuts	5.9	22.16	29.6	338	0	41.13	4	41	25.3998	1.7
211	13120140	0	Ice cream bar, chocolate ice cream, chocolate covered	4.62	15	34.89	284	0	44.09	7	93	30.96	1.7
212	13120300	0	Ice cream bar, cake covered	4.33	13.49	36.78	278	0	43.82	2	70	21.9698	1.1
6153	13120310	0	Ice cream bar, with crunch coating	2.1099	25.26	37.1199	358	0	35.4799	0	0	21.05	1.1
213	13120400	0	Ice cream bar or stick with fruit	2.27	6.23	24.73	161	0	66.17	0	0	21.46	2.2999
214	13120500	0	Ice cream sandwich	4.29	8.57	37.14	237	0	48.8999	4	122	18.57	0
215	13120550	0	Ice cream cookie sandwich	3.7	7.4	39.6	240	0	48.7	6	42	21.3	1.2
216	13120700	0	Ice cream cone, vanilla ice cream or other flavors, with nuts	5.91	16.23	25.6498	267	0	51.0499	0	0	18.41	2
217	13120710	0	Ice cream cone, vanilla ice cream or other flavors, chocolate covered, with nuts	5.21	21.8798	34.38	354	0	37.43	7	56	25	1
218	13120720	0	Ice cream cone, vanilla ice cream or other flavors, chocolate covered	3.8799	12.32	30.91	245	0	51.9799	5	41	22.96	1.3
