Food Name	Food Portion	Total Calories	Protein (g)	Carbohydrate (g)	Dietary Fiber (g)	Total Sugars (g)	Added Sugars (g)	Total Fat (g)	Saturated Fat (g)	Monounsaturated Fat (g)	Polyunsaturated Fat (g)	Linoleic Acid (g)	a-Linolenic Acid (g)	Omega 3 - EPA (mg)	Omega 3 - DHA (mg)	Cholesterol (mg)	Calcium (mg)	Potassium (mg)	Sodium (mg)	Copper (ug)	Iron (mg)	Magnesium (mg)	Phosphorus (mg)	Selenium (ug)	Zinc (mg)	Vitamin A (ug)	Vitamin B6 (mg)	Vitamin B12 (ug)	Vitamin C (mg)	Vitamin D (ug)	Vitamin E (mg)	Vitamin K (ug)	Folate (ug)	Thiamin (mg)	Riboflavin (mg)	Niacin (mg)	Choline (mg)
Roselle Leaves (1 portion = 1/2 oz)	1 portion	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	32	0	0	615	0	0	8	0	0	0	0	0	0.1	0	0
Chinese Long Bean Real	1 cup	30	2	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chinese Long Bean	1 cup	30	2	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thai Tapioca Dessert (w Coconut)	1 cup	254	1	48	1	15	0	7	6	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hon Tsai Tai	1 cup, shredded	48	5	4	4	0	0	1	0	0	0	0	0	0	0	0	0	424	128	0	84	0	0	0	0	5000	0	0	53	0	0	0	82	0.1	0.1	1	17
Lemon Peel (Sin Tone Ma Nwe)	1  tablespoon	3	0	1	1	0	12	0	0	0	0	0	0	0	0	0	8	10	40	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
Pork Curry with specific recipe (1 port = 1/2 cup	1/2 cup	75	13	2	1	1	0	2	1	1	0	0	0	0	0	30	4	347	262	66	14	13	125	18	1	834	0.3	0.2	9	0	0	0	15	0.3	0.1	4	32
Asia Mix	1/2 cup	220	12	41	3	3	0	1	0	6	0	0	0	0	0	0	0	0	770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bean+ Flour Mix	1 cup	40	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halawa	1 ounce	133	4	17	1	16	16	6	1	2	2	0	0	0	0	0	0	0	55	0	1	60	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0
Longan	1 oz	17	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Djenkol Bean	1 cup	345	28	52	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaw Naw (1 portion = 1 cup)	1 portion	179	4	39	3	1	0	1	0	0	0	0	0	0	0	0	32	69	31	75	0	10	41	6	0	14	0.1	0	5	0	0	3	11	0	0	0	2
Ei Kyar Kway (1 prot = 1/8 a churro)	1/8 a churro	55	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ei kyar kway (fried savory donut) - 32g	32 g	440	3	16	1	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pah Ka Paw (1 port = 1 cup)	1 portion	286	15	52	2	3	0	2	0	0	0	0	0	1	2	28	45	354	2502	227	3	41	167	22	1	30	0.7	0.1	89	0	1	13	166	0.3	0.1	6	32
Taro Leaf (1 portion = 1/2 oz)	1 portion	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	11	65	0	29	0	5	6	0	0	25	0	0	3	0	0	12	9	0	0	0	1
Acacia Leaves (Cha-om) 1 portion = 1/2 oz	1 portion	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0
Lead Tree Pod	1 cup	140	20	21	9	0	0	2	0	0	0	0	0	0	0	0	31	0	0	0	22	0	26	0	0	10633	0	0	19	0	0	0	0	0	0.2	13	0
Fish Paste (1 portion = 1/4 tbs)	1 portion	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Birdy (Thai Coffee)	4 fl oz	30	0	5	0	4	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Loofah	1/2 cup, sliced	50	6	0	3	5	0	1	0	0	0	0	0	0	0	0	8	403	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Djenkol Bean (1 portion = 1 tbs)	1 portion	22	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snake Luffa	1 cup	39	3	8	4	4	0	0	0	0	0	0	0	0	0	0	137	239	11	151	0	64	57	1	1	25	0.3	0	29	0	0	71	82	0.2	0.1	2	16
Pennywort, raw	1 cup	88	2	48	1	0	0	0	0	0	0	0	0	0	0	0	407	930	50	0	13	0	76	0	0	7360	0	0	115	0	0	0	0	0.2	0.5	2	0
Sar Ka Lay Khwe/Crispy Noodle	1/2 cup	130	3	19	2	0	0	5	1	2	3	0	0	0	0	0	0	0	240	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acacia Leaves (Cha-om)	1 cup	114	0	0	26	0	0	0	0	0	0	0	0	0	0	0	1520	0	0	0	6	0	0	0	0	387	0	0	7	0	0	0	0	0	0	0	0
Roselle Leaves	1 cup	102	8	22	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	510	0	0	9845	0	0	129	0	0	0	0	0.4	1	1	0
Schaut Thee Zay Byar	1 cup	156	3	44	5	44	0	0	0	0	0	0	0	0	0	0	0	0	324	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sticky Rice + Bean (fried) 1 portion = tbs	1 tablespoon	12	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	16	7	10	0	2	5	0	0	0	0	0	0	0	0	0	3	0	0	0	1
Sweet Thai Chili Sauce	1 teaspoon	35	0	9	1	7	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milk Candy	1 small piece	15	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fish Tin (1 proportion = 1/2 oz	1/2 oz	30	3	0	0	0	0	2	0	1	1	1	0.1	67	72	20	54	56	44	26	0	6	70	7	0	5	0	1.3	0	1	0	0	1	0	0	1	11
Sar Ka Lay (1 portion = 1 oz)	1 oz	33	1	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shrimp Paste	1 teaspoon	20	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thai Northern Sausage (1 portion = 1 oz)	1 portion	178	6	1	0	0	0	16	6	7	2	2	0.1	0	0	32	10	136	491	24	1	12	64	8	1	0	0.1	0.1	0	0	0	0	5	0.2	0.1	1	28
Hmong Sausage	8 ounce(s) cooked, no bone	255	43	13	2	1	0	3	1	0	0	0	0	0	0	40	0	240	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ellse (1 piece)	1 piece (1/12 of 2-layer cake)	60	0	0	0	0	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yakult	3 fluid ounce(s)	50	0	12	0	11	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Banana Trunk	1/2 cup	13	1	2	2	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sar Ka Lay	1/2 cup	130	3	19	2	0	0	0	1	0	0	0	0	0	0	2	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taro Leaf	1 cup	75	9	12	7	5	0	1	0	0	1	0	0.2	0	0	0	181	1038	4	457	4	75	96	2	1	407	0.2	0	56	0	4	193	146	0.3	0.8	2	23
Tapioca	1 oz	37	1	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shrimp Chips	5/4 cup	130	2	20	1	0	0	5	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pork Belly	1 oz	43	3	0	0	0	0	3	1	1	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skinny Cow Chocolate Bar	1 bar (6 oz)	110	1	14	1	9	9	6	4	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pumpkin Leaves	1 cup	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pacific Soup Sweet Potato Masala	1 cup	160	3	25	3	3	0	6	4	0	0	0	0	0	0	0	0	0	650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nature Valley Peanut Butter Cup (1 cup)	1 package (2 cups, 1.5 oz)	200	5	20	3	9	0	12	4	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zesty Chicken and Black Bean Salad Bowl (Starbucks)	1 cup	360	14	38	8	9	0	0	3	0	0	0	0	0	0	0	0	0	840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Naked Green Juice	1 cup	140	2	33	0	28	0	0	0	0	0	0	0	0	0	0	0	400	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exo Protein Bars	1 bar (1.2 oz)	280	10	23	6	14	0	16	2	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Luna Protien Bar	1 bar	170	13	22	3	15	0	5	3	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bitter Gourd	1 cup	16	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sesbania	1 cup	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fish Soup	1 cup	60	13	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Raising Canes (3 box combo no drink)	1 meal (10.75 oz)	970	29	108	1	6	0	54	6	0	0	0	0	0	0	52	0	0	1701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Okara	1 cup	94	4	15	0	0	0	2	1	1	1	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Voiz Cracker (Milk)	1 medium	50	1	8	0	2	0	3	2	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roasted Turkey + Vegetables	1 lean cuisine meal	190	15	18	4	10	0	6	1	2	2	0	0	0	0	30	0	0	580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lean Cuisine Pizza	1 pizza	380	19	60	4	6	0	7	3	1	2	0	0	0	0	10	0	0	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ham and Swiss Sandwich	1 sandwich	730	33	68	10	10	0	32	11	0	0	0	0	0	0	105	0	0	2050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Turkey Chili	1 cup	170	11	21	10	4	0	8	2	0	0	0	0	0	0	5	0	0	810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blueberry Crumble	1 cup	237	4	34	5	19	0	11	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Irish Cream	1 oz	158	5	27	3	6	0	4	2	0	0	0	0	0	0	0	5	586	824	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leek and Potato Soup	1 cup	158	5	27	3	6	0	4	2	0	0	0	0	0	0	0	0	0	824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burrito Bowl Chipotle	1 medium burrito	840	47	88	215	10	0	32	16	0	0	0	0	0	0	0	0	0	2255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lead Tree	1/4 cup, shredded or chopped	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	19	1	3	0	1	3	0	0	3	0	0	0	0	0	3	4	0	0	0	1
Pork Skin	1 ounce(s) cooked, no bone	118	6	0	0	0	0	10	4	4	2	0	0	0	0	22	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Banana Flower	1 cup, shredded or chopped	218	2	57	4	27	0	0	0	0	0	0	0	0	0	0	8	893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wheat Powder and Sugar	1/4 cup	250	4	22	4	0	50	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wheat Flour	1 cup	455	16	87	15	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Orangina (Sweet Drink)	1 cup	110	0	26	0	25	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gourd	1/2 cup	8	0	2	1	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khao Soy Soup	1 cup	85	4	13	1	1	0	5	3	0	0	0	0	0	0	40	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Takis	1 cup	300	4	34	4	0	0	16	5	0	0	0	0	0	0	0	0	0	840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Minced Pork Salad	1 cup	563	34	10	0	0	0	43	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thai Glass Noodle Salad	1 cup	87	5	11	1	1	0	2	1	0	0	0	0	0	0	25	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pork Liver	1 oz	38	6	1	0	0	0	1	0	0	0	0	0	0	0	84	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thai Papaya Salad (1 Serving 1.5 cup)	1.5 cup	137	5	24	4	15	0	1	0	0	0	0	0	0	0	0	0	555	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spinach Smoothie 	1 fluid ounce(s)	18	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dried Fried Fish	3 oz	247	53	0	0	0	0	2	0	0	0	0	0	0	0	129	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kapoon (3 portions = 3 cups recipe)	1 portion	560	6	99	5	2	0	15	13	1	0	0	0	0	0	0	33	316	535	354	2	35	157	21	2	0	0.1	0	10	0	0	0	21	0.1	0	1	9
Kapoon 	1/2 cup	367	29	43	3	5	0	8	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jack Fruit Smaller Increments	1 cup	157	3	38	3	31	0	1	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Egg Noodles (Yellow)	1 cup	146	5	27	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rice Soup w/ Pork	1 cup	310	9	39	2	6	0	13	4	0	0	0	0.4	0	0	0	27	0	800	382	1	6	119	2	2	2	0.5	0	7	0	3	7	11	0.3	0.1	1	0
M-150	1 can (16 fl oz)	274	28	30	9	11	0	6	1	0	1	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Black Rice (Correct Real)	1 cup	167	3	36	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beef Jerky	1 oz	80	12	5	0	4	4	1	0	0	0	0	0	1	1	30	0	0	590	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chicken Feet (Ounce)	1 oz	61	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mee Jang	1 cup	180	3	19	0	16	0	10	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Breakfast Platter BK (1 serving)	1 serving	1190	27	320	0	32	0	66	0	0	0	0	0	0	0	0	0	0	2460	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0
Beijing Beef	6 ounce(s) cooked, no bone	470	21	46	1	24	0	26	5	0	0	0	0	0	0	0	0	0	660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Orange Chicken	1 cup	340	14	45	0	19	19	18	4	0	0	0	0	0	0	80	0	0	620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spring Roll (Not egg roll)	1 roll	130	3	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zucchini	1 cup	52	15	39	1	3	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pork Intestine	7 oz	178	10	0	0	0	0	15	7	5	3	0	0	0	0	212	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kievs (4.8 1 piece)	1 piece	298	17	10	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Green Max -Yams and Multi Grain Cereal (1 serving)	1 cup	194	7	9	1	6	0	14	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rick Cake	1 cup	400	8	67	2	22	0	12	11	1	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rambutan	1 cup	123	1	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Banh Mi (Vietnamese Pork Sandwich)	1 barbecue sandwich	210	9	45	7	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rambutan (canned)	1 cup	123	1	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein Powder	2 teaspoon	23	4	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lean 25 Smoothie	5/4 cup	170	25	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mango Smoothie	1 cup	150	1	36	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chicken Orzo Salad	1 cup	301	4	31	1	4	0	2	2	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chicken Orzo Soup	1 cup	160	4	31	1	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mustard Green (1/2 increments)	1/2 cup	28	3	5	4	0	0	0	0	0	0	0	0	0	0	0	0	208	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mustard Greens	1 cup	15	2	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chinese Brown Sauce	1 tablespoon	13	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dried Fish Soup (Real)	6 oz	60	15	10	0	3	0	7	0	0	0	0	0	0	0	80	0	0	670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lab Moo Thai	1 cup	350	132	41	8	14	0	9	3	0	0	0	0	0	0	0	0	0	910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pork Belly (real)	1 oz	43	3	0	0	0	0	3	1	1	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
champagne	3.5 oz	110	6	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Black Soy Sauce	1 tablespoon	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	50	879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Soy Drink	12 oz	136	8	0	15	10	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocky	1 stick	81	3	29	0	17	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Udon	1 cup	156	7	48	0	0	0	6	3	2	0	0	0	0	0	0	0	0	623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Subway Sandwhich (Chicken, mayo, all veggies)	1 sandwich	438	38	47	6	7	0	24	10	0	0	0	0	0	0	0	95	0	1420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pumpkin Curry	1 cup	318	12	40	9	14	0	19	0	0	0	0	0	0	0	0	0	0	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pediasure	 1 cup	240	7	33	1	18	0	9	1	6	2	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sitkcy Rice (white)	1 cup	167	4	36	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Noodle + Coconut Milk	1 portion	414	4	52	4	3	0	22	19	1	0	0	0	0	0	0	22	244	50	312	2	39	128	14	1	0	0	0	3	0	0	0	20	0.1	0	1	8
Jack Fruit, raw	1 cup	157	1	38	3	31	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheetos - Flaming hot	1 single serving bag (1 oz)	160	1	13	1	0	0	11	2	0	0	7	0.1	0	0	0	0	0	250	41	1	8	54	3	0	20	0	0.2	0	0	2	1	37	0.1	0.1	2	5
Kowpia (Rice Noodle Porrage)	1 portion	1076	36	191	8	0	0	15	5	6	1	1	0.1	4	3	113	66	522	2804	381	4	76	443	60	7	4	0.5	1.6	0	0	0	3	37	0.2	0.3	8	91
Pork Curry with specific recipe (1 port = 1/2 cup	1 portion	251	27	24	3	2	0	6	2	1.5	1.5	1.5	0.2	0	1	63.5	35.5	37.5	655	87.5	1	23.5	72	6.5	0.5	158	0.25	0.05	10.5	0	1	58	32	0.05	0.1	1.5	26.5
Pork Curry	1 cup	502	54	48	6	4	0	12	4	3	3	3	0.4	0	2	127	71	75	1310	175	2	47	144	13	1	316	0.5	0.1	21	0	2	116	64	0.1	0.2	3	53
