Food Name	Food Portion	Total Calories	Protein (g)	Carbohydrate (g)	Dietary Fiber (g)	Total Sugars (g)	Added Sugars (g)	Total Fat (g)	Saturated Fat (g)	Monounsaturated Fat (g)	Polyunsaturated Fat (g)	Linoleic Acid (g)	a-Linolenic Acid (g)	Omega 3 - EPA (mg)	Omega 3 - DHA (mg)	Cholesterol (mg)	Calcium (mg)	Potassium (mg)	Sodium (mg)	Copper (ug)	Iron (mg)	Magnesium (mg)	Phosphorus (mg)	Selenium (ug)	Zinc (mg)	Vitamin A (ug)	Vitamin B6 (mg)	Vitamin B12 (ug)	Vitamin C (mg)	Vitamin D (ug)	Vitamin E (mg)	Vitamin K (ug)	Folate (ug)	Thiamin (mg)	Riboflavin (mg)	Niacin (mg)	Choline (mg)
Fish Paste	1 oz	40	2	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rice, white, cooked (no salt or fat added)	2 cups	408	8	88	1	0	0	1	0	0	0	0	0	0	0	0	32	111	3	218	4	38	136	24	2	0	0.3	0	0	0	0	0	303	0.5	0	5	7
Mama Ramen	1 package	420	10	54	4	6	6	18	10	0	0	0	0	0	0	0	0	0	1800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Water Convolvulus (Water Spinach)	1 cup	11	2	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dried Fish (100 grams)	8 ounce(s) cooked, no bone	290	62	0	0	0	0	2	0	0	0	0	0	0	0	152	0	0	7027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bitter Melon (Real)	1 cup	9	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sticky Rice	1 cup	169	35	37	2	0	0	0	0	0	0	0	0	0	0	0	0	17	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sticky Rice (white)	1 cup	169	35	37	2	0	0	0	0	0	0	0	0	0	0	0	0	17	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chinese Long Bean( 1 prop = 1 oz)	1 oz	36	3	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chili Paste	1 tablespoon	50	2	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Papaya Salad (Thai)-Edited so Same as other	3/2 cup	137	5	24	4	15	0	3	0	0	0	0	0	0	0	0	0	555	497	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shrimp, dried	1 oz	72	15	0	0	0	0	1	0	0	0	0	0	211	181	181	104	58	626	188	2	24	140	34	1	0	0	0.5	3	0	1	0	7	0	0	0	58
Wing Bean	1 cup	33	2	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
