FoodID	taxonomy	Main.food.description
11100000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_NFS	Milk NFS
11111000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_cow_s_fluid_whole	Milk cow s fluid whole
11111160.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_calcium_fortified_cow_s_fluid_1_fat	Milk calcium fortified cow s fluid 1 fat
11111170.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_calcium_fortified_cow_s_fluid_skim_or_nonfat	Milk calcium fortified cow s fluid skim or nonfat
11112110.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_cow_s_fluid_2_fat	Milk cow s fluid 2 fat
11112130.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_cow_s_fluid_acidophilus_2_fat	Milk cow s fluid acidophilus 2 fat
11112210.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_cow_s_fluid_1_fat	Milk cow s fluid 1 fat
11113000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_cow_s_fluid_skim_or_nonfat_0_5_or_less_butterfat	Milk cow s fluid skim or nonfat 0 5 or less butterfat
11114300.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_cow_s_fluid_lactose_reduced_1_fat	Milk cow s fluid lactose reduced 1 fat
11114320.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_cow_s_fluid_lactose_reduced_nonfat	Milk cow s fluid lactose reduced nonfat
11114330.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_cow_s_fluid_lactose_reduced_2_fat	Milk cow s fluid lactose reduced 2 fat
11114350.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_cow_s_fluid_lactose_reduced_whole	Milk cow s fluid lactose reduced whole
11115000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Buttermilk_fluid_nonfat	Buttermilk fluid nonfat
11115100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Buttermilk_fluid_1_fat	Buttermilk fluid 1 fat
11115200.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Buttermilk_fluid_2_fat	Buttermilk fluid 2 fat
11115300.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Buttermilk_fluid_whole	Buttermilk fluid whole
11116000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_goat_s_fluid_whole	Milk goat s fluid whole
11121300.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_dry_reconstituted_nonfat	Milk dry reconstituted nonfat
11210050.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_evaporated_and_condensed;L4_;L5_;Milk_evaporated_NS_as_to_fat_content_formerly_NS_as_to_dilution_used_in_coffee_or_tea_assume_undiluted_	Milk evaporated NS as to fat content formerly NS as to dilution used in coffee or tea assume undiluted 
11211050.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_evaporated_and_condensed;L4_;L5_;Milk_evaporated_whole_formerly_NS_as_to_dilution_used_in_coffee_or_tea_	Milk evaporated whole formerly NS as to dilution used in coffee or tea 
11211400.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_evaporated_and_condensed;L4_;L5_;Milk_evaporated_2_fat_formerly_NS_as_to_dilution_	Milk evaporated 2 fat formerly NS as to dilution 
11212050.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_evaporated_and_condensed;L4_;L5_;Milk_evaporated_skim_formerly_NS_as_to_dilution_used_in_coffee_or_tea_	Milk evaporated skim formerly NS as to dilution used in coffee or tea 
11220000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_evaporated_and_condensed;L4_;L5_;Milk_condensed_sweetened_formerly_NS_as_to_dilution_	Milk condensed sweetened formerly NS as to dilution 
11320000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_;L5_;Milk_soy_ready_to_drink_not_baby_s	Milk soy ready to drink not baby s
11320100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_;L5_;Milk_soy_light_ready_to_drink_not_baby_s	Milk soy light ready to drink not baby s
11320200.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_;L5_;Milk_soy_nonfat_ready_to_drink_not_baby_s	Milk soy nonfat ready to drink not baby s
11321000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_;L5_;Milk_soy_ready_to_drink_not_baby_s_chocolate	Milk soy ready to drink not baby s chocolate
11321100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_;L5_;Milk_soy_light_ready_to_drink_not_baby_s_chocolate	Milk soy light ready to drink not baby s chocolate
11321200.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_;L5_;Milk_soy_nonfat_ready_to_drink_not_baby_s_chocolate	Milk soy nonfat ready to drink not baby s chocolate
11350000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_;L5_;Milk_almond_ready_to_drink	Milk almond ready to drink
