FoodCode	drxfcsd	Main.food.description	Old.Main.food.description	ModCode	FoodID
11100000	MILK, NFS	Milk_NFS	Milk, NFS	0	11100000.0
11111000	MILK, COW'S, FLUID, WHOLE	Milk_cow_s_fluid_whole	Milk, cow's, fluid, whole	0	11111000.0
11111160	MILK, CALCIUM FORTIFIED, COW'S, FLUID, 1% FAT	Milk_calcium_fortified_cow_s_fluid_1_fat	Milk, calcium fortified, cow's, fluid, 1% fat	0	11111160.0
11111170	MILK, CALCIUM FORTIFIED, SKIM/NONFAT, COW, FLUID	Milk_calcium_fortified_cow_s_fluid_skim_or_nonfat	Milk, calcium fortified, cow's, fluid, skim or nonfat	0	11111170.0
11112110	MILK, COW'S, FLUID, 2% FAT	Milk_cow_s_fluid_2_fat	Milk, cow's, fluid, 2% fat	0	11112110.0
11112130	MILK, COW'S, FLUID, ACIDOPHILUS, 2% FAT	Milk_cow_s_fluid_acidophilus_2_fat	Milk, cow's, fluid, acidophilus, 2% fat	0	11112130.0
11112210	MILK, COW'S, FLUID, 1% FAT	Milk_cow_s_fluid_1_fat	Milk, cow's, fluid, 1% fat	0	11112210.0
11113000	MILK, COW'S, FLUID, SKIM OR NONFAT	Milk_cow_s_fluid_skim_or_nonfat_0_5_or_less_butterfat	Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat	0	11113000.0
11114300	MILK, LOW LACTOSE, 1% FAT	Milk_cow_s_fluid_lactose_reduced_1_fat	Milk, cow's, fluid, lactose reduced, 1% fat	0	11114300.0
11114320	MILK, LOW LACTOSE, NONFAT	Milk_cow_s_fluid_lactose_reduced_nonfat	Milk, cow's, fluid, lactose reduced, nonfat	0	11114320.0
11114330	MILK, COW'S FL LACTOSE REDUCED 2% FAT (LACTAID)	Milk_cow_s_fluid_lactose_reduced_2_fat	Milk, cow's, fluid, lactose reduced, 2% fat	0	11114330.0
11114350	MILK, COW'S, FLUID, LACTOSE REDUCED, WHOLE	Milk_cow_s_fluid_lactose_reduced_whole	Milk, cow's, fluid, lactose reduced, whole	0	11114350.0
11115000	BUTTERMILK, FLUID (INCLUDE KEFIR MILK)	Buttermilk_fluid_nonfat	Buttermilk, fluid, nonfat	0	11115000.0
11115100	BUTTERMILK, FLUID, 1% FAT	Buttermilk_fluid_1_fat	Buttermilk, fluid, 1% fat	0	11115100.0
11115200	BUTTERMILK, FLUID, 2% FAT	Buttermilk_fluid_2_fat	Buttermilk, fluid, 2% fat	0	11115200.0
11115300	BUTTERMILK, FLUID, WHOLE	Buttermilk_fluid_whole	Buttermilk, fluid, whole	0	11115300.0
11116000	MILK, GOAT'S, FLUID, WHOLE	Milk_goat_s_fluid_whole	Milk, goat's, fluid, whole	0	11116000.0
