FoodID	taxonomy	Main.food.description
14104250.0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_Natural_cheeses;L5_Cheddar_Colby_Feta_Fontina_Goat;Cheese_Colby_Jack	Cheese Colby Jack
14107020.0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_Natural_cheeses;L5_Mozzarella_or_Muenster;Cheese_Mozzarella_whole_milk	Cheese Mozzarella whole milk
14107030.0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_Natural_cheeses;L5_Mozzarella_or_Muenster;Cheese_Mozzarella_part_skim	Cheese Mozzarella part skim
14108010.0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_Natural_cheeses;L5_Parmesan_Port_du_Salut_Provolone;Cheese_Parmesan_dry_grated	Cheese Parmesan dry grated
14109010.0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_Natural_cheeses;L5_Swiss;Cheese_Swiss	Cheese Swiss
14109040.0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_Natural_cheeses;L5_Swiss;Cheese_Swiss_nonfat_or_fat_free	Cheese Swiss nonfat or fat free
14201010.0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Cottage_cheeses;L4_Cottage_chesses_NFS;L5_Cottage_cheese_or_Ricotta;Cheese_cottage_creamed_large_or_small_curd	Cheese cottage creamed large or small curd
14203020.0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Cottage_cheeses;L4_Cottage_chesses_NFS;L5_Cheese_cottage_dry_or_salted_curd;Cheese_cottage_salted_dry_curd	Cheese cottage salted dry curd
14204010.0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Cottage_cheeses;L4_Cottage_chesses_NFS;L5_Cheese_cottage_lowfat;Cheese_cottage_lowfat_1_2_fat_	Cheese cottage lowfat 1 2 fat 
14301010.0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Cream_cheeses;L4_;L5_;Cheese_cream	Cheese cream
14410110.0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Processed_cheeses_and_cheese_spreads;L4_Cheese_processed;L5_;Cheese_American	Cheese American
14410130.0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Processed_cheeses_and_cheese_spreads;L4_Cheese_processed;L5_;Cheese_American_nonfat_or_fat_free	Cheese American nonfat or fat free
14420100.0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Processed_cheeses_and_cheese_spreads;L4_Cheese_spread;L5_;Cheese_spread_American_or_Cheddar_cheese_base	Cheese spread American or Cheddar cheese base
21000100.0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_NS;L4_Beef_NS;L5_Beef_NS_cut;Beef_NS_as_to_cut_cooked_NS_as_to_fat_eaten	Beef NS as to cut cooked NS as to fat eaten
21101120.0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_steak;L4_;L5_;Beef_steak_broiled_or_baked_lean_and_fat_eaten	Beef steak broiled or baked lean and fat eaten
21101130.0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_steak;L4_;L5_;Beef_steak_broiled_or_baked_lean_only_eaten	Beef steak broiled or baked lean only eaten
21401110.0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_roasts_stew_meat_corned_beef_beef_brisket_sandwich_steaks;L4_;L5_;Beef_roast_roasted_lean_and_fat_eaten	Beef roast roasted lean and fat eaten
21416000.0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_roasts_stew_meat_corned_beef_beef_brisket_sandwich_steaks;L4_;L5_;Corned_beef_cooked_NS_as_to_fat_eaten	Corned beef cooked NS as to fat eaten
21501000.0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Ground_beef_beef_patties_beef_meatballs;L4_;L5_;Ground_beef_less_than_80_lean_cooked_formerly_regular_	Ground beef less than 80 lean cooked formerly regular 
22311000.0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Ham;L4_Ham_smoked_or_cured;L5_;Ham_smoked_or_cured_cooked_NS_as_to_fat_eaten	Ham smoked or cured cooked NS as to fat eaten
22311010.0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Ham;L4_Ham_smoked_or_cured;L5_;Ham_smoked_or_cured_cooked_lean_and_fat_eaten	Ham smoked or cured cooked lean and fat eaten
22311020.0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Ham;L4_Ham_smoked_or_cured;L5_;Ham_smoked_or_cured_cooked_lean_only_eaten	Ham smoked or cured cooked lean only eaten
22600200.0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Bacon_salt_pork;L4_Bacon_NS;L5_;Pork_bacon_NS_as_to_fresh_smoked_or_cured_cooked	Pork bacon NS as to fresh smoked or cured cooked
22601000.0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Bacon_salt_pork;L4_Bacon_NS;L5_;Pork_bacon_smoked_or_cured_cooked	Pork bacon smoked or cured cooked
22701040.0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Other_pork_items;L4_;L5_;Pork_spareribs_barbecued_with_sauce_lean_and_fat_eaten	Pork spareribs barbecued with sauce lean and fat eaten
24100020.0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_Chicken_NS_as_to_part;L5_;Chicken_NS_as_to_part_and_cooking_method_skin_not_eaten	Chicken NS as to part and cooking method skin not eaten
24122110.0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_Chicken_breast;L5_;Chicken_breast_roasted_broiled_or_baked_skin_eaten	Chicken breast roasted broiled or baked skin eaten
24122120.0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_Chicken_breast;L5_;Chicken_breast_roasted_broiled_or_baked_skin_not_eaten	Chicken breast roasted broiled or baked skin not eaten
24127110.0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_Chicken_breast;L5_;Chicken_breast_coated_baked_or_fried_prepared_with_skin_skincoating_eaten	Chicken breast coated baked or fried prepared with skin skincoating eaten
24127150.205340	L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_Chicken_breast;L5_;Chicken_breast_coated_baked_or_fried_prepared_skinless_coating_eaten_W_O_FAT	Chicken breast coated baked or fried prepared skinless coating eaten W O FAT
24144210.205539	L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_Chicken_drumstick;L5_;Chicken_drumstick_fried_no_coating_skin_eaten_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	Chicken drumstick fried no coating skin eaten W VEGETABLE OIL NFS INCLUDE OIL NFS 
24147230.0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_Chicken_drumstick;L5_;Chicken_drumstick_from_fast_food_coated_baked_or_fried_prepared_with_skin_skincoating_eaten	Chicken drumstick from fast food coated baked or fried prepared with skin skincoating eaten
24157230.0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_Chicken_thigh;L5_;Chicken_thigh_from_fast_food_coated_baked_or_fried_prepared_with_skin_skincoating_eaten	Chicken thigh from fast food coated baked or fried prepared with skin skincoating eaten
24167110.205393	L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_Chicken_wing;L5_;Chicken_wing_coated_baked_or_fried_prepared_with_skin_skin_coating_eaten_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	Chicken wing coated baked or fried prepared with skin skin coating eaten W VEGETABLE OIL NFS INCLUDE OIL NFS 
