Main.food.description	Portion	portionwgt	FoodCode	ModCode	FoodID
Potato_roasted_with_salt_and_vegetable_oil_	cup	127	71101000	0	71101000.0
Broccoli_fresh_cooked_no_salt_or_fat_added_	cup, cut stalks	175	72103000	0	72103000.0
Pennywort_raw	cup	36	72107100	0	72107100.0
Mustard_Green_1_2_increments_	cup pak-choi	56	72122100	0	72122100.0
Hon_Tsai_Tai	cup, shredded	56	72122101	0	72122101.0
Taro_Leaf_1_portion_1_2_oz_	portion	20	72125999	0	72125999.0
Watercress_cooked_no_salt_or_fat_added_	cup	137	72130200	9	72130200.9
Pumpkin_Leaves	cup	76	72133199	0	72133199.0
Water_Convolvulus_Water_Spinach_	cup	25	72140100	0	72140100.0
Loofah	cup, sliced	175	73302011	0	73302011.0
Snake_Luffa	cup	175	73302011	0	73302011.0
Gourd	cup	210	73303000	0	73303000.0
Sweet_potato_yam_baked_no_salt_added_peel_eaten	cup	205	73402000	0	73402000.0
Pacific_Soup_Sweet_Potato_Masala	cup	248	73405111	0	73405111.0
Chinese_Long_Bean	cup	125	75101800	0	75101800.0
Chinese_Long_Bean_Real	cup	125	75101800	0	75101800.0
Acacia_Leaves_Cha_om_	cup	75	75113081	0	75113081.0
Acacia_Leaves_Cha_om_1_portion_1_2_oz	portion	35	75113081	0	75113081.0
Roselle_Leaves	cup	75	75113081	0	75113081.0
Roselle_Leaves_1_portion_1_2_oz_	portion	35	75113081	0	75113081.0
Chili_Paste	tablespoon	14.18	75121001	0	75121001.0
Zucchini	cup, chopped	124	75128010	0	75128010.0
Green_beans_fresh_cooked_with_salt_and_vegetable_oil_	cup	140	75205041	0	75205041.0
Bitter_Gourd	cup	160	75208300	9	75208300.9
Bitter_Melon_Real_	cup pak-choi	160	75208300	9	75208300.9
Jack_Fruit_raw	cup	124	75208400	0	75208400.0
Jack_Fruit_Smaller_Increments	cup	124	75208400	0	75208400.0
Cabbage_Chinese_Bok_Choy_cooked_with_salt_and_vegetable_oil_	cup	175	75210020	0	75210020.0
Cucumber_cooked_no_salt_or_fat_added_	cup	185	75216700	0	75216700.0
Cucumber_cooked_with_salt_no_fat_added_	cup	180	75216710	0	75216710.0
Eggplant_cooked_no_salt_or_fat_added_	slice	54	75217010	0	75217010.0
Eggplant_cooked_with_salt_no_fat_added_	cup, cubes	101	75217020	0	75217020.0
Eggplant_cooked_with_salt_and_margarine_	cup, cubes	101	75217020	0	75217020.0
Mushroom_fresh_cooked_no_salt_or_fat_added_	cup	156	75219011	9	75219011.9
Mushroom_canned_cooked_no_fat_added	small	7	75219013	0	75219013.0
Okara	cup	165	75220011	0	75220011.0
Okra_fresh_cooked_no_salt_or_fat_added_	pod	10.6	75220011	0	75220011.0
Lettuce_cooked_no_salt_or_fat_added_	cup	81	75220050	900000	75220050.900000
Lettuce_cooked_with_salt_no_fat_added_	cup	81	75220050	0	75220050.0
Onion_fresh_cooked_no_salt_or_fat_added_	cup	210	75221011	0	75221011.0
Onion_fresh_cooked_with_salt_no_fat_added_	medium slice (1/8 thick)	12	75221011	0	75221011.0
Green_bell_pepper_cooked_no_salt_or_fat_added_	small pepper	71	75226010	0	75226010.0
Pepper_green_cooked_no_salt_or_fat_added_	cherry pepper	16	75226010	9	75226010.9
Peppers_green_cooked_no_salt_or_fat_added_	cup	141	75226010	9	75226010.9
Pork_Intestine	ounce(s) cooked, no bone	28.35	75226010	9	75226010.9
Radish_Japanese_daikon_cooked_no_salt_or_fat_added_	cup	147	75227100	0	75227100.0
Radishes_Japanese_daikon_cooked_no_salt_or_fat_added_	cup	147	75227100	0	75227100.0
Lead_Tree	cup, shredded or chopped	165	75231003	0	75231003.0
Lead_Tree_Pod	cup	165	75231003	0	75231003.0
Veggie_Fritters_2_fritters_with_syrup_is_1_actual_Fritter	portion (2 fritters with syrup)	120	75440405	0	75440405.0
Pumpkin_Curry	cup	236	75440600	0	75440600.0
Tomato_Curry	cup	236	75440601	0	75440601.0
Leek_and_Potato_Soup	cup	248	75605011	0	75605011.0
Naked_Green_Juice	cup	248	78101120	0	78101120.0
Sweet_Thai_Chili_Sauce	teaspoon	5	91361011	0	91361011.0
Skinny_Cow_Chocolate_Bar	bar (6 oz)	170	91705011	0	91705011.0
Hard_candy_Jolly_Rancher_Life_Savers_Gob_Stoppers_Lollipop_	medium piece	5	91745020	0	91745020.0
Milk_Candy	small piece	6	91745041	0	91745041.0
Halawa	ounce	28	91760001	0	91760001.0
Candy_chocolate_covered_dietetic_or_low_calorie	medium piece	14	91770030	0	91770030.0
Birdy_Thai_Coffee_	mug (8 fl oz)	29.57	92101001	0	92101001.0
Latte_espresso_coffee_regular_with_2_milk	medium (16 fl oz)	480	92101900	2	92101900.2
Latte_espresso_coffee_regular_with_1_milk	cup (8 fl oz)	240	92101900	21	92101900.21
Soft_drink_fruit_flavored_caffeine_free_Sprite_Sierra_Mist_7_Up_	can (12 fl oz)	372	92410510	0	92410510.0
Orangina_Sweet_Drink_	cup	248	92432000	0	92432000.0
Tamarind_drink_Puerto_Rican	fluid ounce(s)	31	92510650	0	92510650.0
Fruit_juice_drink_with_high_vitamin_C_Hi_C_Hawaiian_Punch_Tropicana_Twister_Ocean_Spray_Juice_Cocktail_Minute_Maid_	cup	248	92530610	0	92530610.0
Fruit_juice_drink_reduced_sugar_with_thiamin_and_vitamin_C_Sunny_Delight_reduced_sugar_	cup (8 fl oz)	248	92552020	0	92552020.0
Irish_Cream	ounce(s)	30	93301450	0	93301450.0
Asia_Mix	cup	125	95230001	0	95230001.0
Protein_Powder	teaspoon	6	95230030	0	95230030.0
M_150	can (16 fl oz)	524	95310601	0	95310601.0
Green_Max_Yams_and_Multi_Grain_Cereal_1_serving_	cup	35	56299910	0	56299910.0
Ice_cream_cone_vanilla_ice_cream_or_other_flavors	cone and single dip	78	13120730	0	13120730.0
Rice_white_cooked_with_salt_and_vegetable_oil_	cup, cooked	158	56205002	0	56205002.0
Egg_white_omelet_cooked_with_vegetable_oil	cup	165	32400065	0	32400065.0
Jennys_Cuisine_Muffin_bran_with_fruit_banana_lowfat	muffin (2-3/4 across) (include	58	52304040	0	52304040.0
Motts_fruit_pak_3_75_oz_Applesauce_unsweetened		113	63101120	0	63101120.0
Hot_chocolate_Hersheys_Nestles_Quick_made_from_mix_with_fat_free_skim_milk	cup	240	11514350	0	11514350.0
Ho_Ho_Cupcake_chocolate_with_icing_or_filling_Ho_Hos_Tastykake_cupcakes_Swiss_Rolls_Oreo_Cakesters_		45	53108200	0	53108200.0
Chinese_Long_Bean_1_prop_1_oz_	portion	25	75101800	0	75101800.0
Thai_Glass_Noodle_Salad	cup	150	56117112	0	56117112.0
