Main.food.description	Old.Main.food.description	Portion	portionwgt	FoodCode	ModCode	Replace original food description in diet record with
Ice_cream_cone_vanilla_ice_cream_or_other_flavors	"Ice cream cone, vanilla ice cream or other flavors"	cone and single dip	78	13120730		"Ice cream cone, vanilla ice cream or other flavors"
Rice_white_cooked_with_salt_and_vegetable_oil_	"Rice, white, cooked (with salt and vegetable oil)"	"cup, cooked"	158	56205002		
Egg_white_omelet_cooked_with_vegetable_oil	"Egg white omelet, cooked with vegetable oil"	cup	165	32400065		"Egg white omelet, cooked in oil"
Jennys_Cuisine_Muffin_bran_with_fruit_banana_lowfat	"Jennys Cuisine) Muffin, bran with fruit (banana), lowfat"	muffin (2-3/4 across) (include	58	52304040		"Muffin, bran with fruit (banana), lowfat"
Motts_fruit_pak_3_75_oz_Applesauce_unsweetened	"Motts fruit pak (3.75 oz) Applesauce, unsweetened"		113	63101120		"Applesauce, unsweetened"
Hot_chocolate_Hersheys_Nestles_Quick_made_from_mix_with_fat_free_skim_milk	"Hot chocolate, (Hersheys), (Nestles Quick), made from mix, with fat free (skim) milk"	cup	240	11514350		
Ho_Ho_Cupcake_chocolate_with_icing_or_filling_Ho_Hos_Tastykake_cupcakes_Swiss_Rolls_Oreo_Cakesters_	"Ho Ho Cupcake, chocolate, with icing or filling (Ho Hos, Tastykake cupcakes, Swiss Rolls, Oreo Cakesters)"		45	53108200		"Cupcake, chocolate, with icing or filling (Ho Ho's, Tastykake cupcakes, Swiss Rolls, Oreo Cakesters)"
Chinese_Long_Bean_1_prop_1_oz_	Chinese Long Bean( 1 prop = 1 oz)	portion	25	75101800		
Thai_Glass_Noodle_Salad	Thai Glass Noodle Salad	cup	150	56117112		
