FoodCode	ModCode	Main.food.description	Old.Main.food.description	FoodID
21501350	0	Hamburger_patty_90_94_lean_cooked_no_bun	Hamburger, patty, 90% - 94% lean, cooked, no bun	21501350.0
21501360	0	Ground_beef_95_or_more_lean_cooked	Ground beef, 95% or more lean, cooked	21501360.0
21501369	0	Ground_beef_raw_95_lean	Ground beef, raw, 95% lean	21501369.0
21602100	0	Beef_jerky_Slim_Jim_Big_Jerk_	Beef jerky (Slim Jim, Big Jerk)	21602100.0
22002000	0	Pork_ground_or_patty_cooked	Pork, ground or patty, cooked	22002000.0
22101110	0	Pork_chop_broiled_baked_or_grilled_lean_and_fat_eaten	Pork, chop, broiled, baked, or grilled, lean and fat eaten	22101110.0
22101120	0	Pork_chop_broiled_baked_or_grilled_lean_only_eaten	Pork, chop, broiled, baked, or grilled, lean only eaten	22101120.0
22101210	0	Pork_chop_fried_lean_and_fat_eaten	Pork, chop, fried, lean and fat eaten	22101210.0
22101220	0	Pork_chop_fried_lean_only_eaten	Pork, chop, fried, lean only eaten	22101220.0
22101320	0	Pork_chop_fried_breaded_or_floured_lean_only_eaten	Pork, chop, fried, breaded or floured, lean only eaten	22101320.0
22101520	0	Pork_chop_stewed_lean_only_eaten	Pork, chop, stewed, lean only eaten	22101520.0
22199999	0	Pork_raw_chops_top_loin_boneless_fat_trimmed	Pork, raw, chops, top loin, boneless, fat trimmed	22199999.0
22210399	0	Pork_raw_tenderloin_fat_not_trimmed	Pork, raw, tenderloin, fat not trimmed	22210399.0
22301110	0	Ham_fresh_cooked_lean_and_fat_eaten	Ham, fresh, cooked, lean and fat eaten	22301110.0
22311450	0	Prosciutto	Prosciutto	22311450.0
22401010	0	Pork_roast_loin_cooked_lean_and_fat_eaten	Pork roast, loin, cooked, lean and fat eaten	22401010.0
22601000	0	Bacon_pork_cooked	Bacon, pork, cooked	22601000.0
22701010	0	Pork_spareribs_cooked_lean_and_fat_eaten	Pork, spareribs, cooked, lean and fat eaten	22701010.0
22701020	0	Pork_spareribs_cooked_lean_only_eaten	Pork, spareribs, cooked, lean only eaten	22701020.0
22701050	0	Pork_spareribs_barbecued_with_sauce_lean_only_eaten	Pork, spareribs, barbecued, with sauce, lean only eaten	22701050.0
22705010	0	Pork_pig_s_ears_tail_head_snout_miscellaneous_parts_cooked	Pork, pig's ears, tail, head, snout, miscellaneous parts, cooked	22705010.0
22706010	0	Pork_neck_bones_cooked	Pork, neck bones, cooked	22706010.0
22708010	0	Pork_pig_s_hocks_cooked	Pork, pig's hocks, cooked	22708010.0
22709010	0	Pork_skin_deep_fried_pork_rinds_	Pork, skin, deep-fried (pork rinds)	22709010.0
23104020	0	Lamb_loin_chop_cooked_lean_only_eaten	Lamb, loin chop, cooked, lean only eaten	23104020.0
23150200	0	Goat_fried	Goat, fried	23150200.0
23321100	0	Venison_deer_roasted	Venison, (deer), roasted	23321100.0
23333100	0	Squirrel_cooked	Squirrel, cooked	23333100.0
24122119	0	Chicken_raw_breast_bone_in_with_skin	Chicken, raw, breast, bone in, with skin	24122119.0
24122120	0	Chicken_breast_roasted_skin_not_eaten	Chicken, breast, roasted, skin not eaten	24122120.0
24122129	0	Chicken_raw_breast_boneless_skinless	Chicken, raw, breast, boneless, skinless	24122129.0
24123120	0	Chicken_breast_stewed_skin_not_eaten	Chicken, breast, stewed, skin not eaten	24123120.0
24124110	205388	Fried_chicken_breast_fried_in_oil_no_breading_skin_eaten	Fried chicken, breast, fried in oil, no breading, skin eaten	24124110.205388
24124120	205407	Fried_chicken_breast_fried_in_oil_no_breading_skin_not_eaten	Fried chicken, breast, fried in oil, no breading, skin not eaten	24124120.205407
24127110	205433	Fried_chicken_breast_fried_in_oil_skin_breading_eaten	Fried chicken, breast, fried in oil, skin/breading eaten	24127110.205433
24127110	205695	Chicken_breast_baked_breaded_skin_breading_eaten	Chicken, breast, baked, breaded, skin/breading eaten	24127110.205695
24127120	205996	Fried_chicken_breast_fried_in_oil_skin_breading_not_eaten	Fried chicken, breast, fried in oil, skin/breading not eaten	24127120.205996
24127150	205374	Fried_chicken_breast_fried_in_oil_skinless_breading_eaten	Fried chicken, breast, fried in oil, skinless, breading eaten	24127150.205374
24127160	205835	Chicken_breast_boneless_skinless_baked_breaded_breading_not_eaten	Chicken, breast, boneless, skinless, baked, breaded, breading not eaten	24127160.205835
24132210	0	Chicken_leg_quarter_drumstick_and_thigh_baked_skin_eaten	Chicken, leg quarter (drumstick and thigh), baked, skin eaten	24132210.0
24142210	0	Chicken_drumstick_grilled_skin_eaten	Chicken, drumstick, grilled, skin eaten	24142210.0
24142220	0	Chicken_drumstick_baked_skin_not_eaten	Chicken, drumstick, baked, skin not eaten	24142220.0
24143210	0	Chicken_drumstick_stewed_skin_eaten	Chicken, drumstick, stewed, skin eaten	24143210.0
24144210	205539	Fried_chicken_drumstick_fried_in_oil_no_breading_skin_eaten	Fried chicken, drumstick, fried in oil, no breading, skin eaten	24144210.205539
24147210	205362	Fried_chicken_drumstick_fried_in_oil_skin_breading_eaten	Fried chicken, drumstick, fried in oil, skin/breading eaten	24147210.205362
24147220	206578	Chicken_drumstick_baked_breaded_skin_breading_not_eaten	Chicken, drumstick, baked, breaded, skin/breading not eaten	24147220.206578
24152210	0	Chicken_thigh_baked_skin_eaten	Chicken, thigh, baked, skin eaten	24152210.0
24152220	0	Chicken_thigh_roasted_skin_not_eaten	Chicken, thigh, roasted, skin not eaten	24152220.0
24154210	205389	Fried_chicken_thigh_fried_in_oil_no_breading_skin_eaten	Fried chicken, thigh, fried in oil, no breading, skin eaten	24154210.205389
24162110	0	Chicken_wing_baked_skin_eaten	Chicken, wing, baked, skin eaten	24162110.0
24162119	0	Chicken_raw_wing_with_skin	Chicken, raw, wing, with skin	24162119.0
24162120	0	Chicken_wing_grilled_skin_not_eaten	Chicken, wing, grilled, skin not eaten	24162120.0
24163110	0	Chicken_wing_stewed_skin_eaten	Chicken, wing, stewed, skin eaten	24163110.0
24164110	0	Fried_chicken_wing_fried_in_shortening_no_breading_skin_eaten	Fried chicken, wing, fried in shortening, no breading, skin eaten	24164110.0
24167110	205393	Fried_chicken_wing_fried_in_oil_skin_breading_eaten	Fried chicken, wing, fried in oil, skin/breading eaten	24167110.205393
24198500	0	Chicken_feet	Chicken feet	24198500.0
24198700	0	Chicken_patty_chicken_fillet_or_chicken_tenders_breaded_cooked_Banquet_Burger_King_Weaver_KFC_Tyson_McDonald_s_	Chicken patty, chicken fillet, or chicken tenders, breaded, cooked (Banquet, Burger King, Weaver, KFC, Tyson, McDonald's)	24198700.0
24198720	0	Chicken_ground_cooked	Chicken, ground, cooked	24198720.0
24198740	0	Chicken_nuggets_McDonald_s_Weaver_Mini_Drums_Tyson_Chicken_Sticks_Carl_s_Jr_Chicken_Stars_	Chicken nuggets (McDonald's, Weaver Mini Drums, Tyson Chicken Sticks, Carl's Jr. Chicken Stars)	24198740.0
24201130	0	Turkey_white_meat_roasted_skin_eaten	Turkey, white meat, roasted, skin eaten	24201130.0
24201239	0	Turkey_raw_leg_bone_in_with_skin	Turkey, raw, leg, bone in, with skin	24201239.0
24207099	0	Ground_turkey_raw_breast	Ground turkey, raw, breast	24207099.0
24300110	0	Duck_cooked_skin_eaten	Duck, cooked, skin eaten	24300110.0
24300120	0	Duck_cooked_skin_not_eaten	Duck, cooked, skin not eaten	24300120.0
25110140	0	Liver_beef_fried	Liver, beef, fried	25110140.0
25110420	0	Liver_chicken_braised	Liver, chicken, braised	25110420.0
25110450	207088	Liver_chicken_fried_in_meat_drippings	Liver, chicken, fried in meat drippings	25110450.207088
25112200	0	Liver_chicken_pate	Liver, chicken, pate	25112200.0
25160000	0	Tongue_cooked	Tongue, cooked	25160000.0
25170420	0	Gizzard_cooked	Gizzard, cooked	25170420.0
25170429	0	Chicken_raw_gizzards	Chicken, raw, gizzards	25170429.0
25210210	0	Hot_dog_frankfurter_beef	Hot dog, frankfurter, beef	25210210.0
25220140	0	Sausage_beef_cooked	Sausage, beef, cooked	25220140.0
25220350	0	Sausage_bratwurst_pork_cooked	Sausage, bratwurst, pork, cooked	25220350.0
25220370	0	Bratwurst_beef_cooked	Bratwurst, beef, cooked	25220370.0
25221350	0	Sausage_pork_Italian_cooked	Sausage, pork, Italian, cooked	25221350.0
25221410	0	Sausage_pork_cooked	Sausage, pork, cooked	25221410.0
25221660	0	Sausage_smoked_pork_and_beef	Sausage, smoked, pork and beef	25221660.0
25230210	0	Ham_luncheon_meat_prepackaged_or_deli	Ham, luncheon meat, prepackaged or deli	25230210.0
25230220	0	Ham_luncheon_meat_prepackaged_or_deli_low_salt	Ham, luncheon meat, prepackaged or deli, low salt	25230220.0
25230230	0	Ham_luncheon_meat_prepackaged_or_deli_extra_lean	Ham, luncheon meat, prepackaged or deli, extra lean	25230230.0
25230560	0	Liverwurst_Braunschweiger_	Liverwurst (Braunschweiger)	25230560.0
26100150	0	Fish_battered_and_fried	Fish, battered and fried	26100150.0
26105120	205995	Carp_baked_or_broiled_with_oil	Carp, baked or broiled with oil	26105120.205995
26107120	203089	Catfish_baked_or_broiled_without_fat	Catfish, baked or broiled, without fat	26107120.203089
26107160	0	Catfish_steamed_or_poached	Catfish, steamed or poached	26107160.0
26109120	202670	Cod_baked_or_broiled_with_butter	Cod, baked or broiled, with butter	26109120.202670
26109128	0	Fish_cod_raw_Pacific_fillet	Fish, cod, raw, Pacific, fillet	26109128.0
26109129	0	Fish_cod_raw_Atlantic_fillet	Fish, cod, raw, Atlantic, fillet	26109129.0
