FoodCode	ModCode	Main.food.description	Old.Main.food.description	FoodID
11111000	0	Milk_whole	Milk, whole	11111000.0
11111100	0	Whole_milk_low_sodium	Whole milk, low sodium	11111100.0
11111150	0	Milk_whole_calcium_fortified	Milk, whole, calcium fortified	11111150.0
11111160	0	Milk_low_fat_1_calcium_fortified	Milk, low fat (1%), calcium fortified	11111160.0
11111170	0	Fat_free_milk_calcium_fortified	Fat free milk, calcium fortified	11111170.0
11112110	0	Milk_reduced_fat_2_	Milk, reduced fat (2%)	11112110.0
11112120	0	1_acidophilus_milk	1% acidophilus milk	11112120.0
11112130	0	Milk_reduced_fat_2_acidophilus	Milk, reduced fat (2%), acidophilus	11112130.0
11112210	0	1_milk	1% milk	11112210.0
11113000	0	Milk_fat_free_skim_	Milk, fat free (skim)	11113000.0
11114300	0	Low_fat_milk_lactose_free_Lactaid_	Low fat milk, lactose-free (Lactaid)	11114300.0
11114310	0	Milk_low_fat_1_lactose_free_calcium_fortified	Milk, low fat (1%), lactose-free, calcium fortified	11114310.0
11114320	0	Lactaid_milk_fat_free_skim_	Lactaid milk, fat free (skim)	11114320.0
11114321	0	Skim_milk_lactose_free_calcium_fortified	Skim milk, lactose-free, calcium fortified	11114321.0
11114330	0	2_milk_lactose_free_Lactaid_	2% milk, lactose-free (Lactaid)	11114330.0
11114350	0	Milk_whole_lactose_free	Milk, whole, lactose-free	11114350.0
11115000	0	Kefir_milk	Kefir milk	11115000.0
11115100	0	Buttermilk_low_fat_1_	Buttermilk, low fat (1%)	11115100.0
11115200	0	2_buttermilk	2% buttermilk	11115200.0
11115300	0	Buttermilk_whole	Buttermilk, whole	11115300.0
11116000	0	Milk_goat_s	Milk, goat's	11116000.0
11121100	0	Milk_dry_whole_reconstituted	Milk, dry, whole, reconstituted	11121100.0
11121210	0	Powdered_milk_low_fat_reconstituted	Powdered milk,  low fat, reconstituted	11121210.0
11121300	0	Milk_dry_fat_free_reconstituted	Milk, dry, fat free, reconstituted	11121300.0
11122000	0	Buttermilk_dry_reconstituted	Buttermilk, dry, reconstituted	11122000.0
11211050	0	Evaporated_milk_whole	Evaporated milk, whole	11211050.0
11211400	0	Evaporated_milk_reduced_fat_2_	Evaporated milk, reduced fat (2%)	11211400.0
11212050	0	Evaporated_milk_fat_free_skim_	Evaporated milk, fat free (skim)	11212050.0
11220000	0	Sweetened_condensed_milk	Sweetened condensed milk	11220000.0
11320000	0	Soymilk_soy_beverage_	Soymilk (soy beverage)	11320000.0
11320100	0	Milk_soy_soy_beverage_light	Milk, soy (soy beverage), light	11320100.0
11320200	0	Soymilk_soy_beverage_fat_free_nonfat_	Soymilk (soy beverage), fat free (nonfat)	11320200.0
11321000	0	Milk_soy_soy_beverage_chocolate	Milk, soy (soy beverage), chocolate	11321000.0
11321100	0	Light_chocolate_soymilk	Light chocolate soymilk	11321100.0
11321200	0	Milk_soy_soy_beverage_fat_free_nonfat_chocolate	Milk, soy (soy beverage), fat free (nonfat), chocolate	11321200.0
11350000	0	Almond_milk	Almond milk	11350000.0
11350010	0	Almond_milk_chocolate	Almond milk, chocolate	11350010.0
11411100	0	Yogurt_plain_whole_milk	Yogurt, plain, whole milk	11411100.0
11411200	0	Yogurt_plain_low_fat	Yogurt, plain, low fat	11411200.0
11411300	0	Yogurt_plain_fat_free	Yogurt, plain, fat free	11411300.0
11421000	0	Yogurt_lemon_whole_milk	Yogurt, lemon, whole milk	11421000.0
11422000	0	Yogurt_coffee_lowfat	Yogurt, coffee, lowfat	11422000.0
11422100	0	Yogurt_coffee_lowfat_low_calorie_sweetener	Yogurt, coffee, lowfat, low calorie sweetener	11422100.0
11423000	0	Yogurt_vanilla_fat_free	Yogurt, vanilla, fat free	11423000.0
11424000	0	Yogurt_lemon_light_fat_free_low_calorie_sweetener_	Yogurt, lemon, light (fat free, low calorie sweetener)	11424000.0
11426000	0	Yogurt_chocolate_whole_milk	Yogurt, chocolate, whole milk	11426000.0
11427000	0	Yogurt_chocolate_fat_free	Yogurt, chocolate, fat free	11427000.0
11431000	0	Yogurt_blueberry_whole_milk	Yogurt, blueberry, whole milk	11431000.0
11432000	0	Yogurt_raspberry_lowfat	Yogurt, raspberry, lowfat	11432000.0
11432500	0	Yogurt_blueberry_lowfat_low_calorie_sweetener	Yogurt, blueberry, lowfat, low calorie sweetener	11432500.0
11433000	0	Yogurt_raspberry_fat_free	Yogurt, raspberry, fat free	11433000.0
11433500	0	Yogurt_blueberry_light_fat_free_low_calorie_sweetener_	Yogurt, blueberry, light (fat free, low calorie sweetener)	11433500.0
11445000	0	Yogurt_fruit_and_nuts_low_fat	Yogurt, fruit and nuts, low fat	11445000.0
11446000	0	Fruit_and_low_fat_yogurt_parfait	Fruit and low fat yogurt parfait	11446000.0
11447771	0	Greek_yogurt_plain_fat_free	Greek yogurt, plain, fat free	11447771.0
11447772	0	Greek_yogurt_fruit_fat_free	Greek yogurt, fruit, fat free	11447772.0
11460160	0	Frozen_yogurt_chocolate_low_fat	Frozen yogurt, chocolate, low fat	11460160.0
11460170	0	Frozen_yogurt_other_flavors_low_fat	Frozen yogurt, other flavors, low fat	11460170.0
11460200	0	Frozen_yogurt_chocolate_nonfat	Frozen yogurt, chocolate, nonfat	11460200.0
11460250	0	Frozen_yogurt_other_flavors_with_sorbet	Frozen yogurt, other flavors, with sorbet	11460250.0
